time            Br              Bs              Yi              Yj             
1.873747495e+03 8.148548212e+00 3.641904126e+00 1.022218730e-01 2.044437459e-07
1.883767535e+03 8.149274176e+00 3.643452440e+00 9.989460732e-02 1.997892146e-07
1.893787575e+03 8.149983904e+00 3.644965642e+00 9.761995181e-02 1.952399036e-07
1.903807615e+03 8.150677752e+00 3.646444524e+00 9.539673306e-02 1.907934661e-07
1.913827655e+03 8.151356070e+00 3.647889858e+00 9.322380384e-02 1.864476077e-07
1.923847695e+03 8.152019192e+00 3.649302391e+00 9.110004233e-02 1.822000847e-07
1.933867735e+03 8.152667447e+00 3.650682861e+00 8.902435061e-02 1.780487012e-07
1.943887776e+03 8.153301159e+00 3.652031983e+00 8.699565456e-02 1.739913091e-07
1.953907816e+03 8.153920645e+00 3.653350463e+00 8.501290427e-02 1.700258085e-07
1.963927856e+03 8.154526209e+00 3.654638982e+00 8.307507201e-02 1.661501440e-07
1.973947896e+03 8.155118152e+00 3.655898211e+00 8.118115267e-02 1.623623053e-07
1.983967936e+03 8.155696818e+00 3.657128844e+00 7.933016239e-02 1.586603248e-07
1.993987976e+03 8.156262465e+00 3.658331497e+00 7.752113933e-02 1.550422787e-07
2.004008016e+03 8.156815390e+00 3.659506812e+00 7.575314329e-02 1.515062866e-07
2.014028056e+03 8.157355869e+00 3.660655397e+00 7.402525474e-02 1.480505095e-07
2.024048096e+03 8.157884179e+00 3.661777860e+00 7.233657263e-02 1.446731453e-07
2.034068136e+03 8.158400588e+00 3.662874787e+00 7.068621916e-02 1.413724383e-07
2.044088176e+03 8.158905359e+00 3.663946756e+00 6.907333178e-02 1.381466636e-07
2.054108216e+03 8.159398751e+00 3.664994330e+00 6.749706746e-02 1.349941349e-07
2.064128257e+03 8.159881015e+00 3.666018061e+00 6.595660243e-02 1.319132049e-07
2.074148297e+03 8.160352399e+00 3.667018490e+00 6.445112779e-02 1.289022556e-07
2.084168337e+03 8.160813145e+00 3.667996143e+00 6.297985641e-02 1.259597128e-07
2.094188377e+03 8.161263487e+00 3.668951533e+00 6.154202239e-02 1.230840448e-07
2.104208417e+03 8.161703658e+00 3.669885163e+00 6.013687228e-02 1.202737446e-07
2.114228457e+03 8.162133883e+00 3.670797525e+00 5.876366964e-02 1.175273393e-07
2.124248497e+03 8.162554384e+00 3.671689101e+00 5.742169467e-02 1.148433893e-07
2.134268537e+03 8.162965377e+00 3.672560361e+00 5.611024162e-02 1.122204832e-07
2.144288577e+03 8.163367076e+00 3.673411769e+00 5.482861892e-02 1.096572378e-07
2.154308617e+03 8.163759687e+00 3.674243771e+00 5.357615560e-02 1.071523112e-07
2.164328657e+03 8.164143413e+00 3.675056809e+00 5.235219317e-02 1.047043863e-07
2.174348697e+03 8.164518452e+00 3.675851309e+00 5.115609024e-02 1.023121805e-07
2.184368737e+03 8.164884997e+00 3.676627693e+00 4.998721729e-02 9.997443457e-08
2.194388778e+03 8.165243240e+00 3.677386371e+00 4.884495850e-02 9.768991699e-08
2.204408818e+03 8.165593365e+00 3.678127746e+00 4.772871211e-02 9.545742423e-08
2.214428858e+03 8.165935555e+00 3.678852209e+00 4.663788933e-02 9.327577866e-08
2.224448898e+03 8.166269987e+00 3.679560145e+00 4.557191486e-02 9.114382973e-08
2.234468938e+03 8.166596835e+00 3.680251929e+00 4.453022604e-02 8.906045209e-08
2.244488978e+03 8.166916270e+00 3.680927928e+00 4.351227362e-02 8.702454724e-08
2.254509018e+03 8.167228458e+00 3.681588500e+00 4.251751936e-02 8.503503873e-08
2.264529058e+03 8.167533561e+00 3.682233995e+00 4.154543896e-02 8.309087791e-08
2.274549098e+03 8.167831738e+00 3.682864756e+00 4.059551756e-02 8.119103512e-08
2.284569138e+03 8.168123145e+00 3.683481118e+00 3.966725436e-02 7.933450871e-08
2.294589178e+03 8.168407935e+00 3.684083408e+00 3.876015693e-02 7.752031387e-08
2.304609218e+03 8.168686255e+00 3.684671945e+00 3.787374674e-02 7.574749349e-08
2.314629259e+03 8.168958253e+00 3.685247045e+00 3.700755218e-02 7.401510436e-08
2.324649299e+03 8.169224069e+00 3.685809010e+00 3.616111616e-02 7.232223232e-08
2.334669339e+03 8.169483844e+00 3.686358140e+00 3.533399121e-02 7.066798242e-08
2.344689379e+03 8.169737712e+00 3.686894725e+00 3.452573925e-02 6.905147851e-08
2.354709419e+03 8.169985808e+00 3.687419053e+00 3.373593127e-02 6.747186254e-08
2.364729459e+03 8.170228261e+00 3.687931402e+00 3.296414873e-02 6.592829746e-08
2.374749499e+03 8.170465199e+00 3.688432044e+00 3.220998143e-02 6.441996287e-08
2.384769539e+03 8.170696746e+00 3.688921246e+00 3.147303151e-02 6.294606303e-08
2.394789579e+03 8.170923023e+00 3.689399268e+00 3.075290593e-02 6.150581186e-08
2.404809619e+03 8.171144151e+00 3.689866366e+00 3.004922101e-02 6.009844202e-08
2.414829659e+03 8.171360245e+00 3.690322789e+00 2.936160333e-02 5.872320666e-08
2.424849699e+03 8.171571418e+00 3.690768778e+00 2.868968905e-02 5.737937810e-08
2.434869739e+03 8.171777784e+00 3.691204574e+00 2.803311924e-02 5.606623848e-08
2.444889780e+03 8.171979449e+00 3.691630408e+00 2.739154411e-02 5.478308823e-08
2.454909820e+03 8.172176521e+00 3.692046506e+00 2.676462418e-02 5.352924835e-08
2.464929860e+03 8.172369104e+00 3.692453091e+00 2.615202520e-02 5.230405041e-08
2.474949900e+03 8.172557299e+00 3.692850380e+00 2.555342140e-02 5.110684281e-08
2.484969940e+03 8.172741205e+00 3.693238585e+00 2.496849428e-02 4.993698856e-08
2.494989980e+03 8.172920919e+00 3.693617912e+00 2.439693251e-02 4.879386503e-08
2.505010020e+03 8.173096537e+00 3.693988565e+00 2.383843209e-02 4.767686417e-08
2.515030060e+03 8.173268151e+00 3.694350740e+00 2.329269578e-02 4.658539156e-08
2.525050100e+03 8.173435852e+00 3.694704631e+00 2.275943248e-02 4.551886496e-08
