time            Cj              Ck             
3.823647295e+02 3.853022134e+02 3.962380971e+02
3.847695391e+02 3.853149967e+02 3.962574328e+02
3.871743487e+02 3.853275811e+02 3.962764680e+02
3.895791583e+02 3.853399713e+02 3.962952098e+02
3.919839679e+02 3.853521716e+02 3.963136647e+02
3.943887776e+02 3.853641865e+02 3.963318394e+02
3.967935872e+02 3.853760201e+02 3.963497401e+02
3.991983968e+02 3.853876765e+02 3.963673731e+02
4.016032064e+02 3.853991597e+02 3.963847442e+02
4.040080160e+02 3.854104734e+02 3.964018593e+02
4.064128257e+02 3.854216214e+02 3.964187239e+02
4.088176353e+02 3.854326073e+02 3.964353436e+02
4.112224449e+02 3.854434346e+02 3.964517236e+02
4.136272545e+02 3.854541067e+02 3.964678691e+02
4.160320641e+02 3.854646270e+02 3.964837850e+02
4.184368737e+02 3.854749986e+02 3.964994763e+02
4.208416834e+02 3.854852247e+02 3.965149476e+02
4.232464930e+02 3.854953083e+02 3.965302035e+02
4.256513026e+02 3.855052524e+02 3.965452485e+02
4.280561122e+02 3.855150598e+02 3.965600870e+02
4.304609218e+02 3.855247333e+02 3.965747231e+02
4.328657315e+02 3.855342757e+02 3.965891610e+02
4.352705411e+02 3.855436896e+02 3.966034046e+02
4.376753507e+02 3.855529776e+02 3.966174580e+02
4.400801603e+02 3.855621422e+02 3.966313247e+02
4.424849699e+02 3.855711858e+02 3.966450086e+02
4.448897796e+02 3.855801109e+02 3.966585132e+02
4.472945892e+02 3.855889196e+02 3.966718420e+02
4.496993988e+02 3.855976144e+02 3.966849985e+02
4.521042084e+02 3.856061973e+02 3.966979859e+02
4.545090180e+02 3.856146705e+02 3.967108075e+02
4.569138277e+02 3.856230362e+02 3.967234664e+02
4.593186373e+02 3.856312963e+02 3.967359658e+02
4.617234469e+02 3.856394528e+02 3.967483085e+02
4.641282565e+02 3.856475077e+02 3.967604976e+02
4.665330661e+02 3.856554629e+02 3.967725359e+02
4.689378758e+02 3.856633201e+02 3.967844262e+02
4.713426854e+02 3.856710812e+02 3.967961711e+02
4.737474950e+02 3.856787480e+02 3.968077733e+02
4.761523046e+02 3.856863221e+02 3.968192355e+02
4.785571142e+02 3.856938052e+02 3.968305601e+02
4.809619238e+02 3.857011990e+02 3.968417495e+02
4.833667335e+02 3.857085050e+02 3.968528063e+02
4.857715431e+02 3.857157248e+02 3.968637327e+02
4.881763527e+02 3.857228600e+02 3.968745310e+02
4.905811623e+02 3.857299118e+02 3.968852034e+02
4.929859719e+02 3.857368820e+02 3.968957523e+02
4.953907816e+02 3.857437718e+02 3.969061796e+02
4.977955912e+02 3.857505826e+02 3.969164875e+02
5.002004008e+02 3.857573157e+02 3.969266780e+02
5.026052104e+02 3.857639726e+02 3.969367531e+02
5.050100200e+02 3.857705545e+02 3.969467147e+02
5.074148297e+02 3.857770626e+02 3.969565648e+02
5.098196393e+02 3.857834981e+02 3.969663053e+02
5.122244489e+02 3.857898624e+02 3.969759378e+02
5.146292585e+02 3.857961565e+02 3.969854643e+02
5.170340681e+02 3.858023817e+02 3.969948865e+02
5.194388778e+02 3.858085389e+02 3.970042060e+02
5.218436874e+02 3.858146294e+02 3.970134246e+02
5.242484970e+02 3.858206543e+02 3.970225438e+02
5.266533066e+02 3.858266145e+02 3.970315652e+02
5.290581162e+02 3.858325111e+02 3.970404906e+02
5.314629259e+02 3.858383452e+02 3.970493212e+02
5.338677355e+02 3.858441176e+02 3.970580587e+02
5.362725451e+02 3.858498295e+02 3.970667045e+02
5.386773547e+02 3.858554817e+02 3.970752601e+02
5.410821643e+02 3.858610751e+02 3.970837268e+02
5.434869739e+02 3.858666107e+02 3.970921060e+02
5.458917836e+02 3.858720894e+02 3.971003992e+02
5.482965932e+02 3.858775121e+02 3.971086075e+02
5.507014028e+02 3.858828795e+02 3.971167324e+02
5.531062124e+02 3.858881925e+02 3.971247749e+02
5.555110220e+02 3.858934520e+02 3.971327365e+02
5.579158317e+02 3.858986588e+02 3.971406183e+02
5.603206413e+02 3.859038136e+02 3.971484215e+02
5.627254509e+02 3.859089172e+02 3.971561473e+02
5.651302605e+02 3.859139704e+02 3.971637968e+02
5.675350701e+02 3.859189740e+02 3.971713712e+02
5.699398798e+02 3.859239286e+02 3.971788715e+02
5.723446894e+02 3.859288349e+02 3.971862988e+02
5.747494990e+02 3.859336937e+02 3.971936543e+02
5.771543086e+02 3.859385057e+02 3.972009389e+02
5.795591182e+02 3.859432715e+02 3.972081536e+02
5.819639279e+02 3.859479918e+02 3.972152995e+02
5.843687375e+02 3.859526673e+02 3.972223775e+02
5.867735471e+02 3.859572985e+02 3.972293886e+02
5.891783567e+02 3.859618861e+02 3.972363337e+02
5.915831663e+02 3.859664307e+02 3.972432138e+02
5.939879760e+02 3.859709329e+02 3.972500297e+02
5.963927856e+02 3.859753933e+02 3.972567824e+02
