time            Cj              shCj           
4.729458918e+02 6.387418133e-01 6.387418133e-01
4.749498998e+02 6.369373590e-01 6.369373590e-01
4.769539078e+02 6.351430716e-01 6.351430716e-01
4.789579158e+02 6.333588657e-01 6.333588657e-01
4.809619238e+02 6.315846567e-01 6.315846567e-01
4.829659319e+02 6.298203601e-01 6.298203601e-01
4.849699399e+02 6.280658939e-01 6.280658939e-01
4.869739479e+02 6.263211756e-01 6.263211756e-01
4.889779559e+02 6.245861236e-01 6.245861236e-01
4.909819639e+02 6.228606590e-01 6.228606590e-01
4.929859719e+02 6.211447026e-01 6.211447026e-01
4.949899800e+02 6.194381733e-01 6.194381733e-01
4.969939880e+02 6.177409967e-01 6.177409967e-01
4.989979960e+02 6.160530947e-01 6.160530947e-01
5.010020040e+02 6.143743919e-01 6.143743919e-01
5.030060120e+02 6.127048130e-01 6.127048130e-01
5.050100200e+02 6.110442837e-01 6.110442837e-01
5.070140281e+02 6.093927309e-01 6.093927309e-01
5.090180361e+02 6.077500824e-01 6.077500824e-01
5.110220441e+02 6.061162657e-01 6.061162657e-01
5.130260521e+02 6.044912095e-01 6.044912095e-01
5.150300601e+02 6.028748438e-01 6.028748438e-01
5.170340681e+02 6.012670997e-01 6.012670997e-01
5.190380762e+02 5.996679089e-01 5.996679089e-01
5.210420842e+02 5.980772031e-01 5.980772031e-01
5.230460922e+02 5.964949142e-01 5.964949142e-01
5.250501002e+02 5.949209758e-01 5.949209758e-01
5.270541082e+02 5.933553218e-01 5.933553218e-01
5.290581162e+02 5.917978873e-01 5.917978873e-01
5.310621242e+02 5.902486075e-01 5.902486075e-01
5.330661323e+02 5.887074186e-01 5.887074186e-01
5.350701403e+02 5.871742572e-01 5.871742572e-01
5.370741483e+02 5.856490608e-01 5.856490608e-01
5.390781563e+02 5.841317678e-01 5.841317678e-01
5.410821643e+02 5.826223170e-01 5.826223170e-01
5.430861723e+02 5.811206472e-01 5.811206472e-01
5.450901804e+02 5.796266987e-01 5.796266987e-01
5.470941884e+02 5.781404120e-01 5.781404120e-01
5.490981964e+02 5.766617285e-01 5.766617285e-01
5.511022044e+02 5.751905900e-01 5.751905900e-01
5.531062124e+02 5.737269387e-01 5.737269387e-01
5.551102204e+02 5.722707176e-01 5.722707176e-01
5.571142285e+02 5.708218701e-01 5.708218701e-01
5.591182365e+02 5.693803405e-01 5.693803405e-01
5.611222445e+02 5.679460735e-01 5.679460735e-01
5.631262525e+02 5.665190145e-01 5.665190145e-01
5.651302605e+02 5.650991092e-01 5.650991092e-01
5.671342685e+02 5.636863042e-01 5.636863042e-01
5.691382766e+02 5.622805463e-01 5.622805463e-01
5.711422846e+02 5.608817830e-01 5.608817830e-01
5.731462926e+02 5.594899621e-01 5.594899621e-01
5.751503006e+02 5.581050322e-01 5.581050322e-01
5.771543086e+02 5.567269421e-01 5.567269421e-01
5.791583166e+02 5.553556411e-01 5.553556411e-01
5.811623246e+02 5.539910791e-01 5.539910791e-01
5.831663327e+02 5.526332063e-01 5.526332063e-01
5.851703407e+02 5.512819734e-01 5.512819734e-01
5.871743487e+02 5.499373315e-01 5.499373315e-01
5.891783567e+02 5.485992326e-01 5.485992326e-01
5.911823647e+02 5.472676296e-01 5.472676296e-01
5.931863727e+02 5.459424753e-01 5.459424753e-01
5.951903808e+02 5.446237230e-01 5.446237230e-01
5.971943888e+02 5.433113264e-01 5.433113264e-01
5.991983968e+02 5.420052397e-01 5.420052397e-01
6.012024048e+02 5.407054174e-01 5.407054174e-01
6.032064128e+02 5.394118147e-01 5.394118147e-01
6.052104208e+02 5.381243869e-01 5.381243869e-01
6.072144289e+02 5.368430899e-01 5.368430899e-01
6.092184369e+02 5.355678804e-01 5.355678804e-01
6.112224449e+02 5.342987152e-01 5.342987152e-01
6.132264529e+02 5.330355516e-01 5.330355516e-01
6.152304609e+02 5.317783471e-01 5.317783471e-01
6.172344689e+02 5.305270599e-01 5.305270599e-01
