time            Br              Cj             
2.420841683e+03 9.864036500e-12 1.201639619e+01
2.428857715e+03 9.557995236e-12 1.201639619e+01
2.436873747e+03 9.251953972e-12 1.201639619e+01
2.444889780e+03 8.945912708e-12 1.201639619e+01
2.452905812e+03 8.639871444e-12 1.201639619e+01
2.460921844e+03 8.333830180e-12 1.201639619e+01
2.468937876e+03 8.027788916e-12 1.201639619e+01
2.476953908e+03 7.721747652e-12 1.201639619e+01
2.484969940e+03 7.415706388e-12 1.201639619e+01
2.492985972e+03 7.109665124e-12 1.201639619e+01
2.501002004e+03 6.803623860e-12 1.201639619e+01
2.509018036e+03 6.497582596e-12 1.201639619e+01
2.517034068e+03 6.191541332e-12 1.201639619e+01
2.525050100e+03 5.885500068e-12 1.201639619e+01
2.533066132e+03 5.579458804e-12 1.201639619e+01
2.541082164e+03 5.273417540e-12 1.201639619e+01
2.549098196e+03 4.967376276e-12 1.201639619e+01
2.557114228e+03 4.661335012e-12 1.201639619e+01
2.565130261e+03 4.355293748e-12 1.201639619e+01
2.573146293e+03 4.049252484e-12 1.201639619e+01
2.581162325e+03 3.743211220e-12 1.201639619e+01
2.589178357e+03 3.437169956e-12 1.201639619e+01
2.597194389e+03 3.131128692e-12 1.201639619e+01
2.605210421e+03 2.825087428e-12 1.201639619e+01
2.613226453e+03 2.785912319e-12 1.201639619e+01
2.621242485e+03 2.776540337e-12 1.201639619e+01
2.629258517e+03 2.767168355e-12 1.201639619e+01
2.637274549e+03 2.757796373e-12 1.201639619e+01
2.645290581e+03 2.748424391e-12 1.201639619e+01
2.653306613e+03 2.739052409e-12 1.201639619e+01
2.661322645e+03 2.729680427e-12 1.201639619e+01
2.669338677e+03 2.720308445e-12 1.201639619e+01
2.677354709e+03 2.710936463e-12 1.201639619e+01
2.685370741e+03 2.701564481e-12 1.201639619e+01
2.693386774e+03 2.692192499e-12 1.201639619e+01
2.701402806e+03 2.682820517e-12 1.201639619e+01
2.709418838e+03 2.673448535e-12 1.201639619e+01
2.717434870e+03 2.664076553e-12 1.201639619e+01
2.725450902e+03 2.654704571e-12 1.201639619e+01
2.733466934e+03 2.645332589e-12 1.201639619e+01
2.741482966e+03 2.635960608e-12 1.201639619e+01
2.749498998e+03 2.626588626e-12 1.201639619e+01
2.757515030e+03 2.617216644e-12 1.201639619e+01
2.765531062e+03 2.607844662e-12 1.201639619e+01
2.773547094e+03 2.598472680e-12 1.201639619e+01
2.781563126e+03 2.589100698e-12 1.201639619e+01
2.789579158e+03 2.579728716e-12 1.201639619e+01
2.797595190e+03 2.570356734e-12 1.201639619e+01
2.805611222e+03 2.560984752e-12 1.201639619e+01
2.813627255e+03 2.551612770e-12 1.201639619e+01
2.821643287e+03 2.542240788e-12 1.201639619e+01
2.829659319e+03 2.532868806e-12 1.201639619e+01
2.837675351e+03 2.523496824e-12 1.201639619e+01
2.845691383e+03 2.514124842e-12 1.201639619e+01
2.853707415e+03 2.504752860e-12 1.201639619e+01
2.861723447e+03 2.495380878e-12 1.201639619e+01
2.869739479e+03 2.486008896e-12 1.201639619e+01
2.877755511e+03 2.476636915e-12 1.201639619e+01
2.885771543e+03 2.467264933e-12 1.201639619e+01
2.893787575e+03 2.457892951e-12 1.201639619e+01
2.901803607e+03 2.448520969e-12 1.201639619e+01
2.909819639e+03 2.439148987e-12 1.201639619e+01
2.917835671e+03 2.429777005e-12 1.201639619e+01
2.925851703e+03 2.420405023e-12 1.201639619e+01
2.933867735e+03 2.411033041e-12 1.201639619e+01
2.941883768e+03 2.401661059e-12 1.201639619e+01
2.949899800e+03 2.392289077e-12 1.201639619e+01
2.957915832e+03 2.382917095e-12 1.201639619e+01
2.965931864e+03 2.373545113e-12 1.201639619e+01
2.973947896e+03 2.364173131e-12 1.201639619e+01
2.981963928e+03 2.354801149e-12 1.201639619e+01
2.989979960e+03 2.345429167e-12 1.201639619e+01
2.997995992e+03 2.336057185e-12 1.201639619e+01
3.006012024e+03 2.326685203e-12 1.201639619e+01
3.014028056e+03 2.317313222e-12 1.201639619e+01
3.022044088e+03 2.307941240e-12 1.201639619e+01
3.030060120e+03 2.298569258e-12 1.201639619e+01
3.038076152e+03 2.289197276e-12 1.201639619e+01
3.046092184e+03 2.279825294e-12 1.201639619e+01
3.054108216e+03 2.270453312e-12 1.201639619e+01
3.062124248e+03 2.261081330e-12 1.201639619e+01
3.070140281e+03 2.251709348e-12 1.201639619e+01
3.078156313e+03 2.242337366e-12 1.201639619e+01
3.086172345e+03 2.232965384e-12 1.201639619e+01
3.094188377e+03 2.223593402e-12 1.201639619e+01
3.102204409e+03 2.214221420e-12 1.201639619e+01
3.110220441e+03 2.204849438e-12 1.201639619e+01
3.118236473e+03 2.195477456e-12 1.201639619e+01
3.126252505e+03 2.186105474e-12 1.201639619e+01
3.134268537e+03 2.176733492e-12 1.201639619e+01
3.142284569e+03 2.167361510e-12 1.201639619e+01
3.150300601e+03 2.157989528e-12 1.201639619e+01
3.158316633e+03 2.148617547e-12 1.201639619e+01
3.166332665e+03 2.139245565e-12 1.201639619e+01
3.174348697e+03 2.129873583e-12 1.201639619e+01
3.182364729e+03 2.120501601e-12 1.201639619e+01
3.190380762e+03 2.111129619e-12 1.201639619e+01
3.198396794e+03 2.101757637e-12 1.201639619e+01
3.206412826e+03 2.092385655e-12 1.201639619e+01
3.214428858e+03 2.083013673e-12 1.201639619e+01
3.222444890e+03 2.073641691e-12 1.201639619e+01
3.230460922e+03 2.064269709e-12 1.201639619e+01
3.238476954e+03 2.054897727e-12 1.201639619e+01
3.246492986e+03 2.045525745e-12 1.201639619e+01
3.254509018e+03 2.036153763e-12 1.201639619e+01
3.262525050e+03 2.026781781e-12 1.201639619e+01
3.270541082e+03 2.017409799e-12 1.201639619e+01
3.278557114e+03 2.008037817e-12 1.201639619e+01
3.286573146e+03 1.998665835e-12 1.201639619e+01
3.294589178e+03 1.989293854e-12 1.201639619e+01
3.302605210e+03 1.979921872e-12 1.201639619e+01
3.310621242e+03 1.970549890e-12 1.201639619e+01
3.318637275e+03 1.961177908e-12 1.201639619e+01
3.326653307e+03 1.951805926e-12 1.201639619e+01
3.334669339e+03 1.942433944e-12 1.201639619e+01
3.342685371e+03 1.933061962e-12 1.201639619e+01
3.350701403e+03 1.923689980e-12 1.201639619e+01
3.358717435e+03 1.914317998e-12 1.201639619e+01
3.366733467e+03 1.904946016e-12 1.201639619e+01
3.374749499e+03 1.895574034e-12 1.201639619e+01
3.382765531e+03 1.886202052e-12 1.201639619e+01
3.390781563e+03 1.876830070e-12 1.201639619e+01
3.398797595e+03 1.867458088e-12 1.201639619e+01
3.406813627e+03 1.858086106e-12 1.201639619e+01
3.414829659e+03 1.848714124e-12 1.201639619e+01
3.422845691e+03 1.839342142e-12 1.201639619e+01
3.430861723e+03 1.829970160e-12 1.201639619e+01
3.438877756e+03 1.820598179e-12 1.201639619e+01
3.446893788e+03 1.811226197e-12 1.201639619e+01
3.454909820e+03 1.801854215e-12 1.201639619e+01
3.462925852e+03 1.792482233e-12 1.201639619e+01
3.470941884e+03 1.783110251e-12 1.201639619e+01
3.478957916e+03 1.773738269e-12 1.201639619e+01
3.486973948e+03 1.764366287e-12 1.201639619e+01
3.494989980e+03 1.754994305e-12 1.201639619e+01
3.503006012e+03 1.745622323e-12 1.201639619e+01
3.511022044e+03 1.736250341e-12 1.201639619e+01
3.519038076e+03 1.726878359e-12 1.201639619e+01
3.527054108e+03 1.717506377e-12 1.201639619e+01
3.535070140e+03 1.708134395e-12 1.201639619e+01
3.543086172e+03 1.698762413e-12 1.201639619e+01
3.551102204e+03 1.689390431e-12 1.201639619e+01
3.559118236e+03 1.680018449e-12 1.201639619e+01
