time            shCj            shCk            shBr           
1.094188377e+03 3.151214492e+00 3.153876792e+00 3.977770226e-03
1.100200401e+03 3.151296532e+00 3.153964501e+00 3.750509842e-03
1.106212425e+03 3.151373889e+00 3.154047205e+00 3.536225877e-03
1.112224449e+03 3.151446830e+00 3.154125195e+00 3.334177331e-03
1.118236473e+03 3.151515605e+00 3.154198720e+00 3.143671537e-03
1.124248497e+03 3.151580452e+00 3.154268044e+00 2.964047175e-03
1.130260521e+03 3.151641595e+00 3.154333408e+00 2.794683038e-03
1.136272545e+03 3.151699247e+00 3.154395046e+00 2.634993234e-03
1.142284569e+03 3.151753607e+00 3.154453163e+00 2.484422167e-03
1.148296593e+03 3.151804859e+00 3.154507956e+00 2.342464080e-03
1.154308617e+03 3.151853183e+00 3.154559621e+00 2.208615267e-03
1.160320641e+03 3.151898748e+00 3.154608336e+00 2.082408427e-03
1.166332665e+03 3.151941711e+00 3.154654270e+00 1.963412028e-03
1.172344689e+03 3.151982220e+00 3.154697580e+00 1.851213595e-03
1.178356713e+03 3.152020414e+00 3.154738415e+00 1.745424621e-03
1.184368737e+03 3.152056428e+00 3.154776915e+00 1.645677251e-03
1.190380762e+03 3.152090383e+00 3.154813210e+00 1.551628950e-03
1.196392786e+03 3.152122399e+00 3.154847445e+00 1.462956349e-03
1.202404810e+03 3.152152585e+00 3.154879715e+00 1.379350300e-03
1.208416834e+03 3.152181048e+00 3.154910149e+00 1.300521533e-03
1.214428858e+03 3.152207883e+00 3.154938838e+00 1.226197095e-03
1.220440882e+03 3.152233186e+00 3.154965890e+00 1.156118012e-03
1.226452906e+03 3.152257041e+00 3.154991394e+00 1.090049587e-03
1.232464930e+03 3.152279531e+00 3.155015440e+00 1.027759221e-03
1.238476954e+03 3.152300739e+00 3.155038115e+00 9.690238061e-04
1.244488978e+03 3.152320735e+00 3.155059494e+00 9.136436653e-04
1.250501002e+03 3.152339588e+00 3.155079652e+00 8.614291943e-04
1.256513026e+03 3.152357364e+00 3.155098660e+00 8.121980717e-04
1.262525050e+03 3.152374125e+00 3.155116582e+00 7.657797483e-04
1.268537074e+03 3.152389928e+00 3.155133486e+00 7.220120075e-04
1.274549098e+03 3.152404830e+00 3.155149434e+00 6.807446921e-04
1.280561122e+03 3.152418878e+00 3.155164443e+00 6.418378232e-04
1.286573146e+03 3.152432121e+00 3.155178573e+00 6.051543702e-04
1.292585170e+03 3.152444611e+00 3.155191946e+00 5.705674059e-04
1.298597194e+03 3.152456385e+00 3.155204518e+00 5.379571122e-04
1.304609218e+03 3.152467487e+00 3.155216388e+00 5.072100755e-04
1.310621242e+03 3.152477954e+00 3.155227580e+00 4.782201016e-04
1.316633267e+03 3.152487823e+00 3.155238131e+00 4.508892555e-04
1.322645291e+03 3.152497128e+00 3.155248079e+00 4.251189620e-04
1.328657315e+03 3.152505905e+00 3.155257464e+00 4.008107704e-04
1.334669339e+03 3.152514173e+00 3.155266306e+00 3.779125751e-04
1.340681363e+03 3.152521974e+00 3.155274644e+00 3.563084217e-04
1.346693387e+03 3.152529328e+00 3.155282505e+00 3.359406900e-04
1.352705411e+03 3.152536262e+00 3.155289919e+00 3.167377333e-04
1.358717435e+03 3.152542796e+00 3.155296910e+00 2.986439855e-04
1.364729459e+03 3.152548959e+00 3.155303513e+00 2.815784344e-04
1.370741483e+03 3.152554769e+00 3.155309707e+00 2.654844311e-04
1.376753507e+03 3.152560248e+00 3.155315567e+00 2.503103472e-04
1.382765531e+03 3.152565414e+00 3.155321088e+00 2.360030041e-04
1.388777555e+03 3.152570286e+00 3.155326296e+00 2.225126039e-04
1.394789579e+03 3.152574878e+00 3.155331205e+00 2.097940426e-04
1.400801603e+03 3.152579206e+00 3.155335831e+00 1.978074683e-04
1.406813627e+03 3.152583286e+00 3.155340189e+00 1.865060562e-04
1.412825651e+03 3.152587136e+00 3.155344305e+00 1.758459703e-04
1.418837675e+03 3.152590765e+00 3.155348193e+00 1.657952393e-04
1.424849699e+03 3.152594187e+00 3.155351855e+00 1.563193547e-04
1.430861723e+03 3.152597413e+00 3.155355302e+00 1.473853597e-04
1.436873747e+03 3.152600454e+00 3.155358551e+00 1.389620560e-04
1.442885772e+03 3.152603322e+00 3.155361616e+00 1.310201677e-04
1.448897796e+03 3.152606026e+00 3.155364506e+00 1.235323887e-04
1.454909820e+03 3.152608574e+00 3.155367231e+00 1.164741654e-04
1.460921844e+03 3.152610978e+00 3.155369801e+00 1.098185417e-04
1.466933868e+03 3.152613243e+00 3.155372223e+00 1.035449541e-04
1.472945892e+03 3.152615379e+00 3.155374507e+00 9.762856688e-05
1.478957916e+03 3.152617393e+00 3.155376660e+00 9.205173385e-05
1.484969940e+03 3.152619292e+00 3.155378690e+00 8.679275381e-05
1.490981964e+03 3.152621082e+00 3.155380605e+00 8.183439947e-05
1.496993988e+03 3.152622771e+00 3.155382410e+00 7.715860123e-05
1.503006012e+03 3.152624362e+00 3.155384111e+00 7.275094795e-05
1.509018036e+03 3.152625863e+00 3.155385716e+00 6.859404784e-05
1.515030060e+03 3.152627279e+00 3.155387229e+00 6.467352490e-05
1.521042084e+03 3.152628614e+00 3.155388657e+00 6.097500391e-05
1.527054108e+03 3.152629874e+00 3.155390004e+00 5.748732273e-05
1.533066132e+03 3.152631061e+00 3.155391273e+00 5.420001663e-05
1.539078156e+03 3.152632181e+00 3.155392470e+00 5.109842552e-05
1.545090180e+03 3.152633237e+00 3.155393599e+00 4.817455212e-05
1.551102204e+03 3.152634231e+00 3.155394663e+00 4.541954888e-05
1.557114228e+03 3.152635170e+00 3.155395666e+00 4.282105112e-05
1.563126253e+03 3.152636054e+00 3.155396611e+00 4.037170893e-05
1.569138277e+03 3.152636888e+00 3.155397502e+00 3.806344427e-05
1.575150301e+03 3.152637673e+00 3.155398343e+00 3.588698214e-05
1.581162325e+03 3.152638414e+00 3.155399135e+00 3.383524839e-05
1.587174349e+03 3.152639113e+00 3.155399881e+00 3.190111703e-05
1.593186373e+03 3.152639771e+00 3.155400586e+00 3.007742054e-05
1.599198397e+03 3.152640392e+00 3.155401249e+00 2.835795444e-05
1.605210421e+03 3.152640978e+00 3.155401875e+00 2.673681654e-05
1.611222445e+03 3.152641529e+00 3.155402465e+00 2.520831837e-05
1.617234469e+03 3.152642050e+00 3.155403022e+00 2.376682406e-05
1.623246493e+03 3.152642541e+00 3.155403546e+00 2.240769878e-05
1.629258517e+03 3.152643003e+00 3.155404041e+00 2.112648389e-05
1.635270541e+03 3.152643440e+00 3.155404508e+00 1.991820430e-05
1.641282565e+03 3.152643851e+00 3.155404947e+00 1.877877063e-05
1.647294589e+03 3.152644239e+00 3.155405362e+00 1.770461747e-05
1.653306613e+03 3.152644605e+00 3.155405753e+00 1.669218025e-05
1.659318637e+03 3.152644949e+00 3.155406122e+00 1.573716588e-05
1.665330661e+03 3.152645274e+00 3.155406469e+00 1.483681866e-05
1.671342685e+03 3.152645581e+00 3.155406797e+00 1.398820134e-05
1.677354709e+03 3.152645870e+00 3.155407106e+00 1.318817960e-05
1.683366733e+03 3.152646142e+00 3.155407397e+00 1.243365937e-05
1.689378758e+03 3.152646399e+00 3.155407672e+00 1.172241548e-05
1.695390782e+03 3.152646641e+00 3.155407930e+00 1.105209945e-05
1.701402806e+03 3.152646869e+00 3.155408174e+00 1.041987582e-05
1.707414830e+03 3.152647085e+00 3.155408405e+00 9.823847888e-06
1.713426854e+03 3.152647287e+00 3.155408621e+00 9.262001839e-06
1.719438878e+03 3.152647479e+00 3.155408826e+00 8.732421705e-06
1.725450902e+03 3.152647659e+00 3.155409019e+00 8.233300851e-06
1.731462926e+03 3.152647829e+00 3.155409200e+00 7.762926748e-06
1.737474950e+03 3.152647989e+00 3.155409371e+00 7.319589752e-06
