time            Br              Cj              sCj             sBr            
8.545090180e+02 1.079637576e-05 1.200159775e+01 0.000000000e+00 1.000000000e+01
8.586773547e+02 1.004521690e-05 1.200159856e+01 0.000000000e+00 1.000000000e+01
8.628456914e+02 9.346438452e-06 1.200159932e+01 0.000000000e+00 1.000000000e+01
8.670140281e+02 8.696331460e-06 1.200160002e+01 0.000000000e+00 1.000000000e+01
8.711823647e+02 8.091597631e-06 1.200160068e+01 0.000000000e+00 1.000000000e+01
8.753507014e+02 7.528945221e-06 1.200160127e+01 0.000000000e+00 1.000000000e+01
8.795190381e+02 7.005566520e-06 1.200160183e+01 0.000000000e+00 1.000000000e+01
8.836873747e+02 6.518538966e-06 1.200160235e+01 0.000000000e+00 1.000000000e+01
8.878557114e+02 6.065454419e-06 1.200160283e+01 0.000000000e+00 1.000000000e+01
8.920240481e+02 5.643827153e-06 1.200160328e+01 0.000000000e+00 1.000000000e+01
8.961923848e+02 5.251532323e-06 1.200160370e+01 0.000000000e+00 1.000000000e+01
9.003607214e+02 4.887020517e-06 1.200160408e+01 0.000000000e+00 1.000000000e+01
9.045290581e+02 4.548270229e-06 1.200160445e+01 0.000000000e+00 1.000000000e+01
9.086973948e+02 4.232879813e-06 1.200160478e+01 0.000000000e+00 1.000000000e+01
9.128657315e+02 3.939074901e-06 1.200160510e+01 0.000000000e+00 1.000000000e+01
9.170340681e+02 3.666661384e-06 1.200160539e+01 0.000000000e+00 1.000000000e+01
9.212024048e+02 3.413031904e-06 1.200160566e+01 0.000000000e+00 1.000000000e+01
9.253707415e+02 3.176440036e-06 1.200160591e+01 0.000000000e+00 1.000000000e+01
9.295390782e+02 2.956633333e-06 1.200160615e+01 0.000000000e+00 1.000000000e+01
9.337074148e+02 2.752407146e-06 1.200160637e+01 0.000000000e+00 1.000000000e+01
9.378757515e+02 2.562002008e-06 1.200160657e+01 0.000000000e+00 1.000000000e+01
9.420440882e+02 2.384807146e-06 1.200160676e+01 0.000000000e+00 1.000000000e+01
9.462124248e+02 2.219825954e-06 1.200160694e+01 0.000000000e+00 1.000000000e+01
