time            Cj              Ck              Br             
7.815631263e+02 3.959256500e+00 1.896321487e+00 1.261634631e+00
7.875751503e+02 3.963185143e+00 1.904436649e+00 1.248005423e+00
7.935871743e+02 3.967087811e+00 1.912472219e+00 1.234496611e+00
7.995991984e+02 3.970964364e+00 1.920428743e+00 1.221107710e+00
8.056112224e+02 3.974814668e+00 1.928306769e+00 1.207838227e+00
8.116232465e+02 3.978638600e+00 1.936106847e+00 1.194687656e+00
8.176352705e+02 3.982436047e+00 1.943829524e+00 1.181655481e+00
8.236472946e+02 3.986206904e+00 1.951475350e+00 1.168741176e+00
8.296593186e+02 3.989951076e+00 1.959044875e+00 1.155944206e+00
8.356713427e+02 3.993668476e+00 1.966538647e+00 1.143264022e+00
8.416833667e+02 3.997359025e+00 1.973957217e+00 1.130700070e+00
8.476953908e+02 4.001022652e+00 1.981301133e+00 1.118251788e+00
8.537074148e+02 4.004659293e+00 1.988570947e+00 1.105918602e+00
8.597194389e+02 4.008268894e+00 1.995767208e+00 1.093699933e+00
8.657314629e+02 4.011851406e+00 2.002890466e+00 1.081595192e+00
8.717434870e+02 4.015406794e+00 2.009941269e+00 1.069603777e+00
8.777555110e+02 4.018935022e+00 2.016920167e+00 1.057725087e+00
8.837675351e+02 4.022436065e+00 2.023827708e+00 1.045958511e+00
8.897795591e+02 4.025909904e+00 2.030664441e+00 1.034303431e+00
8.957915832e+02 4.029356526e+00 2.037430912e+00 1.022759222e+00
9.018036072e+02 4.032775926e+00 2.044127667e+00 1.011325253e+00
9.078156313e+02 4.036168108e+00 2.050755255e+00 1.000000883e+00
9.138276553e+02 4.039533079e+00 2.057314220e+00 9.887854685e-01
9.198396794e+02 4.042870850e+00 2.063805107e+00 9.776783630e-01
9.258517034e+02 4.046181441e+00 2.070228458e+00 9.666789122e-01
9.318637275e+02 4.049464878e+00 2.076584816e+00 9.557864575e-01
9.378757515e+02 4.052721189e+00 2.082874723e+00 9.450003354e-01
9.438877756e+02 4.055950412e+00 2.089098719e+00 9.343198753e-01
9.498997996e+02 4.059152590e+00 2.095257343e+00 9.237444031e-01
9.559118236e+02 4.062327768e+00 2.101351134e+00 9.132732433e-01
9.619238477e+02 4.065475997e+00 2.107380627e+00 9.029057152e-01
9.679358717e+02 4.068597334e+00 2.113346357e+00 8.926411347e-01
9.739478958e+02 4.071691840e+00 2.119248859e+00 8.824788128e-01
9.799599198e+02 4.074759582e+00 2.125088665e+00 8.724180576e-01
9.859719439e+02 4.077800628e+00 2.130866304e+00 8.624581760e-01
9.919839679e+02 4.080815054e+00 2.136582307e+00 8.525984715e-01
9.979959920e+02 4.083802938e+00 2.142237200e+00 8.428382450e-01
1.004008016e+03 4.086764363e+00 2.147831509e+00 8.331767945e-01
1.010020040e+03 4.089699415e+00 2.153365759e+00 8.236134155e-01
1.016032064e+03 4.092608185e+00 2.158840469e+00 8.141474034e-01
1.022044088e+03 4.095490766e+00 2.164256161e+00 8.047780514e-01
1.028056112e+03 4.098347256e+00 2.169613353e+00 7.955046514e-01
1.034068136e+03 4.101177755e+00 2.174912560e+00 7.863264927e-01
1.040080160e+03 4.103982369e+00 2.180154296e+00 7.772428629e-01
1.046092184e+03 4.106761205e+00 2.185339075e+00 7.682530514e-01
1.052104208e+03 4.109514371e+00 2.190467404e+00 7.593563458e-01
1.058116232e+03 4.112241982e+00 2.195539792e+00 7.505520334e-01
1.064128257e+03 4.114944154e+00 2.200556744e+00 7.418394001e-01
1.070140281e+03 4.117621006e+00 2.205518763e+00 7.332177297e-01
1.076152305e+03 4.120272659e+00 2.210426349e+00 7.246863099e-01
1.082164329e+03 4.122899237e+00 2.215280001e+00 7.162444270e-01
1.088176353e+03 4.125500866e+00 2.220080215e+00 7.078913679e-01
1.094188377e+03 4.128077674e+00 2.224827483e+00 6.996264188e-01
