time            shAp            shAq            shBr            shBs            shYi            shYj           
1.963927856e+03 1.373153938e-01 1.066025396e-01 7.479586134e+00 5.828977229e+00 6.103051021e-01 5.483554257e-01
1.973947896e+03 1.345916401e-01 1.046031116e-01 7.488074024e+00 5.841415469e+00 6.017564594e-01 5.413531575e-01
1.983967936e+03 1.319150646e-01 1.026339062e-01 7.496487078e+00 5.853712654e+00 5.932913317e-01 5.343974761e-01
1.993987976e+03 1.292850585e-01 1.006947040e-01 7.504824869e+00 5.865869372e+00 5.849096586e-01 5.274891498e-01
2.004008016e+03 1.267010160e-01 9.878528152e-02 7.513087001e+00 5.877886233e+00 5.766113626e-01 5.206289159e-01
2.014028056e+03 1.241623334e-01 9.690540815e-02 7.521273114e+00 5.889763863e+00 5.683963541e-01 5.138174811e-01
2.024048096e+03 1.216684095e-01 9.505484645e-02 7.529382881e+00 5.901502906e+00 5.602645305e-01 5.070555219e-01
2.034068136e+03 1.192186453e-01 9.323335399e-02 7.537416003e+00 5.913104023e+00 5.522157742e-01 5.003436841e-01
2.044088176e+03 1.168124438e-01 9.144068263e-02 7.545372211e+00 5.924567893e+00 5.442499544e-01 4.936825840e-01
2.054108216e+03 1.144492103e-01 8.967657905e-02 7.553251260e+00 5.935895207e+00 5.363669262e-01 4.870728088e-01
2.064128257e+03 1.121283534e-01 8.794078499e-02 7.561052941e+00 5.947086675e+00 5.285665312e-01 4.805149156e-01
2.074148297e+03 1.098492859e-01 8.623303841e-02 7.568777076e+00 5.958143027e+00 5.208485970e-01 4.740094337e-01
2.084168337e+03 1.076114233e-01 8.455307296e-02 7.576423518e+00 5.969065005e+00 5.132129377e-01 4.675568632e-01
2.094188377e+03 1.054141842e-01 8.290061843e-02 7.583992142e+00 5.979853366e+00 5.056593531e-01 4.611576764e-01
2.104208417e+03 1.032569905e-01 8.127540055e-02 7.591482855e+00 5.990508885e+00 4.981876309e-01 4.548123180e-01
2.114228457e+03 1.011392681e-01 7.967714244e-02 7.598895590e+00 6.001032349e+00 4.907975441e-01 4.485212052e-01
2.124248497e+03 9.906044653e-02 7.810556401e-02 7.606230307e+00 6.011424562e+00 4.834888524e-01 4.422847281e-01
2.134268537e+03 9.701995623e-02 7.656038101e-02 7.613486980e+00 6.021686335e+00 4.762613036e-01 4.361032505e-01
2.144288577e+03 9.501723343e-02 7.504130774e-02 7.620665616e+00 6.031818497e+00 4.691146310e-01 4.299771099e-01
2.154308617e+03 9.305171806e-02 7.354805590e-02 7.627766245e+00 6.041821889e+00 4.620485557e-01 4.239066179e-01
2.164328657e+03 9.112285713e-02 7.208033560e-02 7.634788938e+00 6.051697370e+00 4.550627864e-01 4.178920609e-01
2.174348697e+03 8.923009874e-02 7.063785448e-02 7.641733774e+00 6.061445807e+00 4.481570187e-01 4.119337000e-01
2.184368737e+03 8.737289513e-02 6.922031882e-02 7.648600854e+00 6.071068077e+00 4.413309367e-01 4.060317731e-01
2.194388778e+03 8.555070318e-02 6.782743280e-02 7.655390304e+00 6.080565071e+00 4.345842114e-01 4.001864921e-01
