time            A               B               Y              
2.985971944e+03 2.637579293e-02 1.454922789e+01 2.152016478e-01
2.995991984e+03 2.577142821e-02 1.455397776e+01 2.111843197e-01
3.006012024e+03 2.518053870e-02 1.455864355e+01 2.072350156e-01
3.016032064e+03 2.460283903e-02 1.456322653e+01 2.033527869e-01
3.026052104e+03 2.403804923e-02 1.456772798e+01 1.995366897e-01
3.036072144e+03 2.348589472e-02 1.457214914e+01 1.957857904e-01
3.046092184e+03 2.294610622e-02 1.457649126e+01 1.920991621e-01
3.056112224e+03 2.241841965e-02 1.458075557e+01 1.884758856e-01
3.066132265e+03 2.190257604e-02 1.458494328e+01 1.849150478e-01
3.076152305e+03 2.139832148e-02 1.458905560e+01 1.814157456e-01
3.086172345e+03 2.090540701e-02 1.459309370e+01 1.779770834e-01
3.096192385e+03 2.042358859e-02 1.459705876e+01 1.745981732e-01
3.106212425e+03 1.995262699e-02 1.460095195e+01 1.712781343e-01
3.116232465e+03 1.949228769e-02 1.460477441e+01 1.680160959e-01
3.126252505e+03 1.904234082e-02 1.460852727e+01 1.648111952e-01
3.136272545e+03 1.860256113e-02 1.461221165e+01 1.616625768e-01
3.146292585e+03 1.817272789e-02 1.461582865e+01 1.585693939e-01
3.156312625e+03 1.775262473e-02 1.461937938e+01 1.555308090e-01
3.166332665e+03 1.734203966e-02 1.462286491e+01 1.525459932e-01
3.176352705e+03 1.694076504e-02 1.462628629e+01 1.496141250e-01
3.186372745e+03 1.654859738e-02 1.462964460e+01 1.467343919e-01
3.196392786e+03 1.616533732e-02 1.463294085e+01 1.439059910e-01
3.206412826e+03 1.579078953e-02 1.463617608e+01 1.411281277e-01
3.216432866e+03 1.542476283e-02 1.463935131e+01 1.384000150e-01
3.226452906e+03 1.506706982e-02 1.464246752e+01 1.357208756e-01
3.236472946e+03 1.471752696e-02 1.464552571e+01 1.330899413e-01
3.246492986e+03 1.437595451e-02 1.464852684e+01 1.305064523e-01
3.256513026e+03 1.404217658e-02 1.465147188e+01 1.279696565e-01
3.266533066e+03 1.371602076e-02 1.465436177e+01 1.254788120e-01
3.276553106e+03 1.339731826e-02 1.465719745e+01 1.230331854e-01
3.286573146e+03 1.308590382e-02 1.465997983e+01 1.206320517e-01
3.296593186e+03 1.278161580e-02 1.466270983e+01 1.182746939e-01
3.306613226e+03 1.248429571e-02 1.466538834e+01 1.159604051e-01
3.316633267e+03 1.219378844e-02 1.466801624e+01 1.136884869e-01
3.326653307e+03 1.190994212e-02 1.467059440e+01 1.114582494e-01
3.336673347e+03 1.163260839e-02 1.467312369e+01 1.092690102e-01
3.346693387e+03 1.136164168e-02 1.467560494e+01 1.071200970e-01
3.356713427e+03 1.109689958e-02 1.467803899e+01 1.050108460e-01
3.366733467e+03 1.083824268e-02 1.468042666e+01 1.029406019e-01
3.376753507e+03 1.058553471e-02 1.468276876e+01 1.009087172e-01
3.386773547e+03 1.033864229e-02 1.468506609e+01 9.891455298e-02
3.396793587e+03 1.009743470e-02 1.468731944e+01 9.695747969e-02
3.406813627e+03 9.861784064e-03 1.468952957e+01 9.503687587e-02
3.416833667e+03 9.631565330e-03 1.469169725e+01 9.315212823e-02
3.426853707e+03 9.406656346e-03 1.469382324e+01 9.130263101e-02
3.436873747e+03 9.186937226e-03 1.469590826e+01 8.948778803e-02
3.446893788e+03 8.972290785e-03 1.469795306e+01 8.770701090e-02
3.456913828e+03 8.762602349e-03 1.469995834e+01 8.595971949e-02
3.466933868e+03 8.557760042e-03 1.470192481e+01 8.424534085e-02
3.476953908e+03 8.357654051e-03 1.470385318e+01 8.256331116e-02
3.486973948e+03 8.162177026e-03 1.470574412e+01 8.091307434e-02
3.496993988e+03 7.971223947e-03 1.470759830e+01 7.929408227e-02
3.507014028e+03 7.784692261e-03 1.470941640e+01 7.770579430e-02
3.517034068e+03 7.602481600e-03 1.471119906e+01 7.614767773e-02
3.527054108e+03 7.424493633e-03 1.471294693e+01 7.461920796e-02
3.537074148e+03 7.250632242e-03 1.471466064e+01 7.311986792e-02
3.547094188e+03 7.080803505e-03 1.471634081e+01 7.164914798e-02
3.557114228e+03 6.914915775e-03 1.471798806e+01 7.020654564e-02
