time            A               B               Y              
2.164328657e+03 7.159887463e-03 1.411559605e+01 1.508556582e-01
2.174348697e+03 6.897505005e-03 1.412379340e+01 1.470595656e-01
2.184368737e+03 6.644429230e-03 1.413180952e+01 1.433476337e-01
2.194388778e+03 6.400346674e-03 1.413964758e+01 1.397184306e-01
2.204408818e+03 6.164956680e-03 1.414731072e+01 1.361705345e-01
2.214428858e+03 5.937963476e-03 1.415480207e+01 1.327025285e-01
2.224448898e+03 5.719084227e-03 1.416212471e+01 1.293130080e-01
2.234468938e+03 5.508042444e-03 1.416928170e+01 1.260005763e-01
2.244488978e+03 5.304570276e-03 1.417627607e+01 1.227638466e-01
2.254509018e+03 5.108410320e-03 1.418311080e+01 1.196014457e-01
2.264529058e+03 4.919310010e-03 1.418978887e+01 1.165120069e-01
2.274549098e+03 4.737028304e-03 1.419631322e+01 1.134941800e-01
2.284569138e+03 4.561329683e-03 1.420268674e+01 1.105466239e-01
2.294589178e+03 4.391986324e-03 1.420891231e+01 1.076680101e-01
2.304609218e+03 4.228779837e-03 1.421499276e+01 1.048570281e-01
2.314629259e+03 4.071493656e-03 1.422093090e+01 1.021123709e-01
2.324649299e+03 3.919923991e-03 1.422672949e+01 9.943275688e-02
2.334669339e+03 3.773868092e-03 1.423239127e+01 9.681690672e-02
2.344689379e+03 3.633135675e-03 1.423791894e+01 9.426356760e-02
2.354709419e+03 3.497537186e-03 1.424331517e+01 9.177148875e-02
2.364729459e+03 3.366895182e-03 1.424858260e+01 8.933944689e-02
2.374749499e+03 3.241032811e-03 1.425372383e+01 8.696622144e-02
2.384769539e+03 3.119783846e-03 1.425874141e+01 8.465061956e-02
2.394789579e+03 3.002982938e-03 1.426363788e+01 8.239145247e-02
2.404809619e+03 2.890473431e-03 1.426841571e+01 8.018755767e-02
2.414829659e+03 2.782100848e-03 1.427307736e+01 7.803777984e-02
2.424849699e+03 2.677717308e-03 1.427762525e+01 7.594098433e-02
2.434869739e+03 2.577177932e-03 1.428206179e+01 7.389604555e-02
2.444889780e+03 2.480345934e-03 1.428638932e+01 7.190186283e-02
2.454909820e+03 2.387091678e-03 1.429061015e+01 6.995735344e-02
2.464929860e+03 2.297294745e-03 1.429472657e+01 6.806144568e-02
2.474949900e+03 2.210818412e-03 1.429874080e+01 6.621308380e-02
2.484969940e+03 2.127548037e-03 1.430265505e+01 6.441123047e-02
2.494989980e+03 2.047365611e-03 1.430647149e+01 6.265486346e-02
2.505010020e+03 1.970161065e-03 1.431019227e+01 6.094297778e-02
2.515030060e+03 1.895826054e-03 1.431381948e+01 5.927458450e-02
2.525050100e+03 1.824256635e-03 1.431735520e+01 5.764871129e-02
2.535070140e+03 1.755352328e-03 1.432080144e+01 5.606440199e-02
2.545090180e+03 1.689016239e-03 1.432416022e+01 5.452071769e-02
2.555110220e+03 1.625154568e-03 1.432743349e+01 5.301673383e-02
2.565130261e+03 1.563677053e-03 1.433062319e+01 5.155154241e-02
2.575150301e+03 1.504496404e-03 1.433373121e+01 5.012425166e-02
2.585170341e+03 1.447529202e-03 1.433675941e+01 4.873398817e-02
2.595190381e+03 1.392694774e-03 1.433970961e+01 4.737989378e-02
2.605210421e+03 1.339914400e-03 1.434258361e+01 4.606112349e-02
2.615230461e+03 1.289112829e-03 1.434538318e+01 4.477684970e-02
2.625250501e+03 1.240216848e-03 1.434811003e+01 4.352625989e-02
2.635270541e+03 1.193155870e-03 1.435076588e+01 4.230855714e-02
2.645290581e+03 1.147860791e-03 1.435335238e+01 4.112295329e-02
2.655310621e+03 1.104268631e-03 1.435587114e+01 3.996870133e-02
2.665330661e+03 1.062312945e-03 1.435832379e+01 3.884503080e-02
2.675350701e+03 1.021937276e-03 1.436071189e+01 3.775121214e-02
2.685370741e+03 9.830841258e-04 1.436303698e+01 3.668652338e-02
2.695390782e+03 9.456945842e-04 1.436530058e+01 3.565025649e-02
2.705410822e+03 9.097149448e-04 1.436750416e+01 3.464171854e-02
2.715430862e+03 8.750928142e-04 1.436964917e+01 3.366023089e-02
2.725450902e+03 8.417776215e-04 1.437173702e+01 3.270512947e-02
2.735470942e+03 8.097212364e-04 1.437376911e+01 3.177576647e-02
2.745490982e+03 7.788760020e-04 1.437574680e+01 3.087149804e-02
2.755511022e+03 7.491973135e-04 1.437767142e+01 2.999170566e-02
2.765531062e+03 7.206408399e-04 1.437954428e+01 2.913577312e-02
2.775551102e+03 6.931651088e-04 1.438136666e+01 2.830310812e-02
2.785571142e+03 6.667291451e-04 1.438313982e+01 2.749312194e-02
2.795591182e+03 6.412943588e-04 1.438486497e+01 2.670524476e-02
2.805611222e+03 6.168228104e-04 1.438654333e+01 2.593891286e-02
2.815631263e+03 5.932787013e-04 1.438817605e+01 2.519358100e-02
2.825651303e+03 5.706278421e-04 1.438976430e+01 2.446871676e-02
2.835671343e+03 5.488370196e-04 1.439130917e+01 2.376379709e-02
2.845691383e+03 5.278740257e-04 1.439281179e+01 2.307830862e-02
2.855711423e+03 5.077088151e-04 1.439427321e+01 2.241175581e-02
2.865731463e+03 4.883116346e-04 1.439569448e+01 2.176364987e-02
2.875751503e+03 4.696535906e-04 1.439707664e+01 2.113351183e-02
2.885771543e+03 4.517065422e-04 1.439842068e+01 2.052087600e-02
2.895791583e+03 4.344253753e-04 1.439972759e+01 1.992528331e-02
2.905811623e+03 4.178076023e-04 1.440099832e+01 1.934629289e-02
2.915831663e+03 4.018247140e-04 1.440223382e+01 1.878346961e-02
2.925851703e+03 3.864491617e-04 1.440343498e+01 1.823638853e-02
2.935871743e+03 3.716620499e-04 1.440460272e+01 1.770463612e-02
2.945891784e+03 3.574370955e-04 1.440573789e+01 1.718780705e-02
2.955911824e+03 3.437547022e-04 1.440684136e+01 1.668550681e-02
2.965931864e+03 3.305937915e-04 1.440791395e+01 1.619734987e-02
2.975951904e+03 3.179347256e-04 1.440895648e+01 1.572296015e-02
2.985971944e+03 3.057584861e-04 1.440996974e+01 1.526197055e-02
2.995991984e+03 2.940467657e-04 1.441095450e+01 1.481402293e-02
3.006012024e+03 2.827819896e-04 1.441191152e+01 1.437876813e-02
3.016032064e+03 2.719472024e-04 1.441284153e+01 1.395586556e-02
3.026052104e+03 2.615259518e-04 1.441374527e+01 1.354498156e-02
3.036072144e+03 2.515024556e-04 1.441462342e+01 1.314579180e-02
3.046092184e+03 2.418613159e-04 1.441547669e+01 1.275797912e-02
3.056112224e+03 2.325877445e-04 1.441630573e+01 1.238123527e-02
3.066132265e+03 2.236676332e-04 1.441711119e+01 1.201526150e-02
3.076152305e+03 2.150901367e-04 1.441789371e+01 1.165976649e-02
3.086172345e+03 2.068456894e-04 1.441865391e+01 1.131446241e-02
3.096192385e+03 1.989120777e-04 1.441939240e+01 1.097906938e-02
3.106212425e+03 1.912820759e-04 1.442010976e+01 1.065331660e-02
3.116232465e+03 1.839452916e-04 1.442080658e+01 1.033693968e-02
3.126252505e+03 1.768873793e-04 1.442148341e+01 1.002968011e-02
3.136272545e+03 1.701001615e-04 1.442214079e+01 9.731286936e-03
3.146292585e+03 1.635721899e-04 1.442277929e+01 9.441505628e-03
3.156312625e+03 1.572941510e-04 1.442339940e+01 9.160107922e-03
