time            X1              X2             
1.064128257e+02 1.247036463e-01 1.997562224e+00
1.070140281e+02 1.244208730e-01 1.997567745e+00
1.076152305e+02 1.241387394e-01 1.997573254e+00
1.082164329e+02 1.238572440e-01 1.997578750e+00
1.088176353e+02 1.235763856e-01 1.997584234e+00
1.094188377e+02 1.232961625e-01 1.997589706e+00
1.100200401e+02 1.230165734e-01 1.997595165e+00
1.106212425e+02 1.227376169e-01 1.997600611e+00
1.112224449e+02 1.224592915e-01 1.997606046e+00
1.118236473e+02 1.221815958e-01 1.997611468e+00
1.124248497e+02 1.219045284e-01 1.997616878e+00
1.130260521e+02 1.216280878e-01 1.997622276e+00
1.136272545e+02 1.213522727e-01 1.997627661e+00
1.142284569e+02 1.210770817e-01 1.997633035e+00
1.148296593e+02 1.208025133e-01 1.997638396e+00
1.154308617e+02 1.205285661e-01 1.997643745e+00
1.160320641e+02 1.202552388e-01 1.997649082e+00
1.166332665e+02 1.199825300e-01 1.997654407e+00
1.172344689e+02 1.197104382e-01 1.997659720e+00
1.178356713e+02 1.194389620e-01 1.997665021e+00
1.184368737e+02 1.191681002e-01 1.997670310e+00
1.190380762e+02 1.188978512e-01 1.997675588e+00
1.196392786e+02 1.186282138e-01 1.997680853e+00
1.202404810e+02 1.183591864e-01 1.997686106e+00
1.208416834e+02 1.180907679e-01 1.997691348e+00
1.214428858e+02 1.178229567e-01 1.997696577e+00
1.220440882e+02 1.175557516e-01 1.997701795e+00
1.226452906e+02 1.172891511e-01 1.997707001e+00
1.232464930e+02 1.170231539e-01 1.997712195e+00
1.238476954e+02 1.167577586e-01 1.997717378e+00
1.244488978e+02 1.164929640e-01 1.997722549e+00
1.250501002e+02 1.162287685e-01 1.997727708e+00
1.256513026e+02 1.159651709e-01 1.997732856e+00
1.262525050e+02 1.157021699e-01 1.997737991e+00
1.268537074e+02 1.154397640e-01 1.997743116e+00
1.274549098e+02 1.151779520e-01 1.997748229e+00
1.280561122e+02 1.149167325e-01 1.997753330e+00
1.286573146e+02 1.146561041e-01 1.997758419e+00
1.292585170e+02 1.143960656e-01 1.997763498e+00
1.298597194e+02 1.141366156e-01 1.997768564e+00
1.304609218e+02 1.138777528e-01 1.997773620e+00
1.310621242e+02 1.136194758e-01 1.997778664e+00
1.316633267e+02 1.133617834e-01 1.997783696e+00
1.322645291e+02 1.131046742e-01 1.997788717e+00
1.328657315e+02 1.128481469e-01 1.997793727e+00
1.334669339e+02 1.125922002e-01 1.997798725e+00
1.340681363e+02 1.123368328e-01 1.997803713e+00
1.346693387e+02 1.120820434e-01 1.997808689e+00
1.352705411e+02 1.118278307e-01 1.997813653e+00
1.358717435e+02 1.115741933e-01 1.997818607e+00
1.364729459e+02 1.113211300e-01 1.997823549e+00
1.370741483e+02 1.110686395e-01 1.997828480e+00
1.376753507e+02 1.108167205e-01 1.997833400e+00
1.382765531e+02 1.105653717e-01 1.997838309e+00
1.388777555e+02 1.103145919e-01 1.997843207e+00
1.394789579e+02 1.100643797e-01 1.997848093e+00
1.400801603e+02 1.098147338e-01 1.997852969e+00
1.406813627e+02 1.095656530e-01 1.997857834e+00
1.412825651e+02 1.093171361e-01 1.997862687e+00
1.418837675e+02 1.090691817e-01 1.997867530e+00
1.424849699e+02 1.088217885e-01 1.997872362e+00
1.430861723e+02 1.085749554e-01 1.997877183e+00
1.436873747e+02 1.083286810e-01 1.997881993e+00
1.442885772e+02 1.080829641e-01 1.997886792e+00
1.448897796e+02 1.078378034e-01 1.997891580e+00
1.454909820e+02 1.075931977e-01 1.997896358e+00
1.460921844e+02 1.073491457e-01 1.997901124e+00
1.466933868e+02 1.071056462e-01 1.997905880e+00
1.472945892e+02 1.068626980e-01 1.997910625e+00
1.478957916e+02 1.066202997e-01 1.997915360e+00
1.484969940e+02 1.063784501e-01 1.997920083e+00
1.490981964e+02 1.061371481e-01 1.997924797e+00
1.496993988e+02 1.058963924e-01 1.997929499e+00
1.503006012e+02 1.056561816e-01 1.997934191e+00
1.509018036e+02 1.054165147e-01 1.997938872e+00
1.515030060e+02 1.051773904e-01 1.997943543e+00
1.521042084e+02 1.049388075e-01 1.997948203e+00
1.527054108e+02 1.047007647e-01 1.997952852e+00
1.533066132e+02 1.044632608e-01 1.997957491e+00
1.539078156e+02 1.042262946e-01 1.997962120e+00
1.545090180e+02 1.039898650e-01 1.997966738e+00
1.551102204e+02 1.037539706e-01 1.997971345e+00
1.557114228e+02 1.035186102e-01 1.997975943e+00
1.563126253e+02 1.032837828e-01 1.997980530e+00
1.569138277e+02 1.030494870e-01 1.997985106e+00
1.575150301e+02 1.028157217e-01 1.997989672e+00
1.581162325e+02 1.025824857e-01 1.997994228e+00
1.587174349e+02 1.023497778e-01 1.997998774e+00
1.593186373e+02 1.021175967e-01 1.998003309e+00
1.599198397e+02 1.018859414e-01 1.998007834e+00
1.605210421e+02 1.016548106e-01 1.998012349e+00
1.611222445e+02 1.014242031e-01 1.998016853e+00
1.617234469e+02 1.011941178e-01 1.998021348e+00
1.623246493e+02 1.009645535e-01 1.998025832e+00
1.629258517e+02 1.007355089e-01 1.998030306e+00
1.635270541e+02 1.005069830e-01 1.998034770e+00
1.641282565e+02 1.002789746e-01 1.998039224e+00
1.647294589e+02 1.000514824e-01 1.998043668e+00
1.653306613e+02 9.982450538e-02 1.998048102e+00
1.659318637e+02 9.959804231e-02 1.998052525e+00
1.665330661e+02 9.937209205e-02 1.998056939e+00
1.671342685e+02 9.914665343e-02 1.998061343e+00
1.677354709e+02 9.892172531e-02 1.998065737e+00
1.683366733e+02 9.869730653e-02 1.998070121e+00
1.689378758e+02 9.847339594e-02 1.998074495e+00
1.695390782e+02 9.824999239e-02 1.998078859e+00
1.701402806e+02 9.802709475e-02 1.998083213e+00
1.707414830e+02 9.780470186e-02 1.998087558e+00
1.713426854e+02 9.758281259e-02 1.998091892e+00
1.719438878e+02 9.736142581e-02 1.998096217e+00
1.725450902e+02 9.714054038e-02 1.998100532e+00
1.731462926e+02 9.692015518e-02 1.998104838e+00
1.737474950e+02 9.670026907e-02 1.998109133e+00
1.743486974e+02 9.648088094e-02 1.998113419e+00
1.749498998e+02 9.626198964e-02 1.998117695e+00
1.755511022e+02 9.604359407e-02 1.998121962e+00
1.761523046e+02 9.582569310e-02 1.998126218e+00
1.767535070e+02 9.560828562e-02 1.998130466e+00
1.773547094e+02 9.539137050e-02 1.998134703e+00
1.779559118e+02 9.517494665e-02 1.998138931e+00
1.785571142e+02 9.495901296e-02 1.998143150e+00
1.791583166e+02 9.474356830e-02 1.998147359e+00
1.797595190e+02 9.452861160e-02 1.998151558e+00
1.803607214e+02 9.431414173e-02 1.998155748e+00
1.809619238e+02 9.410015760e-02 1.998159929e+00
1.815631263e+02 9.388665812e-02 1.998164100e+00
1.821643287e+02 9.367364220e-02 1.998168261e+00
1.827655311e+02 9.346110873e-02 1.998172414e+00
1.833667335e+02 9.324905664e-02 1.998176556e+00
1.839679359e+02 9.303748483e-02 1.998180690e+00
1.845691383e+02 9.282639222e-02 1.998184814e+00
1.851703407e+02 9.261577773e-02 1.998188929e+00
1.857715431e+02 9.240564027e-02 1.998193034e+00
1.863727455e+02 9.219597879e-02 1.998197130e+00
1.869739479e+02 9.198679221e-02 1.998201217e+00
1.875751503e+02 9.177807944e-02 1.998205295e+00
1.881763527e+02 9.156983943e-02 1.998209363e+00
1.887775551e+02 9.136207109e-02 1.998213423e+00
1.893787575e+02 9.115477337e-02 1.998217473e+00
1.899799599e+02 9.094794521e-02 1.998221514e+00
1.905811623e+02 9.074158554e-02 1.998225545e+00
1.911823647e+02 9.053569330e-02 1.998229568e+00
1.917835671e+02 9.033026745e-02 1.998233582e+00
1.923847695e+02 9.012530693e-02 1.998237586e+00
1.929859719e+02 8.992081068e-02 1.998241582e+00
1.935871743e+02 8.971677767e-02 1.998245568e+00
1.941883768e+02 8.951320684e-02 1.998249545e+00
1.947895792e+02 8.931009715e-02 1.998253514e+00
1.953907816e+02 8.910744756e-02 1.998257473e+00
1.959919840e+02 8.890525703e-02 1.998261424e+00
1.965931864e+02 8.870352452e-02 1.998265365e+00
1.971943888e+02 8.850224900e-02 1.998269298e+00
1.977955912e+02 8.830142945e-02 1.998273222e+00
1.983967936e+02 8.810106481e-02 1.998277136e+00
1.989979960e+02 8.790115408e-02 1.998281042e+00
1.995991984e+02 8.770169624e-02 1.998284940e+00
2.002004008e+02 8.750269024e-02 1.998288828e+00
2.008016032e+02 8.730413509e-02 1.998292708e+00
2.014028056e+02 8.710602975e-02 1.998296578e+00
2.020040080e+02 8.690837321e-02 1.998300440e+00
2.026052104e+02 8.671116446e-02 1.998304294e+00
2.032064128e+02 8.651440248e-02 1.998308138e+00
2.038076152e+02 8.631808628e-02 1.998311974e+00
2.044088176e+02 8.612221483e-02 1.998315801e+00
2.050100200e+02 8.592678714e-02 1.998319620e+00
2.056112224e+02 8.573180220e-02 1.998323430e+00
2.062124248e+02 8.553725901e-02 1.998327231e+00
2.068136273e+02 8.534315659e-02 1.998331024e+00
2.074148297e+02 8.514949392e-02 1.998334808e+00
2.080160321e+02 8.495627002e-02 1.998338584e+00
2.086172345e+02 8.476348390e-02 1.998342351e+00
2.092184369e+02 8.457113456e-02 1.998346109e+00
2.098196393e+02 8.437922103e-02 1.998349859e+00
2.104208417e+02 8.418774231e-02 1.998353601e+00
2.110220441e+02 8.399669743e-02 1.998357334e+00
2.116232465e+02 8.380608540e-02 1.998361058e+00
2.122244489e+02 8.361590524e-02 1.998364775e+00
2.128256513e+02 8.342615600e-02 1.998368482e+00
2.134268537e+02 8.323683670e-02 1.998372182e+00
2.140280561e+02 8.304794635e-02 1.998375873e+00
2.146292585e+02 8.285948400e-02 1.998379555e+00
2.152304609e+02 8.267144867e-02 1.998383230e+00
2.158316633e+02 8.248383940e-02 1.998386896e+00
2.164328657e+02 8.229665523e-02 1.998390554e+00
2.170340681e+02 8.210989519e-02 1.998394203e+00
2.176352705e+02 8.192355833e-02 1.998397844e+00
2.182364729e+02 8.173764369e-02 1.998401477e+00
2.188376754e+02 8.155215032e-02 1.998405102e+00
2.194388778e+02 8.136707726e-02 1.998408719e+00
2.200400802e+02 8.118242357e-02 1.998412327e+00
2.206412826e+02 8.099818830e-02 1.998415927e+00
2.212424850e+02 8.081437051e-02 1.998419519e+00
2.218436874e+02 8.063096924e-02 1.998423103e+00
2.224448898e+02 8.044798357e-02 1.998426679e+00
2.230460922e+02 8.026541254e-02 1.998430247e+00
2.236472946e+02 8.008325523e-02 1.998433806e+00
2.242484970e+02 7.990151069e-02 1.998437358e+00
2.248496994e+02 7.972017801e-02 1.998440902e+00
2.254509018e+02 7.953925623e-02 1.998444437e+00
2.260521042e+02 7.935874444e-02 1.998447965e+00
2.266533066e+02 7.917864171e-02 1.998451484e+00
2.272545090e+02 7.899894712e-02 1.998454996e+00
2.278557114e+02 7.881965973e-02 1.998458500e+00
2.284569138e+02 7.864077864e-02 1.998461995e+00
2.290581162e+02 7.846230292e-02 1.998465483e+00
2.296593186e+02 7.828423166e-02 1.998468963e+00
2.302605210e+02 7.810656396e-02 1.998472435e+00
2.308617234e+02 7.792929891e-02 1.998475899e+00
2.314629259e+02 7.775243560e-02 1.998479356e+00
2.320641283e+02 7.757597310e-02 1.998482804e+00
2.326653307e+02 7.739991051e-02 1.998486245e+00
2.332665331e+02 7.722424694e-02 1.998489678e+00
2.338677355e+02 7.704898147e-02 1.998493103e+00
2.344689379e+02 7.687411320e-02 1.998496521e+00
2.350701403e+02 7.669964125e-02 1.998499930e+00
2.356713427e+02 7.652556471e-02 1.998503332e+00
2.362725451e+02 7.635188269e-02 1.998506727e+00
2.368737475e+02 7.617859430e-02 1.998510113e+00
2.374749499e+02 7.600569865e-02 1.998513492e+00
2.380761523e+02 7.583319485e-02 1.998516864e+00
2.386773547e+02 7.566108201e-02 1.998520227e+00
2.392785571e+02 7.548935926e-02 1.998523583e+00
2.398797595e+02 7.531802570e-02 1.998526932e+00
2.404809619e+02 7.514708047e-02 1.998530273e+00
2.410821643e+02 7.497652267e-02 1.998533606e+00
2.416833667e+02 7.480635144e-02 1.998536932e+00
2.422845691e+02 7.463656590e-02 1.998540250e+00
2.428857715e+02 7.446716519e-02 1.998543561e+00
2.434869739e+02 7.429814842e-02 1.998546864e+00
2.440881764e+02 7.412951473e-02 1.998550160e+00
2.446893788e+02 7.396126325e-02 1.998553448e+00
2.452905812e+02 7.379339313e-02 1.998556729e+00
2.458917836e+02 7.362590350e-02 1.998560003e+00
2.464929860e+02 7.345879349e-02 1.998563269e+00
2.470941884e+02 7.329206225e-02 1.998566527e+00
2.476953908e+02 7.312570893e-02 1.998569778e+00
2.482965932e+02 7.295973272e-02 1.998573022e+00
2.488977956e+02 7.279413272e-02 1.998576259e+00
2.494989980e+02 7.262890808e-02 1.998579488e+00
2.501002004e+02 7.246405795e-02 1.998582710e+00
2.507014028e+02 7.229958149e-02 1.998585925e+00
2.513026052e+02 7.213547785e-02 1.998589132e+00
2.519038076e+02 7.197174619e-02 1.998592332e+00
2.525050100e+02 7.180838566e-02 1.998595525e+00
2.531062124e+02 7.164539544e-02 1.998598711e+00
2.537074148e+02 7.148277468e-02 1.998601889e+00
2.543086172e+02 7.132052254e-02 1.998605060e+00
2.549098196e+02 7.115863819e-02 1.998608224e+00
2.555110220e+02 7.099712081e-02 1.998611381e+00
2.561122244e+02 7.083596955e-02 1.998614531e+00
2.567134269e+02 7.067518360e-02 1.998617674e+00
2.573146293e+02 7.051476212e-02 1.998620809e+00
2.579158317e+02 7.035470430e-02 1.998623938e+00
2.585170341e+02 7.019500931e-02 1.998627059e+00
2.591182365e+02 7.003567632e-02 1.998630173e+00
2.597194389e+02 6.987670453e-02 1.998633280e+00
2.603206413e+02 6.971809311e-02 1.998636381e+00
2.609218437e+02 6.955984125e-02 1.998639474e+00
2.615230461e+02 6.940194813e-02 1.998642560e+00
2.621242485e+02 6.924441295e-02 1.998645639e+00
2.627254509e+02 6.908723489e-02 1.998648711e+00
2.633266533e+02 6.893041315e-02 1.998651777e+00
2.639278557e+02 6.877394691e-02 1.998654835e+00
2.645290581e+02 6.861783539e-02 1.998657886e+00
2.651302605e+02 6.846207777e-02 1.998660931e+00
2.657314629e+02 6.830667329e-02 1.998663968e+00
2.663326653e+02 6.815162113e-02 1.998666999e+00
2.669338677e+02 6.799692048e-02 1.998670023e+00
2.675350701e+02 6.784257055e-02 1.998673040e+00
2.681362725e+02 6.768857054e-02 1.998676050e+00
2.687374749e+02 6.753491967e-02 1.998679053e+00
2.693386774e+02 6.738161714e-02 1.998682050e+00
2.699398798e+02 6.722866217e-02 1.998685040e+00
2.705410822e+02 6.707605397e-02 1.998688023e+00
2.711422846e+02 6.692379176e-02 1.998690999e+00
2.717434870e+02 6.677187475e-02 1.998693968e+00
2.723446894e+02 6.662030216e-02 1.998696931e+00
2.729458918e+02 6.646907322e-02 1.998699887e+00
2.735470942e+02 6.631818714e-02 1.998702836e+00
2.741482966e+02 6.616764315e-02 1.998705779e+00
2.747494990e+02 6.601744048e-02 1.998708715e+00
2.753507014e+02 6.586757836e-02 1.998711645e+00
2.759519038e+02 6.571805601e-02 1.998714567e+00
2.765531062e+02 6.556887266e-02 1.998717483e+00
2.771543086e+02 6.542002756e-02 1.998720393e+00
2.777555110e+02 6.527151993e-02 1.998723296e+00
2.783567134e+02 6.512334901e-02 1.998726192e+00
2.789579158e+02 6.497551403e-02 1.998729082e+00
2.795591182e+02 6.482801425e-02 1.998731965e+00
2.801603206e+02 6.468084889e-02 1.998734842e+00
2.807615230e+02 6.453401721e-02 1.998737712e+00
2.813627255e+02 6.438751845e-02 1.998740576e+00
2.819639279e+02 6.424135185e-02 1.998743433e+00
2.825651303e+02 6.409551667e-02 1.998746284e+00
2.831663327e+02 6.395001218e-02 1.998749128e+00
2.837675351e+02 6.380483762e-02 1.998751966e+00
2.843687375e+02 6.365999223e-02 1.998754798e+00
2.849699399e+02 6.351547526e-02 1.998757623e+00
2.855711423e+02 6.337128599e-02 1.998760441e+00
2.861723447e+02 6.322742366e-02 1.998763254e+00
2.867735471e+02 6.308388753e-02 1.998766059e+00
2.873747495e+02 6.294067687e-02 1.998768859e+00
2.879759519e+02 6.279779094e-02 1.998771652e+00
2.885771543e+02 6.265522901e-02 1.998774439e+00
2.891783567e+02 6.251299034e-02 1.998777220e+00
2.897795591e+02 6.237107421e-02 1.998779994e+00
2.903807615e+02 6.222947987e-02 1.998782762e+00
2.909819639e+02 6.208820661e-02 1.998785523e+00
2.915831663e+02 6.194725370e-02 1.998788279e+00
2.921843687e+02 6.180662041e-02 1.998791028e+00
2.927855711e+02 6.166630601e-02 1.998793771e+00
2.933867735e+02 6.152630980e-02 1.998796508e+00
2.939879760e+02 6.138663104e-02 1.998799238e+00
2.945891784e+02 6.124726902e-02 1.998801963e+00
2.951903808e+02 6.110822303e-02 1.998804681e+00
2.957915832e+02 6.096949234e-02 1.998807393e+00
2.963927856e+02 6.083107624e-02 1.998810099e+00
2.969939880e+02 6.069297403e-02 1.998812799e+00
2.975951904e+02 6.055518499e-02 1.998815492e+00
2.981963928e+02 6.041770841e-02 1.998818180e+00
2.987975952e+02 6.028054358e-02 1.998820861e+00
2.993987976e+02 6.014368981e-02 1.998823537e+00
3.000000000e+02 6.000714638e-02 1.998826206e+00
