time            Cj              Ck             
4.168336673e+01 7.467793833e-01 8.402193113e+00
4.188376754e+01 7.467857459e-01 8.443601430e+00
4.208416834e+01 7.467921082e-01 8.485006976e+00
4.228456914e+01 7.467984704e-01 8.526409753e+00
4.248496994e+01 7.468048323e-01 8.567809760e+00
4.268537074e+01 7.468111940e-01 8.609206998e+00
4.288577154e+01 7.468175555e-01 8.650601466e+00
4.308617234e+01 7.468239168e-01 8.691993165e+00
4.328657315e+01 7.468302778e-01 8.733382096e+00
4.348697395e+01 7.468366387e-01 8.774768258e+00
4.368737475e+01 7.468429993e-01 8.816151652e+00
4.388777555e+01 7.468493597e-01 8.857532278e+00
4.408817635e+01 7.468557200e-01 8.898910136e+00
4.428857715e+01 7.468620800e-01 8.940285227e+00
4.448897796e+01 7.468684397e-01 8.981657550e+00
4.468937876e+01 7.468747993e-01 9.023027107e+00
4.488977956e+01 7.468811587e-01 9.064393896e+00
4.509018036e+01 7.468875178e-01 9.105757919e+00
4.529058116e+01 7.468938767e-01 9.147119175e+00
4.549098196e+01 7.469002354e-01 9.188477665e+00
4.569138277e+01 7.469065939e-01 9.229833390e+00
4.589178357e+01 7.469129522e-01 9.271186348e+00
4.609218437e+01 7.469193103e-01 9.312536542e+00
4.629258517e+01 7.469256681e-01 9.353883970e+00
4.649298597e+01 7.469320258e-01 9.395228633e+00
4.669338677e+01 7.469383832e-01 9.436570532e+00
4.689378758e+01 7.469447404e-01 9.477909666e+00
4.709418838e+01 7.469510974e-01 9.519246035e+00
4.729458918e+01 7.469574542e-01 9.560579641e+00
4.749498998e+01 7.469638108e-01 9.601910483e+00
4.769539078e+01 7.469701671e-01 9.643238562e+00
4.789579158e+01 7.469765233e-01 9.684563877e+00
4.809619238e+01 7.469828792e-01 9.725886430e+00
4.829659319e+01 7.469892349e-01 9.767206219e+00
4.849699399e+01 7.469955904e-01 9.808523246e+00
4.869739479e+01 7.470019457e-01 9.849837511e+00
4.889779559e+01 7.470083008e-01 9.891149013e+00
4.909819639e+01 7.470146556e-01 9.932457754e+00
4.929859719e+01 7.470210103e-01 9.973763733e+00
4.949899800e+01 7.470273647e-01 1.001506695e+01
4.969939880e+01 7.470337189e-01 1.005636741e+01
4.989979960e+01 7.470400729e-01 1.009766510e+01
5.010020040e+01 7.470464267e-01 1.013896004e+01
5.030060120e+01 7.470527803e-01 1.018025221e+01
5.050100200e+01 7.470591337e-01 1.022154163e+01
5.070140281e+01 7.470654868e-01 1.026282828e+01
5.090180361e+01 7.470718397e-01 1.030411218e+01
5.110220441e+01 7.470781925e-01 1.034539331e+01
5.130260521e+01 7.470845450e-01 1.038667169e+01
5.150300601e+01 7.470908972e-01 1.042794730e+01
5.170340681e+01 7.470972493e-01 1.046922016e+01
5.190380762e+01 7.471036012e-01 1.051049026e+01
5.210420842e+01 7.471099528e-01 1.055175760e+01
5.230460922e+01 7.471163043e-01 1.059302219e+01
5.250501002e+01 7.471226555e-01 1.063428401e+01
5.270541082e+01 7.471290065e-01 1.067554308e+01
5.290581162e+01 7.471353573e-01 1.071679939e+01
5.310621242e+01 7.471417079e-01 1.075805294e+01
5.330661323e+01 7.471480582e-01 1.079930374e+01
5.350701403e+01 7.471544084e-01 1.084055178e+01
5.370741483e+01 7.471607583e-01 1.088179706e+01
5.390781563e+01 7.471671080e-01 1.092303959e+01
5.410821643e+01 7.471734576e-01 1.096427936e+01
5.430861723e+01 7.471798068e-01 1.100551638e+01
5.450901804e+01 7.471861559e-01 1.104675064e+01
5.470941884e+01 7.471925048e-01 1.108798214e+01
5.490981964e+01 7.471988535e-01 1.112921089e+01
5.511022044e+01 7.472052019e-01 1.117043689e+01
5.531062124e+01 7.472115501e-01 1.121166013e+01
5.551102204e+01 7.472178981e-01 1.125288062e+01
5.571142285e+01 7.472242459e-01 1.129409835e+01
5.591182365e+01 7.472305935e-01 1.133531333e+01
5.611222445e+01 7.472369409e-01 1.137652555e+01
5.631262525e+01 7.472432880e-01 1.141773502e+01
5.651302605e+01 7.472496350e-01 1.145894174e+01
5.671342685e+01 7.472559817e-01 1.150014571e+01
5.691382766e+01 7.472623282e-01 1.154134692e+01
5.711422846e+01 7.472686745e-01 1.158254538e+01
5.731462926e+01 7.472750206e-01 1.162374109e+01
5.751503006e+01 7.472813665e-01 1.166493404e+01
5.771543086e+01 7.472877121e-01 1.170612425e+01
5.791583166e+01 7.472940576e-01 1.174731170e+01
5.811623246e+01 7.473004028e-01 1.178849640e+01
5.831663327e+01 7.473067478e-01 1.182967835e+01
5.851703407e+01 7.473130926e-01 1.187085756e+01
5.871743487e+01 7.473194372e-01 1.191203400e+01
5.891783567e+01 7.473257816e-01 1.195320770e+01
5.911823647e+01 7.473321258e-01 1.199437865e+01
5.931863727e+01 7.473384697e-01 1.203554685e+01
5.951903808e+01 7.473448135e-01 1.207671230e+01
5.971943888e+01 7.473511570e-01 1.211787500e+01
