time            B               C              
4.969939880e+02 6.660404254e-01 6.660404254e-01
4.989979960e+02 6.642275774e-01 6.642275774e-01
5.010020040e+02 6.624245711e-01 6.624245711e-01
5.030060120e+02 6.606313265e-01 6.606313265e-01
5.050100200e+02 6.588477647e-01 6.588477647e-01
5.070140281e+02 6.570738075e-01 6.570738075e-01
5.090180361e+02 6.553093780e-01 6.553093780e-01
5.110220441e+02 6.535543990e-01 6.535543990e-01
5.130260521e+02 6.518087948e-01 6.518087948e-01
5.150300601e+02 6.500724907e-01 6.500724907e-01
5.170340681e+02 6.483454121e-01 6.483454121e-01
5.190380762e+02 6.466274864e-01 6.466274864e-01
5.210420842e+02 6.449186407e-01 6.449186407e-01
5.230460922e+02 6.432188025e-01 6.432188025e-01
5.250501002e+02 6.415279018e-01 6.415279018e-01
5.270541082e+02 6.398458679e-01 6.398458679e-01
5.290581162e+02 6.381726315e-01 6.381726315e-01
5.310621242e+02 6.365081236e-01 6.365081236e-01
5.330661323e+02 6.348522757e-01 6.348522757e-01
5.350701403e+02 6.332050204e-01 6.332050204e-01
5.370741483e+02 6.315662915e-01 6.315662915e-01
5.390781563e+02 6.299360231e-01 6.299360231e-01
5.410821643e+02 6.283141491e-01 6.283141491e-01
5.430861723e+02 6.267006048e-01 6.267006048e-01
5.450901804e+02 6.250953265e-01 6.250953265e-01
5.470941884e+02 6.234982512e-01 6.234982512e-01
5.490981964e+02 6.219093169e-01 6.219093169e-01
5.511022044e+02 6.203284623e-01 6.203284623e-01
5.531062124e+02 6.187556255e-01 6.187556255e-01
5.551102204e+02 6.171907383e-01 6.171907383e-01
5.571142285e+02 6.156337394e-01 6.156337394e-01
5.591182365e+02 6.140845787e-01 6.140845787e-01
5.611222445e+02 6.125432000e-01 6.125432000e-01
5.631262525e+02 6.110095443e-01 6.110095443e-01
5.651302605e+02 6.094835470e-01 6.094835470e-01
5.671342685e+02 6.079651507e-01 6.079651507e-01
5.691382766e+02 6.064542998e-01 6.064542998e-01
5.711422846e+02 6.049509419e-01 6.049509419e-01
5.731462926e+02 6.034550210e-01 6.034550210e-01
5.751503006e+02 6.019664794e-01 6.019664794e-01
5.771543086e+02 6.004852625e-01 6.004852625e-01
5.791583166e+02 5.990113172e-01 5.990113172e-01
5.811623246e+02 5.975445904e-01 5.975445904e-01
5.831663327e+02 5.960850289e-01 5.960850289e-01
5.851703407e+02 5.946325801e-01 5.946325801e-01
5.871743487e+02 5.931871923e-01 5.931871923e-01
5.891783567e+02 5.917488141e-01 5.917488141e-01
5.911823647e+02 5.903173949e-01 5.903173949e-01
5.931863727e+02 5.888928842e-01 5.888928842e-01
5.951903808e+02 5.874752318e-01 5.874752318e-01
5.971943888e+02 5.860643887e-01 5.860643887e-01
5.991983968e+02 5.846603055e-01 5.846603055e-01
6.012024048e+02 5.832629341e-01 5.832629341e-01
6.032064128e+02 5.818722265e-01 5.818722265e-01
6.052104208e+02 5.804881347e-01 5.804881347e-01
6.072144289e+02 5.791106120e-01 5.791106120e-01
6.092184369e+02 5.777396119e-01 5.777396119e-01
6.112224449e+02 5.763750882e-01 5.763750882e-01
6.132264529e+02 5.750169949e-01 5.750169949e-01
6.152304609e+02 5.736652865e-01 5.736652865e-01
6.172344689e+02 5.723199182e-01 5.723199182e-01
6.192384770e+02 5.709808455e-01 5.709808455e-01
6.212424850e+02 5.696480246e-01 5.696480246e-01
6.232464930e+02 5.683214116e-01 5.683214116e-01
6.252505010e+02 5.670009630e-01 5.670009630e-01
6.272545090e+02 5.656866362e-01 5.656866362e-01
6.292585170e+02 5.643783890e-01 5.643783890e-01
6.312625251e+02 5.630761797e-01 5.630761797e-01
6.332665331e+02 5.617799670e-01 5.617799670e-01
6.352705411e+02 5.604897103e-01 5.604897103e-01
6.372745491e+02 5.592053649e-01 5.592053649e-01
6.392785571e+02 5.579268825e-01 5.579268825e-01
6.412825651e+02 5.566542277e-01 5.566542277e-01
6.432865731e+02 5.553873701e-01 5.553873701e-01
6.452905812e+02 5.541262718e-01 5.541262718e-01
6.472945892e+02 5.528708927e-01 5.528708927e-01
6.492985972e+02 5.516211856e-01 5.516211856e-01
6.513026052e+02 5.503771120e-01 5.503771120e-01
6.533066132e+02 5.491386351e-01 5.491386351e-01
6.553106212e+02 5.479057226e-01 5.479057226e-01
6.573146293e+02 5.466783370e-01 5.466783370e-01
6.593186373e+02 5.454564374e-01 5.454564374e-01
6.613226453e+02 5.442399838e-01 5.442399838e-01
6.633266533e+02 5.430289490e-01 5.430289490e-01
6.653306613e+02 5.418232825e-01 5.418232825e-01
6.673346693e+02 5.406229599e-01 5.406229599e-01
6.693386774e+02 5.394279503e-01 5.394279503e-01
6.713426854e+02 5.382381984e-01 5.382381984e-01
6.733466934e+02 5.370537009e-01 5.370537009e-01
6.753507014e+02 5.358744123e-01 5.358744123e-01
6.773547094e+02 5.347002922e-01 5.347002922e-01
6.793587174e+02 5.335312999e-01 5.335312999e-01
6.813627255e+02 5.323674014e-01 5.323674014e-01
6.833667335e+02 5.312085705e-01 5.312085705e-01
6.853707415e+02 5.300547740e-01 5.300547740e-01
6.873747495e+02 5.289059784e-01 5.289059784e-01
6.893787575e+02 5.277621512e-01 5.277621512e-01
6.913827655e+02 5.266232613e-01 5.266232613e-01
6.933867735e+02 5.254892765e-01 5.254892765e-01
6.953907816e+02 5.243601645e-01 5.243601645e-01
6.973947896e+02 5.232358953e-01 5.232358953e-01
6.993987976e+02 5.221164345e-01 5.221164345e-01
7.014028056e+02 5.210017547e-01 5.210017547e-01
7.034068136e+02 5.198918242e-01 5.198918242e-01
7.054108216e+02 5.187866119e-01 5.187866119e-01
7.074148297e+02 5.176860883e-01 5.176860883e-01
7.094188377e+02 5.165902235e-01 5.165902235e-01
7.114228457e+02 5.154989877e-01 5.154989877e-01
7.134268537e+02 5.144123514e-01 5.144123514e-01
7.154308617e+02 5.133302855e-01 5.133302855e-01
7.174348697e+02 5.122527612e-01 5.122527612e-01
7.194388778e+02 5.111797500e-01 5.111797500e-01
7.214428858e+02 5.101112239e-01 5.101112239e-01
7.234468938e+02 5.090471568e-01 5.090471568e-01
7.254509018e+02 5.079875260e-01 5.079875260e-01
7.274549098e+02 5.069323061e-01 5.069323061e-01
7.294589178e+02 5.058814633e-01 5.058814633e-01
7.314629259e+02 5.048349649e-01 5.048349649e-01
7.334669339e+02 5.037927812e-01 5.037927812e-01
7.354709419e+02 5.027548830e-01 5.027548830e-01
7.374749499e+02 5.017212500e-01 5.017212500e-01
7.394789579e+02 5.006918644e-01 5.006918644e-01
7.414829659e+02 4.996666995e-01 4.996666995e-01
7.434869739e+02 4.986457299e-01 4.986457299e-01
7.454909820e+02 4.976289206e-01 4.976289206e-01
7.474949900e+02 4.966162425e-01 4.966162425e-01
