time            Cj              shCj           
3.907815631e+02 4.850580194e-01 4.850580194e-01
3.927855711e+02 4.831438783e-01 4.831438783e-01
3.947895792e+02 4.812447855e-01 4.812447855e-01
3.967935872e+02 4.793605635e-01 4.793605635e-01
3.987975952e+02 4.774910381e-01 4.774910381e-01
4.008016032e+02 4.756360382e-01 4.756360382e-01
4.028056112e+02 4.737953959e-01 4.737953959e-01
4.048096192e+02 4.719689458e-01 4.719689458e-01
4.068136273e+02 4.701565245e-01 4.701565245e-01
4.088176353e+02 4.683579694e-01 4.683579694e-01
4.108216433e+02 4.665731220e-01 4.665731220e-01
4.128256513e+02 4.648018265e-01 4.648018265e-01
4.148296593e+02 4.630439296e-01 4.630439296e-01
4.168336673e+02 4.612992808e-01 4.612992808e-01
4.188376754e+02 4.595677297e-01 4.595677297e-01
4.208416834e+02 4.578491288e-01 4.578491288e-01
4.228456914e+02 4.561433335e-01 4.561433335e-01
4.248496994e+02 4.544502016e-01 4.544502016e-01
4.268537074e+02 4.527695933e-01 4.527695933e-01
4.288577154e+02 4.511013704e-01 4.511013704e-01
4.308617234e+02 4.494453951e-01 4.494453951e-01
4.328657315e+02 4.478015332e-01 4.478015332e-01
4.348697395e+02 4.461696525e-01 4.461696525e-01
4.368737475e+02 4.445496228e-01 4.445496228e-01
4.388777555e+02 4.429413179e-01 4.429413179e-01
4.408817635e+02 4.413446061e-01 4.413446061e-01
4.428857715e+02 4.397593650e-01 4.397593650e-01
4.448897796e+02 4.381854712e-01 4.381854712e-01
4.468937876e+02 4.366228033e-01 4.366228033e-01
4.488977956e+02 4.350712420e-01 4.350712420e-01
4.509018036e+02 4.335306698e-01 4.335306698e-01
4.529058116e+02 4.320009693e-01 4.320009693e-01
4.549098196e+02 4.304820259e-01 4.304820259e-01
4.569138277e+02 4.289737266e-01 4.289737266e-01
4.589178357e+02 4.274759599e-01 4.274759599e-01
4.609218437e+02 4.259886159e-01 4.259886159e-01
4.629258517e+02 4.245115862e-01 4.245115862e-01
4.649298597e+02 4.230447637e-01 4.230447637e-01
4.669338677e+02 4.215880436e-01 4.215880436e-01
4.689378758e+02 4.201413220e-01 4.201413220e-01
4.709418838e+02 4.187044962e-01 4.187044962e-01
4.729458918e+02 4.172774648e-01 4.172774648e-01
4.749498998e+02 4.158601277e-01 4.158601277e-01
4.769539078e+02 4.144523859e-01 4.144523859e-01
4.789579158e+02 4.130541417e-01 4.130541417e-01
4.809619238e+02 4.116653005e-01 4.116653005e-01
4.829659319e+02 4.102857680e-01 4.102857680e-01
4.849699399e+02 4.089154510e-01 4.089154510e-01
4.869739479e+02 4.075542576e-01 4.075542576e-01
4.889779559e+02 4.062020969e-01 4.062020969e-01
4.909819639e+02 4.048588793e-01 4.048588793e-01
4.929859719e+02 4.035245165e-01 4.035245165e-01
4.949899800e+02 4.021989210e-01 4.021989210e-01
4.969939880e+02 4.008820069e-01 4.008820069e-01
4.989979960e+02 3.995736890e-01 3.995736890e-01
5.010020040e+02 3.982738833e-01 3.982738833e-01
5.030060120e+02 3.969825067e-01 3.969825067e-01
5.050100200e+02 3.956994774e-01 3.956994774e-01
5.070140281e+02 3.944247144e-01 3.944247144e-01
5.090180361e+02 3.931581380e-01 3.931581380e-01
5.110220441e+02 3.918996697e-01 3.918996697e-01
5.130260521e+02 3.906492317e-01 3.906492317e-01
5.150300601e+02 3.894067473e-01 3.894067473e-01
5.170340681e+02 3.881721405e-01 3.881721405e-01
5.190380762e+02 3.869453365e-01 3.869453365e-01
5.210420842e+02 3.857262601e-01 3.857262601e-01
5.230460922e+02 3.845148418e-01 3.845148418e-01
5.250501002e+02 3.833110081e-01 3.833110081e-01
5.270541082e+02 3.821146884e-01 3.821146884e-01
5.290581162e+02 3.809258129e-01 3.809258129e-01
5.310621242e+02 3.797443129e-01 3.797443129e-01
5.330661323e+02 3.785701205e-01 3.785701205e-01
5.350701403e+02 3.774031689e-01 3.774031689e-01
5.370741483e+02 3.762433917e-01 3.762433917e-01
5.390781563e+02 3.750907237e-01 3.750907237e-01
5.410821643e+02 3.739451001e-01 3.739451001e-01
5.430861723e+02 3.728064547e-01 3.728064547e-01
5.450901804e+02 3.716747216e-01 3.716747216e-01
5.470941884e+02 3.705498364e-01 3.705498364e-01
5.490981964e+02 3.694317382e-01 3.694317382e-01
5.511022044e+02 3.683203666e-01 3.683203666e-01
5.531062124e+02 3.672156616e-01 3.672156616e-01
5.551102204e+02 3.661175638e-01 3.661175638e-01
5.571142285e+02 3.650260144e-01 3.650260144e-01
5.591182365e+02 3.639409556e-01 3.639409556e-01
5.611222445e+02 3.628623280e-01 3.628623280e-01
5.631262525e+02 3.617900745e-01 3.617900745e-01
5.651302605e+02 3.607241396e-01 3.607241396e-01
5.671342685e+02 3.596644668e-01 3.596644668e-01
5.691382766e+02 3.586110013e-01 3.586110013e-01
5.711422846e+02 3.575636896e-01 3.575636896e-01
5.731462926e+02 3.565224772e-01 3.565224772e-01
5.751503006e+02 3.554873116e-01 3.554873116e-01
5.771543086e+02 3.544581402e-01 3.544581402e-01
5.791583166e+02 3.534349104e-01 3.534349104e-01
5.811623246e+02 3.524175716e-01 3.524175716e-01
5.831663327e+02 3.514060728e-01 3.514060728e-01
5.851703407e+02 3.504003633e-01 3.504003633e-01
5.871743487e+02 3.494003947e-01 3.494003947e-01
5.891783567e+02 3.484061177e-01 3.484061177e-01
5.911823647e+02 3.474174827e-01 3.474174827e-01
5.931863727e+02 3.464344425e-01 3.464344425e-01
5.951903808e+02 3.454569505e-01 3.454569505e-01
5.971943888e+02 3.444849591e-01 3.444849591e-01
5.991983968e+02 3.435184213e-01 3.435184213e-01
6.012024048e+02 3.425572929e-01 3.425572929e-01
6.032064128e+02 3.416015280e-01 3.416015280e-01
6.052104208e+02 3.406510830e-01 3.406510830e-01
6.072144289e+02 3.397059089e-01 3.397059089e-01
6.092184369e+02 3.387659670e-01 3.387659670e-01
6.112224449e+02 3.378312123e-01 3.378312123e-01
6.132264529e+02 3.369016013e-01 3.369016013e-01
6.152304609e+02 3.359770924e-01 3.359770924e-01
6.172344689e+02 3.350576434e-01 3.350576434e-01
6.192384770e+02 3.341432128e-01 3.341432128e-01
6.212424850e+02 3.332337596e-01 3.332337596e-01
6.232464930e+02 3.323292435e-01 3.323292435e-01
6.252505010e+02 3.314296250e-01 3.314296250e-01
6.272545090e+02 3.305348640e-01 3.305348640e-01
6.292585170e+02 3.296449204e-01 3.296449204e-01
6.312625251e+02 3.287597557e-01 3.287597557e-01
6.332665331e+02 3.278793316e-01 3.278793316e-01
6.352705411e+02 3.270036106e-01 3.270036106e-01
6.372745491e+02 3.261325555e-01 3.261325555e-01
6.392785571e+02 3.252661299e-01 3.252661299e-01
6.412825651e+02 3.244042963e-01 3.244042963e-01
6.432865731e+02 3.235470176e-01 3.235470176e-01
6.452905812e+02 3.226942578e-01 3.226942578e-01
6.472945892e+02 3.218459814e-01 3.218459814e-01
6.492985972e+02 3.210021531e-01 3.210021531e-01
6.513026052e+02 3.201627381e-01 3.201627381e-01
6.533066132e+02 3.193277021e-01 3.193277021e-01
6.553106212e+02 3.184970105e-01 3.184970105e-01
6.573146293e+02 3.176706296e-01 3.176706296e-01
6.593186373e+02 3.168485258e-01 3.168485258e-01
6.613226453e+02 3.160306659e-01 3.160306659e-01
6.633266533e+02 3.152170174e-01 3.152170174e-01
6.653306613e+02 3.144075479e-01 3.144075479e-01
6.673346693e+02 3.136022257e-01 3.136022257e-01
6.693386774e+02 3.128010179e-01 3.128010179e-01
6.713426854e+02 3.120038935e-01 3.120038935e-01
6.733466934e+02 3.112108216e-01 3.112108216e-01
6.753507014e+02 3.104217712e-01 3.104217712e-01
6.773547094e+02 3.096367119e-01 3.096367119e-01
6.793587174e+02 3.088556137e-01 3.088556137e-01
6.813627255e+02 3.080784466e-01 3.080784466e-01
6.833667335e+02 3.073051809e-01 3.073051809e-01
6.853707415e+02 3.065357872e-01 3.065357872e-01
6.873747495e+02 3.057702365e-01 3.057702365e-01
6.893787575e+02 3.050085001e-01 3.050085001e-01
6.913827655e+02 3.042505497e-01 3.042505497e-01
6.933867735e+02 3.034963572e-01 3.034963572e-01
6.953907816e+02 3.027458947e-01 3.027458947e-01
6.973947896e+02 3.019991348e-01 3.019991348e-01
6.993987976e+02 3.012560501e-01 3.012560501e-01
7.014028056e+02 3.005166137e-01 3.005166137e-01
7.034068136e+02 2.997807987e-01 2.997807987e-01
7.054108216e+02 2.990485778e-01 2.990485778e-01
7.074148297e+02 2.983199240e-01 2.983199240e-01
7.094188377e+02 2.975948114e-01 2.975948114e-01
7.114228457e+02 2.968732150e-01 2.968732150e-01
7.134268537e+02 2.961551105e-01 2.961551105e-01
7.154308617e+02 2.954404723e-01 2.954404723e-01
7.174348697e+02 2.947292752e-01 2.947292752e-01
7.194388778e+02 2.940214940e-01 2.940214940e-01
7.214428858e+02 2.933171040e-01 2.933171040e-01
7.234468938e+02 2.926160804e-01 2.926160804e-01
7.254509018e+02 2.919183992e-01 2.919183992e-01
7.274549098e+02 2.912240371e-01 2.912240371e-01
7.294589178e+02 2.905329710e-01 2.905329710e-01
7.314629259e+02 2.898451773e-01 2.898451773e-01
7.334669339e+02 2.891606327e-01 2.891606327e-01
7.354709419e+02 2.884793139e-01 2.884793139e-01
7.374749499e+02 2.878011982e-01 2.878011982e-01
7.394789579e+02 2.871262626e-01 2.871262626e-01
7.414829659e+02 2.864544851e-01 2.864544851e-01
7.434869739e+02 2.857858440e-01 2.857858440e-01
7.454909820e+02 2.851203172e-01 2.851203172e-01
7.474949900e+02 2.844578831e-01 2.844578831e-01
7.494989980e+02 2.837985200e-01 2.837985200e-01
7.515030060e+02 2.831422067e-01 2.831422067e-01
7.535070140e+02 2.824889218e-01 2.824889218e-01
7.555110220e+02 2.818386447e-01 2.818386447e-01
7.575150301e+02 2.811913545e-01 2.811913545e-01
7.595190381e+02 2.805470310e-01 2.805470310e-01
7.615230461e+02 2.799056535e-01 2.799056535e-01
7.635270541e+02 2.792672020e-01 2.792672020e-01
7.655310621e+02 2.786316566e-01 2.786316566e-01
7.675350701e+02 2.779989973e-01 2.779989973e-01
7.695390782e+02 2.773692044e-01 2.773692044e-01
7.715430862e+02 2.767422588e-01 2.767422588e-01
7.735470942e+02 2.761181409e-01 2.761181409e-01
7.755511022e+02 2.754968317e-01 2.754968317e-01
7.775551102e+02 2.748783125e-01 2.748783125e-01
7.795591182e+02 2.742625643e-01 2.742625643e-01
7.815631263e+02 2.736495691e-01 2.736495691e-01
7.835671343e+02 2.730393085e-01 2.730393085e-01
7.855711423e+02 2.724317640e-01 2.724317640e-01
7.875751503e+02 2.718269172e-01 2.718269172e-01
7.895791583e+02 2.712247494e-01 2.712247494e-01
7.915831663e+02 2.706252436e-01 2.706252436e-01
7.935871743e+02 2.700283828e-01 2.700283828e-01
7.955911824e+02 2.694341493e-01 2.694341493e-01
7.975951904e+02 2.688425253e-01 2.688425253e-01
7.995991984e+02 2.682534933e-01 2.682534933e-01
8.016032064e+02 2.676670365e-01 2.676670365e-01
8.036072144e+02 2.670831389e-01 2.670831389e-01
8.056112224e+02 2.665017836e-01 2.665017836e-01
8.076152305e+02 2.659229536e-01 2.659229536e-01
8.096192385e+02 2.653466322e-01 2.653466322e-01
8.116232465e+02 2.647728051e-01 2.647728051e-01
8.136272545e+02 2.642014515e-01 2.642014515e-01
8.156312625e+02 2.636325596e-01 2.636325596e-01
8.176352705e+02 2.630661130e-01 2.630661130e-01
8.196392786e+02 2.625020950e-01 2.625020950e-01
8.216432866e+02 2.619404898e-01 2.619404898e-01
8.236472946e+02 2.613812826e-01 2.613812826e-01
8.256513026e+02 2.608244578e-01 2.608244578e-01
8.276553106e+02 2.602700003e-01 2.602700003e-01
