time            Cj              shCj            Br              shBr            Ap              shAp            Ck              Aq              Bs              shCk            shAq            shBs           
2.104208417e+03 4.433058155e-03 2.991466539e-01 3.133559834e-07 1.105748767e+00 6.512113899e-08 1.236687536e+00 1.477686052e-08 5.920103545e-14 3.133559834e-13 2.991466539e-01 1.236687536e+00 1.105748767e+00
2.124248497e+03 4.258387896e-03 2.990579722e-01 2.716210041e-07 1.105748745e+00 5.555263384e-08 1.236687531e+00 1.419462632e-08 5.050239440e-14 2.716210041e-13 2.990579722e-01 1.236687531e+00 1.105748745e+00
2.144288577e+03 4.090648066e-03 2.989728093e-01 2.354635884e-07 1.105748726e+00 4.739737161e-08 1.236687527e+00 1.363549355e-08 4.308851965e-14 2.354635884e-13 2.989728093e-01 1.236687527e+00 1.105748726e+00
2.164328657e+03 3.929559761e-03 2.988910236e-01 2.041322461e-07 1.105748709e+00 4.044423240e-08 1.236687523e+00 1.309853254e-08 3.676748400e-14 2.041322461e-13 2.988910236e-01 1.236687523e+00 1.105748709e+00
2.184368737e+03 3.774856658e-03 2.988124793e-01 1.769892821e-07 1.105748695e+00 3.451864188e-08 1.236687520e+00 1.258285553e-08 3.138058352e-14 1.769892821e-13 2.988124793e-01 1.236687520e+00 1.105748695e+00
2.204408818e+03 3.626281677e-03 2.987370463e-01 1.534553171e-07 1.105748683e+00 2.946142885e-08 1.236687517e+00 1.208760559e-08 2.678311714e-14 1.534553171e-13 2.987370463e-01 1.236687517e+00 1.105748683e+00
2.224448898e+03 3.483587586e-03 2.986646000e-01 1.330483267e-07 1.105748672e+00 2.514446077e-08 1.236687515e+00 1.161195862e-08 2.285860070e-14 1.330483267e-13 2.986646000e-01 1.236687515e+00 1.105748672e+00
2.244488978e+03 3.346540946e-03 2.985950205e-01 1.153468761e-07 1.105748662e+00 2.145703230e-08 1.236687513e+00 1.115513649e-08 1.950639300e-14 1.153468761e-13 2.985950205e-01 1.236687513e+00 1.105748662e+00
2.264529058e+03 3.214918299e-03 2.985281929e-01 9.999251970e-08 1.105748654e+00 1.830734572e-08 1.236687511e+00 1.071639433e-08 1.664304157e-14 9.999251970e-14 2.985281929e-01 1.236687511e+00 1.105748654e+00
2.284569138e+03 3.088496285e-03 2.984640078e-01 8.667544054e-08 1.105748647e+00 1.561740665e-08 1.236687510e+00 1.029498762e-08 1.419764241e-14 8.667544054e-14 2.984640078e-01 1.236687510e+00 1.105748647e+00
2.304609218e+03 2.967065460e-03 2.984023603e-01 7.513182504e-08 1.105748641e+00 1.332258178e-08 1.236687509e+00 9.890218201e-09 1.211143799e-14 7.513182504e-14 2.984023603e-01 1.236687509e+00 1.105748641e+00
2.324649299e+03 2.850442781e-03 2.983431468e-01 6.512722240e-08 1.105748636e+00 1.136549093e-08 1.236687508e+00 9.501475938e-09 1.033226448e-14 6.512722240e-14 2.983431468e-01 1.236687508e+00 1.105748636e+00
