time            shCj            shCk           
5.290581162e+02 3.920768763e+01 3.948789724e+01
5.314629259e+02 3.927517013e+01 3.955947865e+01
5.338677355e+02 3.934183347e+01 3.963020109e+01
5.362725451e+02 3.940769115e+01 3.970007847e+01
5.386773547e+02 3.947275641e+01 3.976912443e+01
5.410821643e+02 3.953704224e+01 3.983735233e+01
5.434869739e+02 3.960056137e+01 3.990477532e+01
5.458917836e+02 3.966332630e+01 3.997140629e+01
5.482965932e+02 3.972534927e+01 4.003725789e+01
5.507014028e+02 3.978664230e+01 4.010234251e+01
5.531062124e+02 3.984721719e+01 4.016667235e+01
5.555110220e+02 3.990708547e+01 4.023025934e+01
5.579158317e+02 3.996625850e+01 4.029311521e+01
5.603206413e+02 4.002474740e+01 4.035525148e+01
5.627254509e+02 4.008256307e+01 4.041667943e+01
5.651302605e+02 4.013971621e+01 4.047741015e+01
5.675350701e+02 4.019621733e+01 4.053745451e+01
5.699398798e+02 4.025207672e+01 4.059682319e+01
5.723446894e+02 4.030730448e+01 4.065552667e+01
5.747494990e+02 4.036191053e+01 4.071357522e+01
5.771543086e+02 4.041590460e+01 4.077097894e+01
5.795591182e+02 4.046929622e+01 4.082774774e+01
5.819639279e+02 4.052209475e+01 4.088389133e+01
5.843687375e+02 4.057430938e+01 4.093941928e+01
5.867735471e+02 4.062594913e+01 4.099434093e+01
5.891783567e+02 4.067702283e+01 4.104866549e+01
5.915831663e+02 4.072753916e+01 4.110240198e+01
5.939879760e+02 4.077750665e+01 4.115555928e+01
5.963927856e+02 4.082693364e+01 4.120814607e+01
5.987975952e+02 4.087582834e+01 4.126017090e+01
6.012024048e+02 4.092419881e+01 4.131164216e+01
6.036072144e+02 4.097205294e+01 4.136256809e+01
6.060120240e+02 4.101939849e+01 4.141295676e+01
6.084168337e+02 4.106624308e+01 4.146281612e+01
6.108216433e+02 4.111259417e+01 4.151215396e+01
6.132264529e+02 4.115845911e+01 4.156097795e+01
6.156312625e+02 4.120384509e+01 4.160929559e+01
6.180360721e+02 4.124875919e+01 4.165711427e+01
