time            Cj              Ak              Br             
1.028216433e+04 1.869966340e+00 3.331021542e+00 7.291437520e-01
1.032264529e+04 1.774534835e+00 3.408580367e+00 7.493324298e-01
1.036312625e+04 1.682621825e+00 3.479878802e+00 7.723548918e-01
1.040360721e+04 1.594472596e+00 3.544512861e+00 7.982923115e-01
1.044408818e+04 1.510274193e+00 3.602133823e+00 8.272321423e-01
1.048456914e+04 1.430159163e+00 3.652448340e+00 8.592664532e-01
1.052505010e+04 1.354210068e+00 3.695217682e+00 8.944900255e-01
1.056553106e+04 1.282464480e+00 3.730256394e+00 9.329982112e-01
1.060601202e+04 1.214920311e+00 3.757430490e+00 9.748845273e-01
1.064649299e+04 1.151541223e+00 3.776655498e+00 1.020238001e+00
1.068697395e+04 1.092261962e+00 3.787894457e+00 1.069140268e+00
1.072745491e+04 1.036993533e+00 3.791156045e+00 1.121662468e+00
1.076793587e+04 9.856280452e-01 3.786492843e+00 1.177861921e+00
1.080841683e+04 9.380432156e-01 3.773999956e+00 1.237778695e+00
1.084889780e+04 8.941064474e-01 3.753813785e+00 1.301432083e+00
1.088937876e+04 8.536785153e-01 3.726111167e+00 1.368817128e+00
1.092985972e+04 8.166167060e-01 3.691108384e+00 1.439901156e+00
1.097034068e+04 7.827776935e-01 3.649060709e+00 1.514620687e+00
1.101082164e+04 7.520198446e-01 3.600261208e+00 1.592878431e+00
1.105130261e+04 7.242053493e-01 3.545040131e+00 1.674540978e+00
1.109178357e+04 6.992017058e-01 3.483763130e+00 1.759436765e+00
1.113226453e+04 6.768832989e-01 3.416829973e+00 1.847354994e+00
1.117274549e+04 6.571322649e-01 3.344671702e+00 1.938044994e+00
1.121322645e+04 6.398394829e-01 3.267748067e+00 2.031216690e+00
1.125370741e+04 6.249052095e-01 3.186543828e+00 2.126541733e+00
1.129418838e+04 6.122394471e-01 3.101564435e+00 2.223655612e+00
1.133466934e+04 6.017624113e-01 3.013331395e+00 2.322160634e+00
1.137515030e+04 5.934045773e-01 2.922376744e+00 2.421629650e+00
1.141563126e+04 5.871069483e-01 2.829237601e+00 2.521610673e+00
1.145611222e+04 5.828209145e-01 2.734449953e+00 2.621631817e+00
1.149659319e+04 5.805083208e-01 2.638542869e+00 2.721207022e+00
1.153707415e+04 5.801413156e-01 2.542032524e+00 2.819841753e+00
