time            Cj              Br              Ap              Ck              Aq              Bs             
2.424849699e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.444889780e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.464929860e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.484969940e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.505010020e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.525050100e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.545090180e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.565130261e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.585170341e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.605210421e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.625250501e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.645290581e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.665330661e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.685370741e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.705410822e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.725450902e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.745490982e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
2.765531062e+03 5.791343153e-01 2.023412273e+00 2.240952449e+00 1.930447718e-06 2.037229499e-06 2.023412273e-06
