time            Ak              Br              Cj             
3.699799599e+03 2.443019048e+00 2.224535029e+00 4.485668446e+00
3.720240481e+03 2.485471624e+00 2.190476357e+00 4.456241666e+00
3.740681363e+03 2.528610153e+00 2.158139353e+00 4.424150982e+00
3.761122244e+03 2.572366308e+00 2.127499425e+00 4.389508021e+00
3.781563126e+03 2.616669047e+00 2.098530836e+00 4.352429310e+00
3.802004008e+03 2.661444616e+00 2.071207049e+00 4.313035879e+00
3.822444890e+03 2.706616816e+00 2.045500680e+00 4.271452391e+00
3.842885772e+03 2.752107096e+00 2.021383921e+00 4.227806643e+00
3.863326653e+03 2.797834759e+00 1.998828658e+00 4.182228994e+00
3.883767535e+03 2.843717222e+00 1.977806583e+00 4.134851601e+00
3.904208417e+03 2.889670053e+00 1.958289303e+00 4.085808090e+00
3.924649299e+03 2.935607389e+00 1.940248531e+00 4.035232783e+00
3.945090180e+03 2.981442275e+00 1.923656137e+00 3.983259941e+00
3.965531062e+03 3.027086671e+00 1.908484291e+00 3.930023655e+00
3.985971944e+03 3.072451937e+00 1.894705424e+00 3.875657037e+00
4.006412826e+03 3.117449250e+00 1.882292429e+00 3.820291529e+00
4.026853707e+03 3.161989521e+00 1.871218623e+00 3.764056945e+00
4.047294589e+03 3.205984098e+00 1.861457783e+00 3.707080598e+00
4.067735471e+03 3.249345005e+00 1.852984223e+00 3.649486894e+00
4.088176353e+03 3.291984970e+00 1.845772787e+00 3.591397316e+00
4.108617234e+03 3.333818266e+00 1.839798847e+00 3.532929531e+00
4.129058116e+03 3.374760497e+00 1.835038306e+00 3.474197608e+00
4.149498998e+03 3.414729153e+00 1.831467629e+00 3.415311463e+00
4.169939880e+03 3.453644163e+00 1.829063821e+00 3.356376374e+00
4.190380762e+03 3.491427488e+00 1.827804324e+00 3.297493553e+00
4.210821643e+03 3.528004037e+00 1.827667137e+00 3.238759171e+00
4.231262525e+03 3.563301828e+00 1.828630720e+00 3.180264447e+00
4.251703407e+03 3.597251755e+00 1.830673922e+00 3.122095960e+00
4.272144289e+03 3.629788333e+00 1.833776015e+00 3.064335100e+00
4.292585170e+03 3.660849836e+00 1.837916624e+00 3.007058112e+00
4.313026052e+03 3.690377904e+00 1.843075712e+00 2.950336469e+00
4.333466934e+03 3.718318714e+00 1.849233509e+00 2.894236234e+00
4.353907816e+03 3.744622171e+00 1.856370457e+00 2.838818781e+00
4.374348697e+03 3.769242293e+00 1.864467229e+00 2.784140575e+00
4.394789579e+03 3.792137787e+00 1.873504620e+00 2.730253047e+00
4.415230461e+03 3.813271476e+00 1.883463527e+00 2.677203094e+00
4.435671343e+03 3.832610568e+00 1.894324914e+00 2.625033033e+00
4.456112224e+03 3.850126894e+00 1.906069735e+00 2.573780680e+00
4.476553106e+03 3.865796629e+00 1.918678907e+00 2.523479647e+00
4.496993988e+03 3.879600367e+00 1.932133289e+00 2.474159417e+00
4.517434870e+03 3.891523275e+00 1.946413529e+00 2.425845559e+00
4.537875752e+03 3.901554665e+00 1.961500235e+00 2.378559878e+00
4.558316633e+03 3.909688339e+00 1.977373684e+00 2.332320643e+00
4.578757515e+03 3.915922197e+00 1.994013970e+00 2.287142753e+00
4.599198397e+03 3.920258387e+00 2.011400837e+00 2.243037930e+00
4.619639279e+03 3.922702965e+00 2.029513762e+00 2.200014919e+00
4.640080160e+03 3.923266012e+00 2.048331802e+00 2.158079669e+00
4.660521042e+03 3.921961260e+00 2.067833677e+00 2.117235540e+00
4.680961924e+03 3.918806273e+00 2.087997598e+00 2.077483455e+00
4.701402806e+03 3.913821878e+00 2.108801447e+00 2.038822124e+00
4.721843687e+03 3.907032436e+00 2.130222537e+00 2.001248185e+00
4.742284569e+03 3.898465432e+00 2.152237713e+00 1.964756389e+00
4.762725451e+03 3.888151354e+00 2.174823345e+00 1.929339763e+00
4.783166333e+03 3.876123574e+00 2.197955240e+00 1.894989777e+00
4.803607214e+03 3.862418123e+00 2.221608707e+00 1.861696476e+00
4.824048096e+03 3.847073581e+00 2.245758491e+00 1.829448641e+00
4.844488978e+03 3.830130803e+00 2.270378828e+00 1.798233918e+00
4.864929860e+03 3.811632839e+00 2.295443395e+00 1.768038951e+00
4.885370741e+03 3.791624748e+00 2.320925320e+00 1.738849493e+00
4.905811623e+03 3.770153246e+00 2.346797280e+00 1.710650569e+00
4.926252505e+03 3.747266880e+00 2.373031351e+00 1.683426496e+00
4.946693387e+03 3.723015472e+00 2.399599173e+00 1.657161077e+00
4.967134269e+03 3.697450238e+00 2.426471873e+00 1.631837625e+00
4.987575150e+03 3.670623421e+00 2.453620151e+00 1.607439083e+00
5.008016032e+03 3.642588271e+00 2.481014257e+00 1.583948104e+00
5.028456914e+03 3.613398749e+00 2.508624080e+00 1.561347129e+00
5.048897796e+03 3.583109488e+00 2.536419111e+00 1.539618438e+00
5.069338677e+03 3.551775606e+00 2.564368502e+00 1.518744206e+00
5.089779559e+03 3.519452499e+00 2.592441115e+00 1.498706562e+00
5.110220441e+03 3.486195702e+00 2.620605618e+00 1.479487710e+00
5.130661323e+03 3.452060826e+00 2.648830415e+00 1.461069874e+00
5.151102204e+03 3.417103364e+00 2.677083778e+00 1.443435386e+00
5.171543086e+03 3.381378589e+00 2.705333828e+00 1.426566722e+00
5.191983968e+03 3.344941396e+00 2.733548653e+00 1.410446540e+00
5.212424850e+03 3.307846199e+00 2.761696343e+00 1.395057703e+00
5.232865731e+03 3.270146831e+00 2.789745014e+00 1.380383295e+00
5.253306613e+03 3.231896441e+00 2.817662856e+00 1.366406656e+00
5.273747495e+03 3.193147380e+00 2.845418228e+00 1.353111398e+00
5.294188377e+03 3.153951118e+00 2.872979690e+00 1.340481418e+00
5.314629259e+03 3.114358156e+00 2.900316050e+00 1.328500913e+00
5.335070140e+03 3.074417948e+00 2.927396431e+00 1.317154390e+00
5.355511022e+03 3.034178821e+00 2.954190323e+00 1.306426675e+00
5.375951904e+03 2.993687922e+00 2.980667630e+00 1.296302921e+00
5.396392786e+03 2.952991147e+00 3.006798730e+00 1.286768609e+00
5.416833667e+03 2.912133086e+00 3.032554528e+00 1.277809555e+00
5.437274549e+03 2.871156960e+00 3.057906515e+00 1.269411908e+00
5.457715431e+03 2.830104619e+00 3.082826790e+00 1.261562152e+00
5.478156313e+03 2.789016490e+00 3.107288119e+00 1.254247098e+00
5.498597194e+03 2.747931544e+00 3.131263981e+00 1.247453890e+00
5.519038076e+03 2.706887279e+00 3.154728613e+00 1.241169994e+00
5.539478958e+03 2.665919678e+00 3.177657050e+00 1.235383198e+00
5.559919840e+03 2.625063229e+00 3.200025157e+00 1.230081606e+00
5.580360721e+03 2.584350873e+00 3.221809681e+00 1.225253632e+00
5.600801603e+03 2.543814059e+00 3.242988258e+00 1.220887988e+00
5.621242485e+03 2.503482687e+00 3.263539468e+00 1.216973688e+00
5.641683367e+03 2.463385164e+00 3.283442838e+00 1.213500026e+00
5.662124248e+03 2.423548380e+00 3.302678882e+00 1.210456577e+00
5.682565130e+03 2.383997734e+00 3.321229119e+00 1.207833188e+00
5.703006012e+03 2.344757157e+00 3.339076080e+00 1.205619964e+00
5.723446894e+03 2.305849111e+00 3.356203345e+00 1.203807267e+00
5.743887776e+03 2.267294644e+00 3.372595530e+00 1.202385699e+00
5.764328657e+03 2.229113378e+00 3.388238322e+00 1.201346101e+00
5.784769539e+03 2.191323578e+00 3.403118457e+00 1.200679536e+00
5.805210421e+03 2.153942148e+00 3.417223753e+00 1.200377284e+00
5.825651303e+03 2.116984694e+00 3.430543083e+00 1.200430832e+00
5.846092184e+03 2.080465533e+00 3.443066395e+00 1.200831868e+00
5.866533066e+03 2.044397749e+00 3.454784694e+00 1.201572264e+00
5.886973948e+03 2.008793221e+00 3.465690040e+00 1.202644077e+00
5.907414830e+03 1.973662664e+00 3.475775544e+00 1.204039531e+00
5.927855711e+03 1.939015671e+00 3.485035340e+00 1.205751016e+00
5.948296593e+03 1.904860747e+00 3.493464598e+00 1.207771073e+00
5.968737475e+03 1.871205361e+00 3.501059479e+00 1.210092394e+00
5.989178357e+03 1.838055975e+00 3.507817145e+00 1.212707802e+00
6.009619238e+03 1.805418097e+00 3.513735715e+00 1.215610255e+00
6.030060120e+03 1.773296313e+00 3.518814268e+00 1.218792832e+00
6.050501002e+03 1.741694336e+00 3.523052802e+00 1.222248726e+00
6.070941884e+03 1.710615044e+00 3.526452223e+00 1.225971237e+00
