time            Cj              Br              Ak             
1.774749499e+03 3.524449841e+00 1.103683468e+00 7.215417878e-01
1.789178357e+03 3.537238464e+00 1.073795783e+00 7.415982514e-01
1.803607214e+03 3.548061852e+00 1.044876898e+00 7.625098827e-01
1.818036072e+03 3.556905660e+00 1.016919073e+00 7.842943741e-01
1.832464930e+03 3.563758216e+00 9.899131973e-01 8.069689578e-01
1.846893788e+03 3.568610574e+00 9.638489830e-01 8.305503031e-01
1.861322645e+03 3.571456469e+00 9.387150562e-01 8.550543775e-01
1.875751503e+03 3.572292307e+00 9.144990697e-01 8.804963091e-01
1.890180361e+03 3.571117188e+00 8.911878397e-01 9.068902512e-01
1.904609218e+03 3.567932965e+00 8.687674982e-01 9.342492451e-01
1.919038076e+03 3.562744256e+00 8.472235882e-01 9.625850652e-01
1.933466934e+03 3.555558439e+00 8.265411458e-01 9.919080568e-01
1.947895792e+03 3.546385723e+00 8.067048277e-01 1.022226985e+00
1.962324649e+03 3.535239191e+00 7.876990080e-01 1.053548872e+00
1.976753507e+03 3.522134843e+00 7.695078674e-01 1.085878833e+00
1.991182365e+03 3.507091635e+00 7.521154701e-01 1.119219914e+00
2.005611222e+03 3.490131532e+00 7.355058513e-01 1.153572925e+00
2.020040080e+03 3.471279557e+00 7.196630900e-01 1.188936282e+00
2.034468938e+03 3.450563834e+00 7.045713780e-01 1.225305849e+00
2.048897796e+03 3.428015620e+00 6.902150816e-01 1.262674789e+00
2.063326653e+03 3.403669343e+00 6.765788011e-01 1.301033412e+00
2.077755511e+03 3.377562623e+00 6.636474271e-01 1.340369046e+00
2.092184369e+03 3.349736281e+00 6.514061871e-01 1.380665910e+00
2.106613226e+03 3.320234340e+00 6.398406915e-01 1.421904999e+00
2.121042084e+03 3.289104009e+00 6.289369746e-01 1.464063990e+00
2.135470942e+03 3.256395650e+00 6.186815321e-01 1.507117159e+00
2.149899800e+03 3.222162735e+00 6.090613554e-01 1.551035313e+00
2.164328657e+03 3.186461769e+00 6.000639603e-01 1.595785752e+00
2.178757515e+03 3.149352206e+00 5.916774147e-01 1.641332245e+00
2.193186373e+03 3.110896337e+00 5.838903630e-01 1.687635029e+00
2.207615230e+03 3.071159169e+00 5.766920483e-01 1.734650826e+00
2.222044088e+03 3.030208264e+00 5.700723299e-01 1.782332898e+00
2.236472946e+03 2.988113566e+00 5.640217004e-01 1.830631117e+00
2.250901804e+03 2.944947214e+00 5.585313002e-01 1.879492062e+00
2.265330661e+03 2.900783323e+00 5.535929304e-01 1.928859140e+00
2.279759519e+03 2.855697759e+00 5.491990630e-01 1.978672727e+00
2.294188377e+03 2.809767880e+00 5.453428499e-01 2.028870343e+00
2.308617234e+03 2.763072280e+00 5.420181306e-01 2.079386851e+00
2.323046092e+03 2.715690505e+00 5.392194376e-01 2.130154666e+00
2.337474950e+03 2.667702777e+00 5.369420020e-01 2.181103980e+00
2.351903808e+03 2.619189689e+00 5.351817558e-01 2.232163022e+00
