time            C               ReactCC         ProduceCC       HelperCC       
2.436873747e+03 1.161341467e+02 -4.810639495e-21 9.986585335e+01 9.986585335e+01
2.452905812e+03 1.161341467e+02 -4.000227692e-21 9.986585335e+01 9.986585335e+01
2.468937876e+03 1.161341467e+02 -3.160990497e-21 9.986585335e+01 9.986585335e+01
2.484969940e+03 1.161341467e+02 -2.292927908e-21 9.986585335e+01 9.986585335e+01
2.501002004e+03 1.161341467e+02 -1.396039926e-21 9.986585335e+01 9.986585335e+01
2.517034068e+03 1.161341467e+02 -4.703265504e-22 9.986585335e+01 9.986585335e+01
2.533066132e+03 1.161341467e+02 -2.435406047e-22 9.986585335e+01 9.986585335e+01
2.549098196e+03 1.161341467e+02 -2.431309706e-22 9.986585335e+01 9.986585335e+01
2.565130261e+03 1.161341467e+02 -2.426184843e-22 9.986585335e+01 9.986585335e+01
2.581162325e+03 1.161341467e+02 -2.420031457e-22 9.986585335e+01 9.986585335e+01
2.597194389e+03 1.161341467e+02 -2.412849549e-22 9.986585335e+01 9.986585335e+01
2.613226453e+03 1.161341467e+02 -2.404639117e-22 9.986585335e+01 9.986585335e+01
2.629258517e+03 1.161341467e+02 -2.395400163e-22 9.986585335e+01 9.986585335e+01
2.645290581e+03 1.161341467e+02 -2.385132685e-22 9.986585335e+01 9.986585335e+01
2.661322645e+03 1.161341467e+02 -2.373836685e-22 9.986585335e+01 9.986585335e+01
2.677354709e+03 1.161341467e+02 -2.361512162e-22 9.986585335e+01 9.986585335e+01
2.693386774e+03 1.161341467e+02 -2.348159117e-22 9.986585335e+01 9.986585335e+01
2.709418838e+03 1.161341467e+02 -2.333777548e-22 9.986585335e+01 9.986585335e+01
2.725450902e+03 1.161341467e+02 -2.318367457e-22 9.986585335e+01 9.986585335e+01
2.741482966e+03 1.161341467e+02 -2.301928843e-22 9.986585335e+01 9.986585335e+01
2.757515030e+03 1.161341467e+02 -2.284461706e-22 9.986585335e+01 9.986585335e+01
2.773547094e+03 1.161341467e+02 -2.265966046e-22 9.986585335e+01 9.986585335e+01
2.789579158e+03 1.161341467e+02 -2.246441864e-22 9.986585335e+01 9.986585335e+01
2.805611222e+03 1.161341467e+02 -2.225889158e-22 9.986585335e+01 9.986585335e+01
2.821643287e+03 1.161341467e+02 -2.204307930e-22 9.986585335e+01 9.986585335e+01
2.837675351e+03 1.161341467e+02 -2.181698179e-22 9.986585335e+01 9.986585335e+01
2.853707415e+03 1.161341467e+02 -2.158059905e-22 9.986585335e+01 9.986585335e+01
2.869739479e+03 1.161341467e+02 -2.133393109e-22 9.986585335e+01 9.986585335e+01
2.885771543e+03 1.161341467e+02 -2.107697789e-22 9.986585335e+01 9.986585335e+01
2.901803607e+03 1.161341467e+02 -2.080973947e-22 9.986585335e+01 9.986585335e+01
2.917835671e+03 1.161341467e+02 -2.053221582e-22 9.986585335e+01 9.986585335e+01
2.933867735e+03 1.161341467e+02 -2.024440694e-22 9.986585335e+01 9.986585335e+01
2.949899800e+03 1.161341467e+02 -1.994631283e-22 9.986585335e+01 9.986585335e+01
2.965931864e+03 1.161341467e+02 -1.963793350e-22 9.986585335e+01 9.986585335e+01
2.981963928e+03 1.161341467e+02 -1.931926893e-22 9.986585335e+01 9.986585335e+01
2.997995992e+03 1.161341467e+02 -1.899031914e-22 9.986585335e+01 9.986585335e+01
3.014028056e+03 1.161341467e+02 -1.865108412e-22 9.986585335e+01 9.986585335e+01
3.030060120e+03 1.161341467e+02 -1.830156387e-22 9.986585335e+01 9.986585335e+01
3.046092184e+03 1.161341467e+02 -1.794175840e-22 9.986585335e+01 9.986585335e+01
3.062124248e+03 1.161341467e+02 -1.757166769e-22 9.986585335e+01 9.986585335e+01
3.078156313e+03 1.161341467e+02 -1.719129176e-22 9.986585335e+01 9.986585335e+01
