time            sAk             sBr             sCj            
3.910220441e+03 2.879057553e+00 5.475274567e+00 8.786247058e+00
3.924649299e+03 2.927668794e+00 5.378787356e+00 8.791466953e+00
3.939078156e+03 2.977897110e+00 5.285434083e+00 8.789848006e+00
3.953507014e+03 3.029689526e+00 5.195208231e+00 8.781414926e+00
3.967935872e+03 3.082989251e+00 5.108096530e+00 8.766211037e+00
3.982364729e+03 3.137735794e+00 5.024079572e+00 8.744298057e+00
3.996793587e+03 3.193864634e+00 4.943132295e+00 8.715756596e+00
4.011222445e+03 3.251307224e+00 4.865224491e+00 8.680686267e+00
4.025651303e+03 3.309990973e+00 4.790321286e+00 8.639205698e+00
4.040080160e+03 3.369839286e+00 4.718383590e+00 8.591452518e+00
4.054509018e+03 3.430771426e+00 4.649368399e+00 8.537583579e+00
4.068937876e+03 3.492702801e+00 4.583229241e+00 8.477774536e+00
4.083366733e+03 3.555544998e+00 4.519916473e+00 8.412219626e+00
4.097795591e+03 3.619205961e+00 4.459377557e+00 8.341131303e+00
4.112224449e+03 3.683590210e+00 4.401557331e+00 8.264739602e+00
4.126653307e+03 3.748599098e+00 4.346398243e+00 8.183291366e+00
4.141082164e+03 3.814131104e+00 4.293840562e+00 8.097049259e+00
4.155511022e+03 3.880082198e+00 4.243822548e+00 8.006290641e+00
4.169939880e+03 3.946346149e+00 4.196280619e+00 7.911306256e+00
4.184368737e+03 4.012815067e+00 4.151149517e+00 7.812398361e+00
4.198797595e+03 4.079379735e+00 4.108362418e+00 7.709879210e+00
4.213226453e+03 4.145930105e+00 4.067851053e+00 7.604069020e+00
4.227655311e+03 4.212355839e+00 4.029545823e+00 7.495293742e+00
4.242084168e+03 4.278546775e+00 3.993375890e+00 7.383882921e+00
4.256513026e+03 4.344393464e+00 3.959269277e+00 7.270167287e+00
4.270941884e+03 4.409787662e+00 3.927152942e+00 7.154476447e+00
4.285370741e+03 4.474622898e+00 3.896952876e+00 7.037136426e+00
4.299799599e+03 4.538794957e+00 3.868594185e+00 6.918467376e+00
4.314228457e+03 4.602202363e+00 3.842001165e+00 6.798781367e+00
4.328657315e+03 4.664746834e+00 3.817097377e+00 6.678380299e+00
4.343086172e+03 4.726333787e+00 3.793805757e+00 6.557553975e+00
4.357515030e+03 4.786872663e+00 3.772048672e+00 6.436578491e+00
4.371943888e+03 4.846277330e+00 3.751748020e+00 6.315714774e+00
4.386372745e+03 4.904466402e+00 3.732825320e+00 6.195207486e+00
4.400801603e+03 4.961363527e+00 3.715201789e+00 6.075284017e+00
4.415230461e+03 5.016897630e+00 3.698798454e+00 5.956154030e+00
4.429659319e+03 5.071003043e+00 3.683536233e+00 5.838009181e+00
4.444088176e+03 5.123619696e+00 3.669336048e+00 5.721022950e+00
4.458517034e+03 5.174693189e+00 3.656118926e+00 5.605350875e+00
4.472945892e+03 5.224174833e+00 3.643806099e+00 5.491130948e+00
4.487374749e+03 5.272021662e+00 3.632319133e+00 5.378484205e+00
4.501803607e+03 5.318196392e+00 3.621580049e+00 5.267515486e+00
4.516232465e+03 5.362667342e+00 3.611511447e+00 5.158314263e+00
4.530661323e+03 5.405408329e+00 3.602036642e+00 5.050955590e+00
4.545090180e+03 5.446398537e+00 3.593079823e+00 4.945501127e+00
4.559519038e+03 5.485622348e+00 3.584566205e+00 4.842000185e+00
4.573947896e+03 5.523069158e+00 3.576422203e+00 4.740490768e+00
4.588376754e+03 5.558733172e+00 3.568575615e+00 4.641000614e+00
4.602805611e+03 5.592613185e+00 3.560955816e+00 4.543548214e+00
4.617234469e+03 5.624712350e+00 3.553493967e+00 4.448143787e+00
4.631663327e+03 5.655037928e+00 3.546123239e+00 4.354790194e+00
4.646092184e+03 5.683601044e+00 3.538779045e+00 4.263483801e+00
4.660521042e+03 5.710416429e+00 3.531399279e+00 4.174215280e+00
4.674949900e+03 5.735502159e+00 3.523924570e+00 4.086970343e+00
4.689378758e+03 5.758879392e+00 3.516298540e+00 4.001730412e+00
4.703807615e+03 5.780572111e+00 3.508468067e+00 3.918473222e+00
4.718236473e+03 5.800606858e+00 3.500383539e+00 3.837173370e+00
4.732665331e+03 5.819012477e+00 3.491999115e+00 3.757802798e+00
4.747094188e+03 5.835819858e+00 3.483272967e+00 3.680331228e+00
4.761523046e+03 5.851061687e+00 3.474167515e+00 3.604726545e+00
4.775951904e+03 5.864772198e+00 3.464649638e+00 3.530955140e+00
4.790380762e+03 5.876986932e+00 3.454690859e+00 3.458982201e+00
4.804809619e+03 5.887742506e+00 3.444267503e+00 3.388771983e+00
4.819238477e+03 5.897076385e+00 3.433360812e+00 3.320288033e+00
4.833667335e+03 5.905026666e+00 3.421957026e+00 3.253493394e+00
4.848096192e+03 5.911631869e+00 3.410047415e+00 3.188350779e+00
4.862525050e+03 5.916930741e+00 3.397628255e+00 3.124822726e+00
4.876953908e+03 5.920962071e+00 3.384700763e+00 3.062871733e+00
4.891382766e+03 5.923764511e+00 3.371270968e+00 3.002460376e+00
4.905811623e+03 5.925376419e+00 3.357349531e+00 2.943551412e+00
4.920240481e+03 5.925835712e+00 3.342951511e+00 2.886107869e+00
4.934669339e+03 5.925179726e+00 3.328096079e+00 2.830093124e+00
4.949098196e+03 5.923445103e+00 3.312806185e+00 2.775470974e+00
4.963527054e+03 5.920667684e+00 3.297108183e+00 2.722205694e+00
4.977955912e+03 5.916882417e+00 3.281031419e+00 2.670262089e+00
4.992384770e+03 5.912123288e+00 3.264607788e+00 2.619605540e+00
5.006813627e+03 5.906423256e+00 3.247871278e+00 2.570202043e+00
5.021242485e+03 5.899814216e+00 3.230857493e+00 2.522018239e+00
5.035671343e+03 5.892326959e+00 3.213603179e+00 2.475021443e+00
5.050100200e+03 5.883991162e+00 3.196145760e+00 2.429179667e+00
5.064529058e+03 5.874835382e+00 3.178522877e+00 2.384461637e+00
5.078957916e+03 5.864887064e+00 3.160771964e+00 2.340836809e+00
5.093386774e+03 5.854172559e+00 3.142929841e+00 2.298275372e+00
5.107815631e+03 5.842717151e+00 3.125032354e+00 2.256748264e+00
5.122244489e+03 5.830545098e+00 3.107114048e+00 2.216227167e+00
5.136673347e+03 5.817679671e+00 3.089207889e+00 2.176684509e+00
5.151102204e+03 5.804143204e+00 3.071345029e+00 2.138093463e+00
5.165531062e+03 5.789957152e+00 3.053554619e+00 2.100427940e+00
5.179959920e+03 5.775142146e+00 3.035863671e+00 2.063662580e+00
5.194388778e+03 5.759718051e+00 3.018296953e+00 2.027772745e+00
5.208817635e+03 5.743704032e+00 3.000876950e+00 1.992734504e+00
5.223246493e+03 5.727118613e+00 2.983623841e+00 1.958524622e+00
5.237675351e+03 5.709979735e+00 2.966555517e+00 1.925120546e+00
5.252104208e+03 5.692304823e+00 2.949687635e+00 1.892500387e+00
5.266533066e+03 5.674110837e+00 2.933033689e+00 1.860642907e+00
5.280961924e+03 5.655414329e+00 2.916605119e+00 1.829527498e+00
5.295390782e+03 5.636231496e+00 2.900411414e+00 1.799134169e+00
5.309819639e+03 5.616578229e+00 2.884460247e+00 1.769443524e+00
5.324248497e+03 5.596470154e+00 2.868757608e+00 1.740436746e+00
5.338677355e+03 5.575922679e+00 2.853307941e+00 1.712095580e+00
5.353106212e+03 5.554951025e+00 2.838114293e+00 1.684402314e+00
5.367535070e+03 5.533570267e+00 2.823178448e+00 1.657339761e+00
5.381963928e+03 5.511795355e+00 2.808501069e+00 1.630891241e+00
5.396392786e+03 5.489641146e+00 2.794081825e+00 1.605040566e+00
5.410821643e+03 5.467122422e+00 2.779919521e+00 1.579772025e+00
5.425250501e+03 5.444253909e+00 2.766012214e+00 1.555070361e+00
5.439679359e+03 5.421050292e+00 2.752357321e+00 1.530920763e+00
5.454108216e+03 5.397526224e+00 2.738951720e+00 1.507308847e+00
5.468537074e+03 5.373696337e+00 2.725791836e+00 1.484220642e+00
5.482965932e+03 5.349575241e+00 2.712873730e+00 1.461642577e+00
5.497394790e+03 5.325177535e+00 2.700193170e+00 1.439561464e+00
5.511823647e+03 5.300517798e+00 2.687745691e+00 1.417964492e+00
5.526252505e+03 5.275610587e+00 2.675526659e+00 1.396839208e+00
5.540681363e+03 5.250470435e+00 2.663531314e+00 1.376173506e+00
5.555110220e+03 5.225111840e+00 2.651754815e+00 1.355955621e+00
5.569539078e+03 5.199549256e+00 2.640192279e+00 1.336174110e+00
