time            Cj              Ck             
2.795591182e+02 4.226472113e+01 4.619425615e+01
2.813627255e+02 4.230256586e+01 4.623934919e+01
2.831663327e+02 4.233988526e+01 4.628379298e+01
2.849699399e+02 4.237669097e+01 4.632760224e+01
2.867735471e+02 4.241299428e+01 4.637079127e+01
2.885771543e+02 4.244880614e+01 4.641337392e+01
2.903807615e+02 4.248413717e+01 4.645536361e+01
2.921843687e+02 4.251899768e+01 4.649677338e+01
2.939879760e+02 4.255339768e+01 4.653761588e+01
2.957915832e+02 4.258734689e+01 4.657790335e+01
2.975951904e+02 4.262085474e+01 4.661764772e+01
2.993987976e+02 4.265393043e+01 4.665686057e+01
3.012024048e+02 4.268658283e+01 4.669555306e+01
3.030060120e+02 4.271882062e+01 4.673373616e+01
3.048096192e+02 4.275065221e+01 4.677142045e+01
3.066132265e+02 4.278208580e+01 4.680861623e+01
3.084168337e+02 4.281312934e+01 4.684533351e+01
3.102204409e+02 4.284379056e+01 4.688158201e+01
3.120240481e+02 4.287407701e+01 4.691737121e+01
3.138276553e+02 4.290399601e+01 4.695271030e+01
3.156312625e+02 4.293355470e+01 4.698760824e+01
3.174348697e+02 4.296276002e+01 4.702207375e+01
3.192384770e+02 4.299161873e+01 4.705611529e+01
3.210420842e+02 4.302013742e+01 4.708974113e+01
3.228456914e+02 4.304832250e+01 4.712295930e+01
3.246492986e+02 4.307618022e+01 4.715577762e+01
3.264529058e+02 4.310371668e+01 4.718820372e+01
3.282565130e+02 4.313093780e+01 4.722024502e+01
3.300601202e+02 4.315784938e+01 4.725190874e+01
3.318637275e+02 4.318445704e+01 4.728320195e+01
3.336673347e+02 4.321076630e+01 4.731413151e+01
3.354709419e+02 4.323678252e+01 4.734470411e+01
3.372745491e+02 4.326251093e+01 4.737492631e+01
3.390781563e+02 4.328795663e+01 4.740480444e+01
3.408817635e+02 4.331312459e+01 4.743434471e+01
3.426853707e+02 4.333801969e+01 4.746355320e+01
3.444889780e+02 4.336264667e+01 4.749243581e+01
3.462925852e+02 4.338701014e+01 4.752099829e+01
3.480961924e+02 4.341111465e+01 4.754924630e+01
3.498997996e+02 4.343496460e+01 4.757718531e+01
3.517034068e+02 4.345856431e+01 4.760482068e+01
3.535070140e+02 4.348191799e+01 4.763215767e+01
3.553106212e+02 4.350502975e+01 4.765920138e+01
3.571142285e+02 4.352790362e+01 4.768595680e+01
3.589178357e+02 4.355054354e+01 4.771242882e+01
3.607214429e+02 4.357295333e+01 4.773862220e+01
3.625250501e+02 4.359513675e+01 4.776454159e+01
3.643286573e+02 4.361709748e+01 4.779019155e+01
3.661322645e+02 4.363883910e+01 4.781557653e+01
3.679358717e+02 4.366036513e+01 4.784070087e+01
3.697394790e+02 4.368167899e+01 4.786556884e+01
3.715430862e+02 4.370278405e+01 4.789018457e+01
3.733466934e+02 4.372368359e+01 4.791455214e+01
3.751503006e+02 4.374438084e+01 4.793867555e+01
3.769539078e+02 4.376487893e+01 4.796255866e+01
3.787575150e+02 4.378518095e+01 4.798620530e+01
3.805611222e+02 4.380528991e+01 4.800961917e+01
3.823647295e+02 4.382520877e+01 4.803280393e+01
3.841683367e+02 4.384494041e+01 4.805576314e+01
3.859719439e+02 4.386448766e+01 4.807850028e+01
3.877755511e+02 4.388385328e+01 4.810101878e+01
3.895791583e+02 4.390304000e+01 4.812332199e+01
3.913827655e+02 4.392205046e+01 4.814541317e+01
3.931863727e+02 4.394088729e+01 4.816729553e+01
3.949899800e+02 4.395955301e+01 4.818897222e+01
3.967935872e+02 4.397805014e+01 4.821044632e+01
3.985971944e+02 4.399638112e+01 4.823172083e+01
4.004008016e+02 4.401454836e+01 4.825279871e+01
4.022044088e+02 4.403255421e+01 4.827368286e+01
4.040080160e+02 4.405040097e+01 4.829437611e+01
4.058116232e+02 4.406809091e+01 4.831488124e+01
4.076152305e+02 4.408562624e+01 4.833520097e+01
4.094188377e+02 4.410300914e+01 4.835533798e+01
4.112224449e+02 4.412024174e+01 4.837529487e+01
4.130260521e+02 4.413732613e+01 4.839507422e+01
4.148296593e+02 4.415426437e+01 4.841467855e+01
4.166332665e+02 4.417105846e+01 4.843411032e+01
4.184368737e+02 4.418771039e+01 4.845337196e+01
4.202404810e+02 4.420422209e+01 4.847246584e+01
4.220440882e+02 4.422059547e+01 4.849139429e+01
4.238476954e+02 4.423683239e+01 4.851015961e+01
4.256513026e+02 4.425293469e+01 4.852876402e+01
4.274549098e+02 4.426890416e+01 4.854720973e+01
4.292585170e+02 4.428474257e+01 4.856549891e+01
