time            X1              X2              Y1             
2.224448898e+02 2.334090818e+00 1.140522888e+00 1.214160761e+00
2.244488978e+02 2.337135060e+00 1.146458763e+00 1.197926370e+00
2.264529058e+02 2.340154918e+00 1.152325108e+00 1.181868401e+00
2.284569138e+02 2.343150219e+00 1.158122464e+00 1.165986002e+00
2.304609218e+02 2.346120800e+00 1.163851365e+00 1.150278285e+00
2.324649299e+02 2.349066519e+00 1.169512329e+00 1.134744380e+00
2.344689379e+02 2.351987248e+00 1.175105867e+00 1.119383402e+00
2.364729459e+02 2.354882849e+00 1.180632561e+00 1.104194331e+00
2.384769539e+02 2.357753214e+00 1.186092922e+00 1.089176231e+00
2.404809619e+02 2.360598244e+00 1.191487493e+00 1.074328123e+00
2.424849699e+02 2.363417859e+00 1.196816826e+00 1.059649004e+00
2.444889780e+02 2.366211989e+00 1.202081458e+00 1.045137847e+00
2.464929860e+02 2.368980558e+00 1.207281936e+00 1.030793589e+00
2.484969940e+02 2.371723516e+00 1.212418784e+00 1.016615210e+00
2.505010020e+02 2.374440820e+00 1.217492546e+00 1.002601632e+00
2.525050100e+02 2.377132431e+00 1.222503793e+00 9.887517097e-01
2.545090180e+02 2.379798325e+00 1.227453055e+00 9.750643608e-01
2.565130261e+02 2.382438491e+00 1.232340892e+00 9.615384600e-01
2.585170341e+02 2.385052925e+00 1.237167854e+00 9.481728676e-01
2.605210421e+02 2.387641630e+00 1.241934472e+00 9.349664335e-01
2.625250501e+02 2.390204615e+00 1.246641305e+00 9.219179828e-01
2.645290581e+02 2.392741901e+00 1.251288902e+00 9.090263466e-01
2.665330661e+02 2.395253517e+00 1.255877816e+00 8.962903234e-01
2.685370741e+02 2.397739498e+00 1.260408561e+00 8.837087891e-01
2.705410822e+02 2.400199890e+00 1.264881729e+00 8.712804348e-01
2.725450902e+02 2.402634740e+00 1.269297849e+00 8.590040784e-01
2.745490982e+02 2.405044108e+00 1.273657472e+00 8.468784962e-01
2.765531062e+02 2.407428063e+00 1.277961149e+00 8.349024540e-01
2.785571142e+02 2.409786677e+00 1.282209417e+00 8.230747106e-01
2.805611222e+02 2.412120024e+00 1.286402818e+00 8.113940169e-01
2.825651303e+02 2.414428188e+00 1.290541905e+00 7.998591181e-01
2.845691383e+02 2.416711263e+00 1.294627226e+00 7.884687256e-01
2.865731463e+02 2.418969339e+00 1.298659294e+00 7.772216477e-01
2.885771543e+02 2.421202524e+00 1.302638683e+00 7.661165301e-01
2.905811623e+02 2.423410917e+00 1.306565888e+00 7.551522039e-01
2.925851703e+02 2.425594637e+00 1.310441487e+00 7.443272927e-01
2.945891784e+02 2.427753796e+00 1.314266001e+00 7.336405417e-01
2.965931864e+02 2.429888516e+00 1.318039963e+00 7.230906779e-01
