time            Ak              Br              Cj              sAk             sBr             sCj            
3.781563126e+04 1.278859717e+00 4.726127143e-01 4.222944339e-01 1.377363865e-02 3.774172749e-02 3.481032035e-02
3.802004008e+04 1.269425034e+00 4.825923485e-01 4.034291990e-01 1.385095345e-02 3.705375947e-02 3.620129471e-02
3.822444890e+04 1.258490994e+00 4.930458436e-01 3.855588244e-01 1.394524212e-02 3.634120845e-02 3.763553486e-02
3.842885772e+04 1.246123286e+00 5.039534905e-01 3.686466515e-01 1.405652049e-02 3.560936325e-02 3.911209879e-02
3.863326653e+04 1.232390672e+00 5.152939930e-01 3.526549205e-01 1.418487239e-02 3.486337872e-02 4.062989665e-02
3.883767535e+04 1.217364554e+00 5.270443351e-01 3.375452129e-01 1.433044776e-02 3.410821671e-02 4.218769434e-02
3.904208417e+04 1.201118456e+00 5.391796888e-01 3.232788300e-01 1.449346173e-02 3.334859094e-02 4.378411847e-02
3.924649299e+04 1.183727606e+00 5.516733506e-01 3.098171243e-01 1.467419388e-02 3.258892181e-02 4.541766194e-02
3.945090180e+04 1.165268541e+00 5.644967152e-01 2.971217750e-01 1.487298761e-02 3.183329955e-02 4.708669064e-02
3.965531062e+04 1.145818712e+00 5.776192867e-01 2.851550129e-01 1.509024981e-02 3.108545665e-02 4.878945080e-02
3.985971944e+04 1.125456170e+00 5.910087220e-01 2.738798167e-01 1.532645067e-02 3.034874904e-02 5.052407721e-02
4.006412826e+04 1.104259171e+00 6.046309161e-01 2.632600789e-01 1.558212396e-02 2.962614323e-02 5.228860258e-02
4.026853707e+04 1.082305889e+00 6.184501452e-01 2.532607021e-01 1.585786651e-02 2.892022302e-02 5.408096770e-02
4.047294589e+04 1.059674102e+00 6.324292035e-01 2.438477052e-01 1.615433958e-02 2.823318946e-02 5.589903087e-02
4.067735471e+04 1.036440884e+00 6.465295653e-01 2.349883165e-01 1.647227067e-02 2.756686665e-02 5.774057622e-02
4.088176353e+04 1.012682318e+00 6.607116566e-01 2.266509851e-01 1.681245190e-02 2.692273685e-02 5.960332776e-02
4.108617234e+04 9.884732159e-01 6.749350626e-01 2.188054299e-01 1.717574304e-02 2.630195308e-02 6.148495832e-02
4.129058116e+04 9.638868421e-01 6.891587834e-01 2.114226554e-01 1.756307292e-02 2.570536555e-02 6.338310051e-02
4.149498998e+04 9.389946834e-01 7.033415517e-01 2.044749601e-01 1.797544068e-02 2.513355408e-02 6.529535810e-02
4.169939880e+04 9.138661349e-01 7.174420439e-01 1.979359099e-01 1.841391831e-02 2.458685379e-02 6.721931594e-02
4.190380762e+04 8.885683444e-01 7.314192349e-01 1.917803436e-01 1.887965255e-02 2.406538743e-02 6.915255054e-02
4.210821643e+04 8.631659621e-01 7.452326661e-01 1.859843409e-01 1.937386803e-02 2.356909290e-02 7.109264013e-02
4.231262525e+04 8.377209292e-01 7.588427271e-01 1.805251974e-01 1.989787018e-02 2.309775233e-02 7.303717401e-02
4.251703407e+04 8.122923754e-01 7.722108963e-01 1.753813673e-01 2.045304690e-02 2.265101853e-02 7.498376088e-02
4.272144289e+04 7.869363812e-01 7.853000395e-01 1.705324674e-01 2.104087482e-02 2.222843521e-02 7.693003819e-02
4.292585170e+04 7.617058649e-01 7.980746445e-01 1.659592300e-01 2.166292261e-02 2.182946089e-02 7.887367841e-02
4.313026052e+04 7.366505425e-01 8.105010013e-01 1.616434368e-01 2.232085358e-02 2.145349039e-02 8.081239522e-02
4.333466934e+04 7.118168042e-01 8.225474137e-01 1.575679030e-01 2.301643188e-02 2.109986858e-02 8.274394960e-02
4.353907816e+04 6.872476672e-01 8.341843716e-01 1.537164319e-01 2.375152771e-02 2.076790682e-02 8.466615434e-02
4.374348697e+04 6.629827634e-01 8.453846702e-01 1.500737740e-01 2.452812221e-02 2.045689466e-02 8.657687688e-02
4.394789579e+04 6.390583398e-01 8.561235339e-01 1.466255856e-01 2.534831396e-02 2.016611120e-02 8.847404196e-02
4.415230461e+04 6.155072772e-01 8.663786885e-01 1.433583899e-01 2.621432547e-02 1.989483463e-02 9.035563249e-02
4.435671343e+04 5.923591567e-01 8.761304212e-01 1.402595424e-01 2.712850976e-02 1.964234789e-02 9.221968930e-02
4.456112224e+04 5.696402925e-01 8.853615533e-01 1.373171955e-01 2.809335731e-02 1.940794496e-02 9.406430938e-02
4.476553106e+04 5.473739369e-01 8.940575812e-01 1.345202578e-01 2.911150499e-02 1.919093600e-02 9.588764416e-02
