time            sBr             sCj            
2.770340681e+03 3.990119761e+00 4.486838864e-03
2.784769539e+03 3.989758318e+00 4.650905338e-03
2.799198397e+03 3.989383698e+00 4.820960657e-03
2.813627255e+03 3.988995421e+00 4.997222719e-03
2.828056112e+03 3.988592992e+00 5.179917342e-03
2.842484970e+03 3.988175898e+00 5.369278165e-03
2.856913828e+03 3.987743608e+00 5.565547043e-03
2.871342685e+03 3.987295571e+00 5.768975450e-03
2.885771543e+03 3.986831216e+00 5.979823119e-03
2.900200401e+03 3.986349955e+00 6.198359023e-03
2.914629259e+03 3.985851175e+00 6.424862704e-03
2.929058116e+03 3.985334241e+00 6.659623063e-03
2.943486974e+03 3.984798499e+00 6.902939362e-03
2.957915832e+03 3.984243268e+00 7.155122190e-03
2.972344689e+03 3.983667845e+00 7.416492779e-03
2.986773547e+03 3.983071500e+00 7.687383827e-03
3.001202405e+03 3.982453478e+00 7.968140526e-03
3.015631263e+03 3.981812998e+00 8.259119817e-03
3.030060120e+03 3.981149252e+00 8.560691333e-03
3.044488978e+03 3.980461399e+00 8.873238991e-03
3.058917836e+03 3.979748573e+00 9.197159145e-03
3.073346693e+03 3.979009876e+00 9.532862322e-03
3.087775551e+03 3.978244379e+00 9.880774306e-03
3.102204409e+03 3.977451116e+00 1.024133645e-02
3.116633267e+03 3.976629094e+00 1.061500431e-02
3.131062124e+03 3.975777281e+00 1.100224988e-02
3.145490982e+03 3.974894607e+00 1.140356416e-02
3.159919840e+03 3.973979968e+00 1.181945277e-02
3.174348697e+03 3.973032222e+00 1.225043980e-02
3.188777555e+03 3.972050185e+00 1.269706890e-02
3.203206413e+03 3.971032629e+00 1.315990283e-02
3.217635271e+03 3.969978290e+00 1.363952282e-02
3.232064128e+03 3.968885858e+00 1.413653102e-02
3.246492986e+03 3.967753971e+00 1.465155276e-02
3.260921844e+03 3.966581229e+00 1.518523251e-02
3.275350701e+03 3.965366180e+00 1.573823788e-02
3.289779559e+03 3.964107322e+00 1.631126137e-02
3.304208417e+03 3.962803100e+00 1.690501874e-02
3.318637275e+03 3.961451909e+00 1.752024963e-02
3.333066132e+03 3.960052090e+00 1.815772011e-02
3.347494990e+03 3.958601920e+00 1.881822474e-02
3.361923848e+03 3.957099626e+00 1.950258252e-02
3.376352705e+03 3.955543373e+00 2.021164135e-02
3.390781563e+03 3.953931261e+00 2.094628076e-02
3.405210421e+03 3.952261327e+00 2.170740839e-02
3.419639279e+03 3.950531547e+00 2.249596255e-02
3.434068136e+03 3.948739824e+00 2.331291465e-02
3.448496994e+03 3.946883991e+00 2.415927068e-02
3.462925852e+03 3.944961814e+00 2.503606794e-02
