time            sCj             sCk            
2.488977956e+02 3.170302104e+01 3.071401449e+01
2.494989980e+02 3.170402524e+01 3.071534011e+01
2.501002004e+02 3.170500975e+01 3.071663974e+01
2.507014028e+02 3.170597496e+01 3.071791391e+01
2.513026052e+02 3.170692126e+01 3.071916310e+01
2.519038076e+02 3.170784901e+01 3.072038782e+01
2.525050100e+02 3.170875858e+01 3.072158853e+01
2.531062124e+02 3.170965032e+01 3.072276573e+01
2.537074148e+02 3.171052459e+01 3.072391986e+01
2.543086172e+02 3.171138173e+01 3.072505138e+01
2.549098196e+02 3.171222208e+01 3.072616074e+01
2.555110220e+02 3.171304596e+01 3.072724836e+01
2.561122244e+02 3.171385371e+01 3.072831469e+01
2.567134269e+02 3.171464564e+01 3.072936013e+01
2.573146293e+02 3.171542205e+01 3.073038509e+01
2.579158317e+02 3.171618326e+01 3.073138999e+01
2.585170341e+02 3.171692957e+01 3.073237520e+01
2.591182365e+02 3.171766125e+01 3.073334113e+01
2.597194389e+02 3.171837862e+01 3.073428814e+01
2.603206413e+02 3.171908193e+01 3.073521661e+01
2.609218437e+02 3.171977148e+01 3.073612690e+01
2.615230461e+02 3.172044753e+01 3.073701938e+01
2.621242485e+02 3.172111034e+01 3.073789438e+01
2.627254509e+02 3.172176018e+01 3.073875225e+01
2.633266533e+02 3.172239730e+01 3.073959334e+01
2.639278557e+02 3.172302194e+01 3.074041796e+01
2.645290581e+02 3.172363437e+01 3.074122644e+01
2.651302605e+02 3.172423480e+01 3.074201910e+01
2.657314629e+02 3.172482349e+01 3.074279624e+01
2.663326653e+02 3.172540066e+01 3.074355818e+01
2.669338677e+02 3.172596653e+01 3.074430521e+01
2.675350701e+02 3.172652133e+01 3.074503762e+01
2.681362725e+02 3.172706527e+01 3.074575570e+01
2.687374749e+02 3.172759857e+01 3.074645972e+01
2.693386774e+02 3.172812144e+01 3.074714998e+01
2.699398798e+02 3.172863408e+01 3.074782673e+01
2.705410822e+02 3.172913669e+01 3.074849024e+01
2.711422846e+02 3.172962947e+01 3.074914077e+01
2.717434870e+02 3.173011260e+01 3.074977857e+01
2.723446894e+02 3.173058629e+01 3.075040390e+01
2.729458918e+02 3.173105072e+01 3.075101699e+01
2.735470942e+02 3.173150606e+01 3.075161810e+01
2.741482966e+02 3.173195249e+01 3.075220744e+01
2.747494990e+02 3.173239019e+01 3.075278526e+01
2.753507014e+02 3.173281934e+01 3.075335178e+01
2.759519038e+02 3.173324009e+01 3.075390722e+01
2.765531062e+02 3.173365261e+01 3.075445180e+01
2.771543086e+02 3.173405706e+01 3.075498572e+01
2.777555110e+02 3.173445361e+01 3.075550920e+01
2.783567134e+02 3.173484240e+01 3.075602245e+01
2.789579158e+02 3.173522359e+01 3.075652566e+01
2.795591182e+02 3.173559733e+01 3.075701903e+01
2.801603206e+02 3.173596376e+01 3.075750276e+01
2.807615230e+02 3.173632302e+01 3.075797702e+01
2.813627255e+02 3.173667526e+01 3.075844201e+01
2.819639279e+02 3.173702062e+01 3.075889791e+01
2.825651303e+02 3.173735922e+01 3.075934490e+01
2.831663327e+02 3.173769120e+01 3.075978314e+01
2.837675351e+02 3.173801669e+01 3.076021282e+01
2.843687375e+02 3.173833582e+01 3.076063410e+01
2.849699399e+02 3.173864871e+01 3.076104714e+01
2.855711423e+02 3.173895549e+01 3.076145211e+01
2.861723447e+02 3.173925627e+01 3.076184916e+01
2.867735471e+02 3.173955117e+01 3.076223845e+01
2.873747495e+02 3.173984030e+01 3.076262013e+01
2.879759519e+02 3.174012379e+01 3.076299435e+01
2.885771543e+02 3.174040173e+01 3.076336126e+01
2.891783567e+02 3.174067424e+01 3.076372099e+01
2.897795591e+02 3.174094143e+01 3.076407369e+01
2.903807615e+02 3.174120339e+01 3.076441950e+01
2.909819639e+02 3.174146024e+01 3.076475855e+01
2.915831663e+02 3.174171206e+01 3.076509097e+01
2.921843687e+02 3.174195897e+01 3.076541689e+01
2.927855711e+02 3.174220104e+01 3.076573645e+01
2.933867735e+02 3.174243839e+01 3.076604976e+01
2.939879760e+02 3.174267110e+01 3.076635694e+01
2.945891784e+02 3.174289926e+01 3.076665813e+01
2.951903808e+02 3.174312296e+01 3.076695342e+01
2.957915832e+02 3.174334229e+01 3.076724295e+01
2.963927856e+02 3.174355734e+01 3.076752681e+01
2.969939880e+02 3.174376818e+01 3.076780513e+01
2.975951904e+02 3.174397490e+01 3.076807801e+01
2.981963928e+02 3.174417759e+01 3.076834556e+01
2.987975952e+02 3.174437631e+01 3.076860788e+01
2.993987976e+02 3.174457115e+01 3.076886507e+01
3.000000000e+02 3.174476218e+01 3.076911724e+01
