time            shCj            shCk            shBr           
2.004008016e+03 4.305046368e+00 2.008638876e+00 1.367102132e+00
2.014028056e+03 4.307767345e+00 2.014443710e+00 1.358199740e+00
2.024048096e+03 4.310478315e+00 2.020214284e+00 1.349343717e+00
2.034068136e+03 4.313179224e+00 2.025950735e+00 1.340533972e+00
2.044088176e+03 4.315870019e+00 2.031653203e+00 1.331770414e+00
2.054108216e+03 4.318550650e+00 2.037321825e+00 1.323052949e+00
2.064128257e+03 4.321221068e+00 2.042956739e+00 1.314381481e+00
2.074148297e+03 4.323881226e+00 2.048558084e+00 1.305755914e+00
2.084168337e+03 4.326531077e+00 2.054125998e+00 1.297176147e+00
2.094188377e+03 4.329170579e+00 2.059660621e+00 1.288642080e+00
2.104208417e+03 4.331799690e+00 2.065162090e+00 1.280153610e+00
2.114228457e+03 4.334418367e+00 2.070630544e+00 1.271710633e+00
2.124248497e+03 4.337026571e+00 2.076066123e+00 1.263313043e+00
2.134268537e+03 4.339624266e+00 2.081468966e+00 1.254960732e+00
2.144288577e+03 4.342211413e+00 2.086839212e+00 1.246653590e+00
2.154308617e+03 4.344787979e+00 2.092177000e+00 1.238391506e+00
2.164328657e+03 4.347353929e+00 2.097482469e+00 1.230174369e+00
2.174348697e+03 4.349909232e+00 2.102755760e+00 1.222002063e+00
2.184368737e+03 4.352453856e+00 2.107997011e+00 1.213874473e+00
2.194388778e+03 4.354987774e+00 2.113206362e+00 1.205791483e+00
2.204408818e+03 4.357510957e+00 2.118383952e+00 1.197752973e+00
2.214428858e+03 4.360023380e+00 2.123529920e+00 1.189758822e+00
2.224448898e+03 4.362525016e+00 2.128644407e+00 1.181808911e+00
2.234468938e+03 4.365015841e+00 2.133727552e+00 1.173903115e+00
2.244488978e+03 4.367495834e+00 2.138779495e+00 1.166041312e+00
2.254509018e+03 4.369964974e+00 2.143800374e+00 1.158223374e+00
2.264529058e+03 4.372423239e+00 2.148790331e+00 1.150449177e+00
2.274549098e+03 4.374870611e+00 2.153749504e+00 1.142718591e+00
2.284569138e+03 4.377307073e+00 2.158678033e+00 1.135031488e+00
2.294589178e+03 4.379732609e+00 2.163576057e+00 1.127387737e+00
2.304609218e+03 4.382147205e+00 2.168443716e+00 1.119787204e+00
2.314629259e+03 4.384550846e+00 2.173281149e+00 1.112229758e+00
2.324649299e+03 4.386943519e+00 2.178088497e+00 1.104715264e+00
2.334669339e+03 4.389325214e+00 2.182865897e+00 1.097243588e+00
2.344689379e+03 4.391695919e+00 2.187613490e+00 1.089814594e+00
2.354709419e+03 4.394055625e+00 2.192331414e+00 1.082428143e+00
2.364729459e+03 4.396404325e+00 2.197019809e+00 1.075084098e+00
2.374749499e+03 4.398742010e+00 2.201678813e+00 1.067782320e+00
2.384769539e+03 4.401068675e+00 2.206308566e+00 1.060522667e+00
2.394789579e+03 4.403384314e+00 2.210909207e+00 1.053304999e+00
2.404809619e+03 4.405688927e+00 2.215480874e+00 1.046129171e+00
2.414829659e+03 4.407982508e+00 2.220023706e+00 1.038995041e+00
2.424849699e+03 4.410265055e+00 2.224537841e+00 1.031902466e+00
2.434869739e+03 4.412536568e+00 2.229023417e+00 1.024851299e+00
2.444889780e+03 4.414797047e+00 2.233480574e+00 1.017841396e+00
2.454909820e+03 4.417046492e+00 2.237909448e+00 1.010872610e+00
2.464929860e+03 4.419284905e+00 2.242310179e+00 1.003944792e+00
2.474949900e+03 4.421512290e+00 2.246682903e+00 9.970577962e-01
2.484969940e+03 4.423728649e+00 2.251027758e+00 9.902114722e-01
2.494989980e+03 4.425933989e+00 2.255344881e+00 9.834056694e-01
2.505010020e+03 4.428128315e+00 2.259634412e+00 9.766402357e-01
2.515030060e+03 4.430311634e+00 2.263896485e+00 9.699150215e-01
2.525050100e+03 4.432483952e+00 2.268131239e+00 9.632298749e-01
2.535070140e+03 4.434645277e+00 2.272338809e+00 9.565846432e-01
2.545090180e+03 4.436795619e+00 2.276519333e+00 9.499791735e-01
2.555110220e+03 4.438934987e+00 2.280672946e+00 9.434133119e-01
2.565130261e+03 4.441063391e+00 2.284799785e+00 9.368869041e-01
2.575150301e+03 4.443180842e+00 2.288899986e+00 9.303997952e-01
2.585170341e+03 4.445287354e+00 2.292973684e+00 9.239518300e-01
2.595190381e+03 4.447382939e+00 2.297021014e+00 9.175428504e-01
2.605210421e+03 4.449467611e+00 2.301042114e+00 9.111726992e-01
2.615230461e+03 4.451541385e+00 2.305037116e+00 9.048412208e-01
2.625250501e+03 4.453604274e+00 2.309006156e+00 8.985482575e-01
2.635270541e+03 4.455656295e+00 2.312949368e+00 8.922936514e-01
2.645290581e+03 4.457697464e+00 2.316866887e+00 8.860772442e-01
2.655310621e+03 4.459727798e+00 2.320758846e+00 8.798988771e-01
2.665330661e+03 4.461747315e+00 2.324625379e+00 8.737583909e-01
2.675350701e+03 4.463756032e+00 2.328466619e+00 8.676556261e-01
2.685370741e+03 4.465753969e+00 2.332282700e+00 8.615904231e-01
2.695390782e+03 4.467741147e+00 2.336073755e+00 8.555626196e-01
2.705410822e+03 4.469717585e+00 2.339839916e+00 8.495720552e-01
2.715430862e+03 4.471683304e+00 2.343581315e+00 8.436185695e-01
2.725450902e+03 4.473638326e+00 2.347298085e+00 8.377020014e-01
2.735470942e+03 4.475582672e+00 2.350990357e+00 8.318221892e-01
2.745490982e+03 4.477516365e+00 2.354658263e+00 8.259789713e-01
2.755511022e+03 4.479439428e+00 2.358301933e+00 8.201721856e-01
2.765531062e+03 4.481351884e+00 2.361921498e+00 8.144016700e-01
2.775551102e+03 4.483253759e+00 2.365517090e+00 8.086672612e-01
2.785571142e+03 4.485145078e+00 2.369088837e+00 8.029687964e-01
2.795591182e+03 4.487025864e+00 2.372636871e+00 7.973061131e-01
2.805611222e+03 4.488896144e+00 2.376161320e+00 7.916790485e-01
2.815631263e+03 4.490755944e+00 2.379662313e+00 7.860874393e-01
2.825651303e+03 4.492605291e+00 2.383139979e+00 7.805311223e-01
2.835671343e+03 4.494444212e+00 2.386594447e+00 7.750099342e-01
2.845691383e+03 4.496272734e+00 2.390025844e+00 7.695237116e-01
2.855711423e+03 4.498090886e+00 2.393434300e+00 7.640722904e-01
2.865731463e+03 4.499898696e+00 2.396819940e+00 7.586555068e-01
2.875751503e+03 4.501696193e+00 2.400182892e+00 7.532731974e-01
2.885771543e+03 4.503483406e+00 2.403523283e+00 7.479251986e-01
2.895791583e+03 4.505260366e+00 2.406841238e+00 7.426113468e-01
2.905811623e+03 4.507027101e+00 2.410136885e+00 7.373314782e-01
2.915831663e+03 4.508783643e+00 2.413410348e+00 7.320854292e-01
2.925851703e+03 4.510530023e+00 2.416661752e+00 7.268730361e-01
2.935871743e+03 4.512266271e+00 2.419891223e+00 7.216941348e-01
2.945891784e+03 4.513992420e+00 2.423098884e+00 7.165485610e-01
2.955911824e+03 4.515708501e+00 2.426284861e+00 7.114361519e-01
2.965931864e+03 4.517414546e+00 2.429449276e+00 7.063567439e-01
2.975951904e+03 4.519110589e+00 2.432592252e+00 7.013101736e-01
2.985971944e+03 4.520796661e+00 2.435713913e+00 6.962962779e-01
2.995991984e+03 4.522472797e+00 2.438814381e+00 6.913148936e-01
3.006012024e+03 4.524139029e+00 2.441893778e+00 6.863658577e-01
3.016032064e+03 4.525795392e+00 2.444952225e+00 6.814490066e-01
3.026052104e+03 4.527441920e+00 2.447989845e+00 6.765641768e-01
3.036072144e+03 4.529078647e+00 2.451006757e+00 6.717112063e-01
3.046092184e+03 4.530705608e+00 2.454003082e+00 6.668899328e-01
3.056112224e+03 4.532322837e+00 2.456978940e+00 6.621001937e-01
3.066132265e+03 4.533930371e+00 2.459934450e+00 6.573418271e-01
3.076152305e+03 4.535528243e+00 2.462869732e+00 6.526146711e-01
3.086172345e+03 4.537116490e+00 2.465784905e+00 6.479185640e-01
3.096192385e+03 4.538695147e+00 2.468680086e+00 6.432533439e-01
3.106212425e+03 4.540264252e+00 2.471555394e+00 6.386188484e-01
3.116232465e+03 4.541823840e+00 2.474410946e+00 6.340149175e-01
3.126252505e+03 4.543373948e+00 2.477246858e+00 6.294413901e-01
3.136272545e+03 4.544914612e+00 2.480063249e+00 6.248981058e-01
3.146292585e+03 4.546445869e+00 2.482860233e+00 6.203849042e-01
3.156312625e+03 4.547967756e+00 2.485637926e+00 6.159016254e-01
3.166332665e+03 4.549480311e+00 2.488396443e+00 6.114481096e-01
3.176352705e+03 4.550983572e+00 2.491135900e+00 6.070241972e-01
3.186372745e+03 4.552477575e+00 2.493856411e+00 6.026297281e-01
3.196392786e+03 4.553962359e+00 2.496558090e+00 5.982645441e-01
3.206412826e+03 4.555437962e+00 2.499241049e+00 5.939284866e-01
3.216432866e+03 4.556904421e+00 2.501905403e+00 5.896213975e-01
3.226452906e+03 4.558361775e+00 2.504551263e+00 5.853431188e-01
3.236472946e+03 4.559810062e+00 2.507178743e+00 5.810934931e-01
3.246492986e+03 4.561249321e+00 2.509787952e+00 5.768723633e-01
3.256513026e+03 4.562679590e+00 2.512379004e+00 5.726795722e-01
3.266533066e+03 4.564100908e+00 2.514952008e+00 5.685149626e-01
3.276553106e+03 4.565513315e+00 2.517507074e+00 5.643783789e-01
3.286573146e+03 4.566916848e+00 2.520044314e+00 5.602696654e-01
3.296593186e+03 4.568311547e+00 2.522563835e+00 5.561886668e-01
3.306613226e+03 4.569697452e+00 2.525065747e+00 5.521352282e-01
3.316633267e+03 4.571074600e+00 2.527550159e+00 5.481091949e-01
3.326653307e+03 4.572443032e+00 2.530017178e+00 5.441104131e-01
3.336673347e+03 4.573802787e+00 2.532466912e+00 5.401387288e-01
