time            Cj              Ck              Br             
1.214428858e+02 1.160476319e+01 4.430189095e+00 7.031984977e-01
1.220440882e+02 1.160949433e+01 4.437287404e+00 6.921651756e-01
1.226452906e+02 1.161416371e+01 4.444286510e+00 6.812978398e-01
1.232464930e+02 1.161877192e+01 4.451187594e+00 6.705942048e-01
1.238476954e+02 1.162331956e+01 4.457991828e+00 6.600520102e-01
1.244488978e+02 1.162780725e+01 4.464700375e+00 6.496690209e-01
1.250501002e+02 1.163223558e+01 4.471314389e+00 6.394430267e-01
1.256513026e+02 1.163660516e+01 4.477835014e+00 6.293718427e-01
1.262525050e+02 1.164091657e+01 4.484263387e+00 6.194533088e-01
1.268537074e+02 1.164517043e+01 4.490600634e+00 6.096852895e-01
1.274549098e+02 1.164936733e+01 4.496847872e+00 6.000656739e-01
1.280561122e+02 1.165350786e+01 4.503006211e+00 5.905923757e-01
1.286573146e+02 1.165759263e+01 4.509076748e+00 5.812633332e-01
1.292585170e+02 1.166162222e+01 4.515060575e+00 5.720765084e-01
1.298597194e+02 1.166559722e+01 4.520958771e+00 5.630298877e-01
1.304609218e+02 1.166951822e+01 4.526772407e+00 5.541214816e-01
1.310621242e+02 1.167338582e+01 4.532502545e+00 5.453493242e-01
1.316633267e+02 1.167720059e+01 4.538150237e+00 5.367114731e-01
1.322645291e+02 1.168096311e+01 4.543716524e+00 5.282060096e-01
1.328657315e+02 1.168467397e+01 4.549202442e+00 5.198310382e-01
1.334669339e+02 1.168833375e+01 4.554609012e+00 5.115846861e-01
1.340681363e+02 1.169194301e+01 4.559937249e+00 5.034651058e-01
1.346693387e+02 1.169550233e+01 4.565188160e+00 4.954704692e-01
1.352705411e+02 1.169901228e+01 4.570362738e+00 4.875989729e-01
1.358717435e+02 1.170247343e+01 4.575461971e+00 4.798488357e-01
1.364729459e+02 1.170588632e+01 4.580486836e+00 4.722182986e-01
1.370741483e+02 1.170925154e+01 4.585438298e+00 4.647056248e-01
1.376753507e+02 1.171256962e+01 4.590317316e+00 4.573090993e-01
1.382765531e+02 1.171584113e+01 4.595124837e+00 4.500270291e-01
1.388777555e+02 1.171906661e+01 4.599861801e+00 4.428577427e-01
1.394789579e+02 1.172224661e+01 4.604529136e+00 4.357995900e-01
1.400801603e+02 1.172538167e+01 4.609127764e+00 4.288509422e-01
1.406813627e+02 1.172847232e+01 4.613658593e+00 4.220101914e-01
1.412825651e+02 1.173151912e+01 4.618122527e+00 4.152757509e-01
1.418837675e+02 1.173452257e+01 4.622520455e+00 4.086460542e-01
1.424849699e+02 1.173748322e+01 4.626853262e+00 4.021195556e-01
1.430861723e+02 1.174040158e+01 4.631121820e+00 3.956947296e-01
1.436873747e+02 1.174327818e+01 4.635326994e+00 3.893700709e-01
1.442885772e+02 1.174611352e+01 4.639469638e+00 3.831440939e-01
1.448897796e+02 1.174890813e+01 4.643550599e+00 3.770153329e-01
1.454909820e+02 1.175166250e+01 4.647570712e+00 3.709823417e-01
1.460921844e+02 1.175437715e+01 4.651530805e+00 3.650436934e-01
1.466933868e+02 1.175705257e+01 4.655431697e+00 3.591979801e-01
1.472945892e+02 1.175968925e+01 4.659274197e+00 3.534438133e-01
1.478957916e+02 1.176228769e+01 4.663059106e+00 3.477798227e-01
1.484969940e+02 1.176484837e+01 4.666787214e+00 3.422046570e-01
1.490981964e+02 1.176737177e+01 4.670459305e+00 3.367169821e-01
1.496993988e+02 1.176985838e+01 4.674076152e+00 3.313154830e-01
1.503006012e+02 1.177230867e+01 4.677638521e+00 3.259988632e-01
1.509018036e+02 1.177472310e+01 4.681147167e+00 3.207658442e-01
1.515030060e+02 1.177710215e+01 4.684602837e+00 3.156151654e-01
1.521042084e+02 1.177944627e+01 4.688006271e+00 3.105455834e-01
1.527054108e+02 1.178175592e+01 4.691358199e+00 3.055558708e-01
1.533066132e+02 1.178403155e+01 4.694659341e+00 3.006448174e-01
1.539078156e+02 1.178627360e+01 4.697910412e+00 2.958112300e-01
1.545090180e+02 1.178848254e+01 4.701112116e+00 2.910539317e-01
1.551102204e+02 1.179065878e+01 4.704265149e+00 2.863717616e-01
1.557114228e+02 1.179280277e+01 4.707370200e+00 2.817635753e-01
1.563126253e+02 1.179491493e+01 4.710427947e+00 2.772282470e-01
1.569138277e+02 1.179699570e+01 4.713439063e+00 2.727646650e-01
1.575150301e+02 1.179904550e+01 4.716404212e+00 2.683717336e-01
1.581162325e+02 1.180106473e+01 4.719324047e+00 2.640483721e-01
1.587174349e+02 1.180305382e+01 4.722199217e+00 2.597935155e-01
1.593186373e+02 1.180501317e+01 4.725030361e+00 2.556061138e-01
1.599198397e+02 1.180694319e+01 4.727818111e+00 2.514851323e-01
1.605210421e+02 1.180884428e+01 4.730563090e+00 2.474295512e-01
