time            Cj              Ck             
3.553106212e+02 4.352401708e+01 4.765721292e+01
3.571142285e+02 4.354694583e+01 4.768400453e+01
3.589178357e+02 4.356964000e+01 4.771051222e+01
3.607214429e+02 4.359210344e+01 4.773674075e+01
3.625250501e+02 4.361433991e+01 4.776269480e+01
3.643286573e+02 4.363635311e+01 4.778837893e+01
3.661322645e+02 4.365814662e+01 4.781379761e+01
3.679358717e+02 4.367972398e+01 4.783895518e+01
3.697394790e+02 4.370108861e+01 4.786385591e+01
3.715430862e+02 4.372224390e+01 4.788850396e+01
3.733466934e+02 4.374319314e+01 4.791290342e+01
3.751503006e+02 4.376393956e+01 4.793705828e+01
3.769539078e+02 4.378448631e+01 4.796097243e+01
3.787575150e+02 4.380483648e+01 4.798464969e+01
3.805611222e+02 4.382499310e+01 4.800809378e+01
3.823647295e+02 4.384495913e+01 4.803130836e+01
3.841683367e+02 4.386473745e+01 4.805429700e+01
3.859719439e+02 4.388433091e+01 4.807706320e+01
3.877755511e+02 4.390374229e+01 4.809961038e+01
3.895791583e+02 4.392297430e+01 4.812194190e+01
3.913827655e+02 4.394202962e+01 4.814406103e+01
3.931863727e+02 4.396091084e+01 4.816597100e+01
3.949899800e+02 4.397962054e+01 4.818767495e+01
3.967935872e+02 4.399816122e+01 4.820917596e+01
3.985971944e+02 4.401653533e+01 4.823047706e+01
4.004008016e+02 4.403474528e+01 4.825158120e+01
4.022044088e+02 4.405279343e+01 4.827249129e+01
4.040080160e+02 4.407068210e+01 4.829321017e+01
4.058116232e+02 4.408841356e+01 4.831374062e+01
4.076152305e+02 4.410599002e+01 4.833408536e+01
4.094188377e+02 4.412341366e+01 4.835424708e+01
4.112224449e+02 4.414068664e+01 4.837422840e+01
4.130260521e+02 4.415781103e+01 4.839403189e+01
4.148296593e+02 4.417478891e+01 4.841366008e+01
4.166332665e+02 4.419162229e+01 4.843311543e+01
4.184368737e+02 4.420831315e+01 4.845240038e+01
4.202404810e+02 4.422486344e+01 4.847151731e+01
4.220440882e+02 4.424127507e+01 4.849046855e+01
4.238476954e+02 4.425754990e+01 4.850925639e+01
4.256513026e+02 4.427368977e+01 4.852788307e+01
4.274549098e+02 4.428969649e+01 4.854635081e+01
4.292585170e+02 4.430557184e+01 4.856466177e+01
4.310621242e+02 4.432131753e+01 4.858281806e+01
4.328657315e+02 4.433693526e+01 4.860082175e+01
4.346693387e+02 4.435242673e+01 4.861867491e+01
4.364729459e+02 4.436779358e+01 4.863637955e+01
4.382765531e+02 4.438303742e+01 4.865393762e+01
4.400801603e+02 4.439815984e+01 4.867135108e+01
4.418837675e+02 4.441316240e+01 4.868862182e+01
4.436873747e+02 4.442804663e+01 4.870575170e+01
4.454909820e+02 4.444281404e+01 4.872274257e+01
4.472945892e+02 4.445746610e+01 4.873959623e+01
4.490981964e+02 4.447200427e+01 4.875631443e+01
4.509018036e+02 4.448642997e+01 4.877289893e+01
4.527054108e+02 4.450074461e+01 4.878935143e+01
4.545090180e+02 4.451494957e+01 4.880567360e+01
4.563126253e+02 4.452904620e+01 4.882186710e+01
4.581162325e+02 4.454303583e+01 4.883793354e+01
4.599198397e+02 4.455691978e+01 4.885387452e+01
4.617234469e+02 4.457069933e+01 4.886969159e+01
4.635270541e+02 4.458437574e+01 4.888538631e+01
4.653306613e+02 4.459795027e+01 4.890096018e+01
4.671342685e+02 4.461142414e+01 4.891641469e+01
4.689378758e+02 4.462479857e+01 4.893175132e+01
4.707414830e+02 4.463807471e+01 4.894697148e+01
4.725450902e+02 4.465125376e+01 4.896207660e+01
4.743486974e+02 4.466433684e+01 4.897706807e+01
4.761523046e+02 4.467732510e+01 4.899194725e+01
4.779559118e+02 4.469021963e+01 4.900671548e+01
4.797595190e+02 4.470302153e+01 4.902137409e+01
4.815631263e+02 4.471573188e+01 4.903592438e+01
4.833667335e+02 4.472835173e+01 4.905036763e+01
4.851703407e+02 4.474088211e+01 4.906470510e+01
4.869739479e+02 4.475332407e+01 4.907893802e+01
4.887775551e+02 4.476567860e+01 4.909306763e+01
4.905811623e+02 4.477794670e+01 4.910709511e+01
4.923847695e+02 4.479012934e+01 4.912102166e+01
4.941883768e+02 4.480222748e+01 4.913484842e+01
4.959919840e+02 4.481424208e+01 4.914857655e+01
4.977955912e+02 4.482617406e+01 4.916220717e+01
4.995991984e+02 4.483802434e+01 4.917574139e+01
5.014028056e+02 4.484979382e+01 4.918918030e+01
5.032064128e+02 4.486148340e+01 4.920252498e+01
5.050100200e+02 4.487309395e+01 4.921577648e+01
5.068136273e+02 4.488462633e+01 4.922893584e+01
5.086172345e+02 4.489608140e+01 4.924200409e+01
5.104208417e+02 4.490745999e+01 4.925498224e+01
5.122244489e+02 4.491876293e+01 4.926787128e+01
5.140280561e+02 4.492999102e+01 4.928067220e+01
5.158316633e+02 4.494114508e+01 4.929338596e+01
5.176352705e+02 4.495222589e+01 4.930601350e+01
5.194388778e+02 4.496323423e+01 4.931855577e+01
5.212424850e+02 4.497417086e+01 4.933101369e+01
5.230460922e+02 4.498503654e+01 4.934338816e+01
5.248496994e+02 4.499583201e+01 4.935568009e+01
5.266533066e+02 4.500655801e+01 4.936789034e+01
5.284569138e+02 4.501721526e+01 4.938001980e+01
5.302605210e+02 4.502780447e+01 4.939206933e+01
5.320641283e+02 4.503832635e+01 4.940403975e+01
5.338677355e+02 4.504878158e+01 4.941593192e+01
5.356713427e+02 4.505917086e+01 4.942774664e+01
5.374749499e+02 4.506949485e+01 4.943948473e+01
5.392785571e+02 4.507975422e+01 4.945114698e+01
5.410821643e+02 4.508994962e+01 4.946273418e+01
5.428857715e+02 4.510008170e+01 4.947424710e+01
5.446893788e+02 4.511015109e+01 4.948568651e+01
5.464929860e+02 4.512015842e+01 4.949705316e+01
5.482965932e+02 4.513010432e+01 4.950834779e+01
5.501002004e+02 4.513998939e+01 4.951957115e+01
5.519038076e+02 4.514981424e+01 4.953072393e+01
5.537074148e+02 4.515957944e+01 4.954180685e+01
5.555110220e+02 4.516928559e+01 4.955282061e+01
5.573146293e+02 4.517893327e+01 4.956376591e+01
5.591182365e+02 4.518852305e+01 4.957464343e+01
5.609218437e+02 4.519805549e+01 4.958545384e+01
5.627254509e+02 4.520753114e+01 4.959619781e+01
5.645290581e+02 4.521695056e+01 4.960687599e+01
5.663326653e+02 4.522631428e+01 4.961748904e+01
5.681362725e+02 4.523562283e+01 4.962803758e+01
5.699398798e+02 4.524487676e+01 4.963852225e+01
5.717434870e+02 4.525407656e+01 4.964894366e+01
5.735470942e+02 4.526322275e+01 4.965930244e+01
5.753507014e+02 4.527231585e+01 4.966959918e+01
5.771543086e+02 4.528135634e+01 4.967983447e+01
5.789579158e+02 4.529034473e+01 4.969000892e+01
5.807615230e+02 4.529928150e+01 4.970012310e+01
5.825651303e+02 4.530816712e+01 4.971017757e+01
5.843687375e+02 4.531700208e+01 4.972017292e+01
5.861723447e+02 4.532578684e+01 4.973010970e+01
5.879759519e+02 4.533452187e+01 4.973998845e+01
5.897795591e+02 4.534320761e+01 4.974980973e+01
5.915831663e+02 4.535184452e+01 4.975957405e+01
5.933867735e+02 4.536043304e+01 4.976928197e+01
5.951903808e+02 4.536897362e+01 4.977893400e+01
5.969939880e+02 4.537746668e+01 4.978853066e+01
5.987975952e+02 4.538591266e+01 4.979807246e+01
6.006012024e+02 4.539431198e+01 4.980755990e+01
6.024048096e+02 4.540266504e+01 4.981699348e+01
6.042084168e+02 4.541097228e+01 4.982637370e+01
6.060120240e+02 4.541923409e+01 4.983570103e+01
6.078156313e+02 4.542745088e+01 4.984497595e+01
6.096192385e+02 4.543562305e+01 4.985419895e+01
6.114228457e+02 4.544375098e+01 4.986337048e+01
6.132264529e+02 4.545183507e+01 4.987249100e+01
6.150300601e+02 4.545987569e+01 4.988156098e+01
6.168336673e+02 4.546787324e+01 4.989058086e+01
6.186372745e+02 4.547582807e+01 4.989955108e+01
