time            C               B              
1.531062124e+04 3.974452612e+00 8.483634750e+01
1.535070140e+04 3.974538624e+00 8.488484756e+01
1.539078156e+04 3.974624246e+00 8.493314233e+01
1.543086172e+04 3.974709480e+00 8.498123300e+01
1.547094188e+04 3.974794329e+00 8.502912078e+01
1.551102204e+04 3.974878796e+00 8.507680686e+01
1.555110220e+04 3.974962882e+00 8.512429240e+01
1.559118236e+04 3.975046591e+00 8.517157857e+01
1.563126253e+04 3.975129924e+00 8.521866654e+01
1.567134269e+04 3.975212883e+00 8.526555744e+01
1.571142285e+04 3.975295472e+00 8.531225244e+01
1.575150301e+04 3.975377692e+00 8.535875265e+01
1.579158317e+04 3.975459545e+00 8.540505920e+01
1.583166333e+04 3.975541035e+00 8.545117321e+01
1.587174349e+04 3.975622163e+00 8.549709578e+01
1.591182365e+04 3.975702931e+00 8.554282800e+01
1.595190381e+04 3.975783341e+00 8.558837096e+01
1.599198397e+04 3.975863397e+00 8.563372575e+01
1.603206413e+04 3.975943099e+00 8.567889344e+01
1.607214429e+04 3.976022450e+00 8.572387510e+01
1.611222445e+04 3.976101452e+00 8.576867177e+01
1.615230461e+04 3.976180108e+00 8.581328451e+01
1.619238477e+04 3.976258419e+00 8.585771436e+01
1.623246493e+04 3.976336388e+00 8.590196234e+01
1.627254509e+04 3.976414016e+00 8.594602948e+01
1.631262525e+04 3.976491306e+00 8.598991680e+01
1.635270541e+04 3.976568259e+00 8.603362531e+01
1.639278557e+04 3.976644878e+00 8.607715601e+01
1.643286573e+04 3.976721164e+00 8.612050989e+01
1.647294589e+04 3.976797121e+00 8.616368794e+01
1.651302605e+04 3.976872748e+00 8.620669113e+01
1.655310621e+04 3.976948050e+00 8.624952045e+01
1.659318637e+04 3.977023026e+00 8.629217684e+01
1.663326653e+04 3.977097680e+00 8.633466128e+01
1.667334669e+04 3.977172014e+00 8.637697470e+01
1.671342685e+04 3.977246028e+00 8.641911806e+01
1.675350701e+04 3.977319726e+00 8.646109229e+01
1.679358717e+04 3.977393109e+00 8.650289832e+01
1.683366733e+04 3.977466178e+00 8.654453707e+01
1.687374749e+04 3.977538936e+00 8.658600946e+01
1.691382766e+04 3.977611384e+00 8.662731638e+01
1.695390782e+04 3.977683525e+00 8.666845876e+01
1.699398798e+04 3.977755359e+00 8.670943748e+01
1.703406814e+04 3.977826889e+00 8.675025343e+01
1.707414830e+04 3.977898117e+00 8.679090749e+01
1.711422846e+04 3.977969045e+00 8.683140055e+01
1.715430862e+04 3.978039673e+00 8.687173347e+01
1.719438878e+04 3.978110004e+00 8.691190711e+01
1.723446894e+04 3.978180039e+00 8.695192234e+01
1.727454910e+04 3.978249781e+00 8.699177999e+01
1.731462926e+04 3.978319230e+00 8.703148092e+01
1.735470942e+04 3.978388389e+00 8.707102597e+01
1.739478958e+04 3.978457259e+00 8.711041597e+01
1.743486974e+04 3.978525842e+00 8.714965175e+01
1.747494990e+04 3.978594140e+00 8.718873413e+01
1.751503006e+04 3.978662153e+00 8.722766392e+01
1.755511022e+04 3.978729884e+00 8.726644194e+01
1.759519038e+04 3.978797335e+00 8.730506898e+01
1.763527054e+04 3.978864506e+00 8.734354584e+01
1.767535070e+04 3.978931400e+00 8.738187332e+01
1.771543086e+04 3.978998018e+00 8.742005221e+01
1.775551102e+04 3.979064361e+00 8.745808328e+01
1.779559118e+04 3.979130432e+00 8.749596732e+01
1.783567134e+04 3.979196231e+00 8.753370509e+01
1.787575150e+04 3.979261760e+00 8.757129735e+01
1.791583166e+04 3.979327021e+00 8.760874487e+01
1.795591182e+04 3.979392015e+00 8.764604840e+01
1.799599198e+04 3.979456744e+00 8.768320869e+01
1.803607214e+04 3.979521208e+00 8.772022649e+01
1.807615230e+04 3.979585411e+00 8.775710253e+01
1.811623246e+04 3.979649351e+00 8.779383755e+01
1.815631263e+04 3.979713033e+00 8.783043227e+01
1.819639279e+04 3.979776456e+00 8.786688743e+01
1.823647295e+04 3.979839623e+00 8.790320372e+01
1.827655311e+04 3.979902534e+00 8.793938188e+01
1.831663327e+04 3.979965192e+00 8.797542261e+01
1.835671343e+04 3.980027598e+00 8.801132661e+01
1.839679359e+04 3.980089752e+00 8.804709458e+01
1.843687375e+04 3.980151657e+00 8.808272722e+01
1.847695391e+04 3.980213314e+00 8.811822522e+01
1.851703407e+04 3.980274723e+00 8.815358927e+01
1.855711423e+04 3.980335888e+00 8.818882003e+01
1.859719439e+04 3.980396807e+00 8.822391819e+01
1.863727455e+04 3.980457482e+00 8.825888443e+01
1.867735471e+04 3.980517915e+00 8.829371939e+01
1.871743487e+04 3.980578108e+00 8.832842376e+01
1.875751503e+04 3.980638061e+00 8.836299818e+01
1.879759519e+04 3.980697775e+00 8.839744332e+01
1.883767535e+04 3.980757252e+00 8.843175981e+01
1.887775551e+04 3.980816492e+00 8.846594831e+01
1.891783567e+04 3.980875497e+00 8.850000946e+01
1.895791583e+04 3.980934271e+00 8.853394389e+01
1.899799599e+04 3.980992815e+00 8.856775222e+01
1.903807615e+04 3.981051128e+00 8.860143508e+01
1.907815631e+04 3.981109213e+00 8.863499312e+01
1.911823647e+04 3.981167071e+00 8.866842693e+01
1.915831663e+04 3.981224703e+00 8.870173714e+01
1.919839679e+04 3.981282111e+00 8.873492436e+01
1.923847695e+04 3.981339296e+00 8.876798919e+01
1.927855711e+04 3.981396261e+00 8.880093224e+01
1.931863727e+04 3.981453004e+00 8.883375411e+01
1.935871743e+04 3.981509524e+00 8.886645539e+01
1.939879760e+04 3.981565823e+00 8.889903668e+01
1.943887776e+04 3.981621903e+00 8.893149855e+01
1.947895792e+04 3.981677764e+00 8.896384161e+01
1.951903808e+04 3.981733406e+00 8.899606642e+01
1.955911824e+04 3.981788830e+00 8.902817356e+01
1.959919840e+04 3.981844036e+00 8.906016361e+01
1.963927856e+04 3.981899034e+00 8.909203713e+01
1.967935872e+04 3.981953825e+00 8.912379470e+01
1.971943888e+04 3.982008404e+00 8.915543686e+01
1.975951904e+04 3.982062772e+00 8.918696417e+01
1.979959920e+04 3.982116932e+00 8.921837720e+01
1.983967936e+04 3.982170884e+00 8.924967650e+01
1.987975952e+04 3.982224630e+00 8.928086260e+01
1.991983968e+04 3.982278172e+00 8.931193605e+01
1.995991984e+04 3.982331508e+00 8.934289740e+01
2.000000000e+04 3.982384642e+00 8.937374717e+01
