time            Cj              shCj           
1.563126253e+02 1.634561210e+00 2.527596749e-01
1.583166333e+02 1.632683582e+00 2.508907899e-01
1.603206413e+02 1.630821964e+00 2.490378387e-01
1.623246493e+02 1.628976190e+00 2.472006571e-01
1.643286573e+02 1.627146097e+00 2.453790820e-01
1.663326653e+02 1.625331509e+00 2.435729405e-01
1.683366733e+02 1.623532277e+00 2.417820830e-01
1.703406814e+02 1.621748237e+00 2.400063463e-01
1.723446894e+02 1.619979231e+00 2.382455746e-01
1.743486974e+02 1.618225105e+00 2.364996135e-01
1.763527054e+02 1.616485706e+00 2.347683109e-01
1.783567134e+02 1.614760884e+00 2.330515178e-01
1.803607214e+02 1.613050490e+00 2.313490855e-01
1.823647295e+02 1.611354374e+00 2.296608661e-01
1.843687375e+02 1.609672394e+00 2.279867159e-01
1.863727455e+02 1.608004406e+00 2.263264932e-01
1.883767535e+02 1.606350270e+00 2.246800588e-01
1.903807615e+02 1.604709846e+00 2.230472720e-01
1.923847695e+02 1.603082994e+00 2.214279949e-01
1.943887776e+02 1.601469578e+00 2.198220922e-01
1.963927856e+02 1.599869465e+00 2.182294302e-01
1.983967936e+02 1.598282521e+00 2.166498768e-01
2.004008016e+02 1.596708615e+00 2.150833010e-01
2.024048096e+02 1.595147618e+00 2.135295740e-01
2.044088176e+02 1.593599400e+00 2.119885688e-01
2.064128257e+02 1.592063838e+00 2.104601600e-01
2.084168337e+02 1.590540805e+00 2.089442227e-01
2.104208417e+02 1.589030178e+00 2.074406348e-01
2.124248497e+02 1.587531837e+00 2.059492752e-01
2.144288577e+02 1.586045661e+00 2.044700245e-01
2.164328657e+02 1.584571532e+00 2.030027647e-01
2.184368737e+02 1.583109332e+00 2.015473787e-01
2.204408818e+02 1.581658946e+00 2.001037511e-01
2.224448898e+02 1.580220259e+00 1.986717684e-01
2.244488978e+02 1.578793159e+00 1.972513181e-01
2.264529058e+02 1.577377534e+00 1.958422893e-01
2.284569138e+02 1.575973274e+00 1.944445724e-01
2.304609218e+02 1.574580271e+00 1.930580589e-01
2.324649299e+02 1.573198415e+00 1.916826414e-01
2.344689379e+02 1.571827600e+00 1.903182137e-01
2.364729459e+02 1.570467719e+00 1.889646710e-01
2.384769539e+02 1.569118669e+00 1.876219095e-01
2.404809619e+02 1.567780344e+00 1.862898263e-01
2.424849699e+02 1.566452643e+00 1.849683197e-01
2.444889780e+02 1.565135464e+00 1.836572893e-01
2.464929860e+02 1.563828713e+00 1.823566382e-01
2.484969940e+02 1.562532303e+00 1.810662734e-01
2.505010020e+02 1.561246129e+00 1.797860951e-01
2.525050100e+02 1.559970087e+00 1.785160055e-01
2.545090180e+02 1.558704087e+00 1.772559124e-01
2.565130261e+02 1.557448039e+00 1.760057231e-01
2.585170341e+02 1.556201850e+00 1.747653460e-01
2.605210421e+02 1.554965426e+00 1.735346890e-01
2.625250501e+02 1.553738675e+00 1.723136620e-01
2.645290581e+02 1.552521511e+00 1.711021768e-01
2.665330661e+02 1.551313845e+00 1.699001455e-01
2.685370741e+02 1.550115591e+00 1.687074818e-01
2.705410822e+02 1.548926662e+00 1.675240992e-01
2.725450902e+02 1.547746971e+00 1.663499125e-01
2.745490982e+02 1.546576434e+00 1.651848378e-01
2.765531062e+02 1.545414969e+00 1.640287922e-01
2.785571142e+02 1.544262492e+00 1.628816937e-01
2.805611222e+02 1.543118922e+00 1.617434612e-01
2.825651303e+02 1.541984180e+00 1.606140146e-01
2.845691383e+02 1.540858184e+00 1.594932743e-01
2.865731463e+02 1.539740857e+00 1.583811622e-01
2.885771543e+02 1.538632119e+00 1.572775999e-01
2.905811623e+02 1.537531895e+00 1.561825113e-01
2.925851703e+02 1.536440107e+00 1.550958202e-01
2.945891784e+02 1.535356681e+00 1.540174513e-01
2.965931864e+02 1.534281541e+00 1.529473308e-01
2.985971944e+02 1.533214614e+00 1.518853849e-01
3.006012024e+02 1.532155827e+00 1.508315406e-01
3.026052104e+02 1.531105107e+00 1.497857264e-01
3.046092184e+02 1.530062383e+00 1.487478711e-01
3.066132265e+02 1.529027584e+00 1.477179044e-01
3.086172345e+02 1.528000641e+00 1.466957565e-01
3.106212425e+02 1.526981484e+00 1.456813585e-01
3.126252505e+02 1.525970045e+00 1.446746427e-01
3.146292585e+02 1.524966256e+00 1.436755418e-01
3.166332665e+02 1.523970050e+00 1.426839883e-01
3.186372745e+02 1.522981360e+00 1.416999165e-01
3.206412826e+02 1.522000122e+00 1.407232617e-01
3.226452906e+02 1.521026272e+00 1.397539597e-01
3.246492986e+02 1.520059744e+00 1.387919472e-01
3.266533066e+02 1.519100477e+00 1.378371601e-01
3.286573146e+02 1.518148405e+00 1.368895358e-01
3.306613226e+02 1.517203467e+00 1.359490124e-01
3.326653307e+02 1.516265603e+00 1.350155288e-01
3.346693387e+02 1.515334750e+00 1.340890245e-01
3.366733467e+02 1.514410848e+00 1.331694394e-01
3.386773547e+02 1.513493839e+00 1.322567140e-01
3.406813627e+02 1.512583662e+00 1.313507897e-01
3.426853707e+02 1.511680260e+00 1.304516083e-01
3.446893788e+02 1.510783575e+00 1.295591125e-01
3.466933868e+02 1.509893549e+00 1.286732454e-01
3.486973948e+02 1.509010126e+00 1.277939501e-01
3.507014028e+02 1.508133249e+00 1.269211713e-01
3.527054108e+02 1.507262864e+00 1.260548536e-01
3.547094188e+02 1.506398915e+00 1.251949425e-01
3.567134269e+02 1.505541349e+00 1.243413840e-01
3.587174349e+02 1.504690110e+00 1.234941244e-01
3.607214429e+02 1.503845147e+00 1.226531106e-01
3.627254509e+02 1.503006406e+00 1.218182902e-01
3.647294589e+02 1.502173835e+00 1.209896113e-01
3.667334669e+02 1.501347383e+00 1.201670226e-01
3.687374749e+02 1.500526999e+00 1.193504733e-01
3.707414830e+02 1.499712631e+00 1.185399131e-01
3.727454910e+02 1.498904231e+00 1.177352922e-01
3.747494990e+02 1.498101748e+00 1.169365612e-01
3.767535070e+02 1.497305134e+00 1.161436714e-01
3.787575150e+02 1.496514340e+00 1.153565741e-01
3.807615230e+02 1.495729317e+00 1.145752217e-01
3.827655311e+02 1.494950019e+00 1.137995665e-01
