time            Ap              Br              Cj              Aq              Bs              Ck             
8.066132265e+03 1.990494802e+00 6.268236548e+00 2.513456541e+00 1.993200710e+00 6.275690357e+00 2.505105352e+00
8.136272545e+03 1.819365403e+00 6.146988390e+00 2.808145815e+00 1.821345121e+00 6.155759955e+00 2.798917989e+00
8.206412826e+03 1.684057195e+00 5.955754644e+00 3.136406499e+00 1.685352176e+00 5.965446091e+00 3.126489664e+00
8.276553106e+03 1.582389422e+00 5.702546380e+00 3.492779327e+00 1.583029118e+00 5.712763935e+00 3.482453119e+00
8.346693387e+03 1.512325945e+00 5.397769282e+00 3.869295691e+00 1.512325245e+00 5.408146057e+00 3.858928037e+00
8.416833667e+03 1.472223787e+00 5.053736057e+00 4.255638491e+00 1.471581636e+00 5.063949209e+00 4.245667311e+00
8.486973948e+03 1.460987039e+00 4.683938839e+00 4.639644998e+00 1.459686085e+00 4.693720818e+00 4.630545534e+00
8.557114228e+03 1.478142176e+00 4.302137936e+00 5.008095547e+00 1.476149450e+00 4.311281851e+00 5.000337290e+00
8.627254509e+03 1.523846553e+00 3.921396336e+00 5.347658719e+00 1.521115349e+00 3.929755840e+00 5.341659078e+00
8.697394790e+03 1.598835400e+00 3.553221912e+00 5.645828010e+00 1.595308667e+00 3.560706452e+00 5.641911056e+00
8.767535070e+03 1.704305851e+00 3.206956608e+00 5.891704922e+00 1.699921569e+00 3.213523263e+00 5.890072228e+00
8.837675351e+03 1.841731759e+00 2.889486999e+00 6.076545344e+00 1.836430763e+00 2.895130332e+00 6.077262748e+00
8.907815631e+03 2.012601787e+00 2.605272008e+00 6.194065042e+00 2.006338425e+00 2.610013319e+00 6.197065404e+00
8.977955912e+03 2.218077747e+00 2.356621563e+00 6.240560599e+00 2.210833402e+00 2.360498634e+00 6.245659623e+00
9.048096192e+03 2.458582040e+00 2.144129269e+00 6.214926107e+00 2.450380877e+00 2.147187361e+00 6.221846762e+00
9.118236473e+03 2.733342557e+00 1.967163233e+00 6.118629960e+00 2.724267973e+00 1.969447680e+00 6.127031011e+00
9.188376754e+03 3.039947703e+00 1.824340260e+00 5.955673273e+00 3.030156807e+00 1.825890741e+00 5.965178247e+00
9.258517034e+03 3.373988559e+00 1.713936545e+00 5.732502060e+00 3.363721206e+00 1.714782899e+00 5.742726106e+00
9.328657315e+03 3.728873359e+00 1.634214336e+00 5.457812125e+00 3.718451963e+00 1.634373733e+00 5.468385222e+00
9.398797595e+03 4.095891245e+00 1.583661359e+00 5.142181101e+00 4.085708542e+00 1.583136619e+00 5.152766639e+00
9.468937876e+03 4.464559673e+00 1.561150477e+00 4.797497416e+00 4.455053735e+00 1.559929407e+00 4.807805630e+00
9.539078156e+03 4.823231940e+00 1.566029734e+00 4.436212435e+00 4.814850751e+00 1.564085462e+00 4.446008452e+00
9.609218437e+03 5.159875766e+00 1.598153194e+00 4.070506797e+00 5.153036486e+00 1.595445581e+00 4.079613411e+00
9.679358717e+03 5.462897764e+00 1.657857284e+00 3.711496199e+00 5.457947555e+00 1.654335629e+00 3.719791907e+00
9.749498998e+03 5.721881977e+00 1.745885647e+00 3.368603075e+00 5.719066917e+00 1.741492993e+00 3.376016312e+00
9.819639279e+03 5.928153403e+00 1.863259797e+00 3.049176310e+00 5.927600036e+00 1.857939167e+00 3.055677107e+00
9.889779559e+03 6.075128731e+00 2.011093261e+00 2.758386152e+00 6.076839751e+00 2.004796156e+00 2.763976491e+00
9.959919840e+03 6.158479744e+00 2.190347029e+00 2.499359084e+00 6.162342478e+00 2.183044252e+00 2.504063103e+00
1.003006012e+04 6.176164517e+00 2.401531251e+00 2.273484157e+00 6.181968947e+00 2.393225786e+00 2.277339079e+00
1.010020040e+04 6.128387570e+00 2.644368513e+00 2.080809960e+00 6.135849990e+00 2.635109560e+00 2.083858272e+00
1.017034068e+04 6.017529339e+00 2.917448544e+00 1.920461002e+00 6.026318049e+00 2.907345080e+00 1.922744118e+00
1.024048096e+04 5.848051964e+00 3.217919787e+00 1.791022069e+00 5.857812254e+00 3.207151277e+00 1.792575469e+00
1.031062124e+04 5.626356404e+00 3.541274489e+00 1.690861874e+00 5.636733014e+00 3.530095942e+00 1.691711593e+00
1.038076152e+04 5.360551691e+00 3.881282170e+00 1.618384815e+00 5.371207673e+00 3.870020873e+00 1.618545081e+00
1.045090180e+04 5.060099194e+00 4.230113865e+00 1.572212545e+00 5.070730583e+00 4.219156096e+00 1.571684403e+00
1.052104208e+04 4.735325453e+00 4.578665008e+00 1.551302633e+00 4.745671511e+00 4.568432807e+00 1.550073429e+00
1.059118236e+04 4.396831165e+00 4.917048356e+00 1.555014111e+00 4.406680177e+00 4.907968583e+00 1.553057788e+00
1.066132265e+04 4.054867048e+00 5.235185708e+00 1.583127374e+00 4.064057923e+00 5.227655556e+00 1.580405651e+00
1.073146293e+04 3.718756262e+00 5.523414453e+00 1.635824570e+00 3.727176478e+00 5.517768546e+00 1.632289139e+00
1.080160321e+04 3.396444311e+00 5.773023830e+00 1.713632273e+00 3.404024967e+00 5.769507787e+00 1.709228231e+00
1.087174349e+04 3.094227154e+00 5.976663071e+00 1.817326372e+00 3.100936070e+00 5.975416941e+00 1.811997163e+00
1.094188377e+04 2.816671017e+00 6.128601437e+00 1.947797190e+00 2.822504816e+00 6.129654284e+00 1.941491293e+00
1.101202405e+04 2.566702305e+00 6.224854844e+00 2.105873735e+00 2.571678347e+00 6.228129752e+00 2.098553234e+00
1.108216433e+04 2.345822716e+00 6.263216588e+00 2.292108886e+00 2.349971514e+00 6.268543881e+00 2.283759826e+00
1.115230461e+04 2.154396545e+00 6.243234302e+00 2.506533329e+00 2.157755096e+00 6.250370110e+00 2.497177366e+00
1.122244489e+04 1.991961431e+00 6.166164630e+00 2.748394610e+00 1.994567663e+00 6.174812046e+00 2.738101004e+00
1.129258517e+04 1.857525456e+00 6.034917122e+00 3.015907391e+00 1.859413825e+00 6.044747610e+00 3.004803772e+00
1.136272545e+04 1.749826843e+00 5.853976962e+00 3.306050002e+00 1.751024997e+00 5.864650443e+00 3.294329974e+00
1.143286573e+04 1.667545832e+00 5.629281827e+00 3.614445725e+00 1.668072228e+00 5.640464342e+00 3.602371114e+00
1.150300601e+04 1.609466196e+00 5.368023590e+00 3.935362966e+00 1.609328527e+00 5.379401946e+00 3.923258873e+00
1.157314629e+04 1.574590013e+00 5.078356254e+00 4.261855315e+00 1.573784332e+00 5.089649297e+00 4.250097007e+00
1.164328657e+04 1.562210956e+00 4.769012923e+00 4.586038832e+00 1.560721454e+00 4.779979296e+00 4.575030833e+00
1.171342685e+04 1.571952082e+00 4.448858399e+00 4.899479892e+00 1.569751516e+00 4.459300805e+00 4.889629216e+00
