time            Cj              Ck              Br              Bs              Ap              Aq             
2.324649299e+03 1.088529427e+00 1.080447959e+00 4.286642088e+00 4.292008993e+00 2.230381431e+00 2.216439450e+00
2.344689379e+03 1.148610399e+00 1.139171503e+00 4.423727290e+00 4.425424771e+00 2.056123659e+00 2.043554930e+00
2.364729459e+03 1.220820972e+00 1.209939153e+00 4.535822377e+00 4.533789288e+00 1.894097213e+00 1.882885102e+00
2.384769539e+03 1.305740183e+00 1.293336447e+00 4.620787428e+00 4.615076639e+00 1.745268402e+00 1.735376991e+00
2.404809619e+03 1.403929022e+00 1.389938101e+00 4.677060894e+00 4.667831131e+00 1.610154809e+00 1.601535107e+00
2.424849699e+03 1.515876780e+00 1.500255723e+00 4.703673148e+00 4.691176018e+00 1.488900550e+00 1.481496062e+00
2.444889780e+03 1.641938928e+00 1.624676899e+00 4.700248918e+00 4.684812704e+00 1.381357048e+00 1.375108582e+00
2.464929860e+03 1.782268099e+00 1.763396986e+00 4.667003709e+00 4.649015420e+00 1.287162563e+00 1.282012266e+00
2.484969940e+03 1.936741230e+00 1.916346450e+00 4.604736634e+00 4.584623587e+00 1.205815705e+00 1.201710335e+00
2.505010020e+03 2.104887380e+00 2.083117943e+00 4.514818807e+00 4.493030727e+00 1.136739963e+00 1.133633488e+00
2.525050100e+03 2.285822419e+00 2.262899116e+00 4.399173863e+00 4.376166215e+00 1.079338013e+00 1.077193624e+00
2.545090180e+03 2.478197535e+00 2.454417920e+00 4.260245017e+00 4.236464066e+00 1.033035680e+00 1.031827301e+00
2.565130261e+03 2.680169102e+00 2.655907981e+00 4.100943178e+00 4.076813095e+00 9.973162600e-01 9.970296565e-01
2.585170341e+03 2.889396261e+00 2.865100605e+00 3.924571955e+00 3.900484200e+00 9.717463131e-01 9.723798598e-01
2.605210421e+03 3.103070707e+00 3.079248372e+00 3.734728520e+00 3.711033647e+00 9.559941798e-01 9.575593344e-01
2.625250501e+03 3.317979804e+00 3.295182110e+00 3.535183292e+00 3.512185242e+00 9.498423813e-01 9.523638805e-01
2.645290581e+03 3.530600139e+00 3.509399144e+00 3.329745539e+00 3.307698411e+00 9.531948882e-01 9.567106611e-01
2.665330661e+03 3.737215006e+00 3.718177086e+00 3.122125098e+00 3.101232300e+00 9.660799308e-01 9.706406717e-01
2.685370741e+03 3.934045893e+00 3.917703811e+00 2.915801946e+00 2.896217508e+00 9.886486632e-01 9.943170010e-01
2.705410822e+03 4.117386969e+00 4.104212905e+00 2.713914713e+00 2.695746452e+00 1.021169741e+00 1.028018882e+00
2.725450902e+03 4.283731649e+00 4.274113591e+00 2.519176792e+00 2.502490926e+00 1.064019441e+00 1.072131154e+00
2.745490982e+03 4.429882654e+00 4.424106098e+00 2.333825036e+00 2.318651824e+00 1.117666738e+00 1.127128504e+00
2.765531062e+03 4.553040278e+00 4.551276502e+00 2.159601813e+00 2.145941769e+00 1.182652491e+00 1.193553653e+00
2.785571142e+03 4.650867461e+00 4.653168861e+00 1.997767494e+00 1.985597778e+00 1.259561829e+00 1.271988552e+00
2.805611222e+03 4.721533555e+00 4.727835749e+00 1.849137864e+00 1.838418504e+00 1.348988800e+00 1.363017725e+00
2.825651303e+03 4.763741089e+00 4.773870938e+00 1.714139340e+00 1.704819026e+00 1.451492695e+00 1.467183200e+00
2.845691383e+03 4.776740695e+00 4.790428966e+00 1.592874686e+00 1.584895985e+00 1.567545873e+00 1.584931017e+00
2.865731463e+03 4.760338765e+00 4.777236091e+00 1.485192802e+00 1.478496681e+00 1.697473795e+00 1.716550170e+00
