time            Cj              shCj            Ck              shCk           
1.142284569e+02 2.056618615e-01 2.056618615e-01 2.056618615e-01 2.056618615e-01
1.148296593e+02 2.054998948e-01 2.054998948e-01 2.054998948e-01 2.054998948e-01
1.154308617e+02 2.053381832e-01 2.053381832e-01 2.053381832e-01 2.053381832e-01
1.160320641e+02 2.051767260e-01 2.051767260e-01 2.051767260e-01 2.051767260e-01
1.166332665e+02 2.050155228e-01 2.050155228e-01 2.050155228e-01 2.050155228e-01
1.172344689e+02 2.048545728e-01 2.048545728e-01 2.048545728e-01 2.048545728e-01
1.178356713e+02 2.046938755e-01 2.046938755e-01 2.046938755e-01 2.046938755e-01
1.184368737e+02 2.045334304e-01 2.045334304e-01 2.045334304e-01 2.045334304e-01
1.190380762e+02 2.043732368e-01 2.043732368e-01 2.043732368e-01 2.043732368e-01
1.196392786e+02 2.042132940e-01 2.042132940e-01 2.042132940e-01 2.042132940e-01
1.202404810e+02 2.040536017e-01 2.040536017e-01 2.040536017e-01 2.040536017e-01
1.208416834e+02 2.038941591e-01 2.038941591e-01 2.038941591e-01 2.038941591e-01
1.214428858e+02 2.037349657e-01 2.037349657e-01 2.037349657e-01 2.037349657e-01
1.220440882e+02 2.035760209e-01 2.035760209e-01 2.035760209e-01 2.035760209e-01
1.226452906e+02 2.034173242e-01 2.034173242e-01 2.034173242e-01 2.034173242e-01
1.232464930e+02 2.032588749e-01 2.032588749e-01 2.032588749e-01 2.032588749e-01
1.238476954e+02 2.031006726e-01 2.031006726e-01 2.031006726e-01 2.031006726e-01
1.244488978e+02 2.029427165e-01 2.029427165e-01 2.029427165e-01 2.029427165e-01
1.250501002e+02 2.027850061e-01 2.027850061e-01 2.027850061e-01 2.027850061e-01
1.256513026e+02 2.026275409e-01 2.026275409e-01 2.026275409e-01 2.026275409e-01
1.262525050e+02 2.024703202e-01 2.024703202e-01 2.024703202e-01 2.024703202e-01
1.268537074e+02 2.023133436e-01 2.023133436e-01 2.023133436e-01 2.023133436e-01
1.274549098e+02 2.021566104e-01 2.021566104e-01 2.021566104e-01 2.021566104e-01
1.280561122e+02 2.020001200e-01 2.020001200e-01 2.020001200e-01 2.020001200e-01
1.286573146e+02 2.018438720e-01 2.018438720e-01 2.018438720e-01 2.018438720e-01
1.292585170e+02 2.016878657e-01 2.016878657e-01 2.016878657e-01 2.016878657e-01
1.298597194e+02 2.015321007e-01 2.015321007e-01 2.015321007e-01 2.015321007e-01
1.304609218e+02 2.013765762e-01 2.013765762e-01 2.013765762e-01 2.013765762e-01
1.310621242e+02 2.012212919e-01 2.012212919e-01 2.012212919e-01 2.012212919e-01
1.316633267e+02 2.010662471e-01 2.010662471e-01 2.010662471e-01 2.010662471e-01
1.322645291e+02 2.009114413e-01 2.009114413e-01 2.009114413e-01 2.009114413e-01
1.328657315e+02 2.007568739e-01 2.007568739e-01 2.007568739e-01 2.007568739e-01
1.334669339e+02 2.006025444e-01 2.006025444e-01 2.006025444e-01 2.006025444e-01
1.340681363e+02 2.004484523e-01 2.004484523e-01 2.004484523e-01 2.004484523e-01
1.346693387e+02 2.002945968e-01 2.002945968e-01 2.002945968e-01 2.002945968e-01
1.352705411e+02 2.001409775e-01 2.001409775e-01 2.001409775e-01 2.001409775e-01
1.358717435e+02 1.999875937e-01 1.999875937e-01 1.999875937e-01 1.999875937e-01
1.364729459e+02 1.998344449e-01 1.998344449e-01 1.998344449e-01 1.998344449e-01
1.370741483e+02 1.996815306e-01 1.996815306e-01 1.996815306e-01 1.996815306e-01
1.376753507e+02 1.995288501e-01 1.995288501e-01 1.995288501e-01 1.995288501e-01
1.382765531e+02 1.993764030e-01 1.993764030e-01 1.993764030e-01 1.993764030e-01
1.388777555e+02 1.992241887e-01 1.992241887e-01 1.992241887e-01 1.992241887e-01
1.394789579e+02 1.990722066e-01 1.990722066e-01 1.990722066e-01 1.990722066e-01
1.400801603e+02 1.989204562e-01 1.989204562e-01 1.989204562e-01 1.989204562e-01
1.406813627e+02 1.987689369e-01 1.987689369e-01 1.987689369e-01 1.987689369e-01
1.412825651e+02 1.986176481e-01 1.986176481e-01 1.986176481e-01 1.986176481e-01
1.418837675e+02 1.984665893e-01 1.984665893e-01 1.984665893e-01 1.984665893e-01
1.424849699e+02 1.983157601e-01 1.983157601e-01 1.983157601e-01 1.983157601e-01
1.430861723e+02 1.981651597e-01 1.981651597e-01 1.981651597e-01 1.981651597e-01
1.436873747e+02 1.980147876e-01 1.980147876e-01 1.980147876e-01 1.980147876e-01
1.442885772e+02 1.978646438e-01 1.978646438e-01 1.978646438e-01 1.978646438e-01
1.448897796e+02 1.977147281e-01 1.977147281e-01 1.977147281e-01 1.977147281e-01
1.454909820e+02 1.975650404e-01 1.975650404e-01 1.975650404e-01 1.975650404e-01
1.460921844e+02 1.974155808e-01 1.974155808e-01 1.974155808e-01 1.974155808e-01
1.466933868e+02 1.972663481e-01 1.972663481e-01 1.972663481e-01 1.972663481e-01
1.472945892e+02 1.971173413e-01 1.971173413e-01 1.971173413e-01 1.971173413e-01
1.478957916e+02 1.969685593e-01 1.969685593e-01 1.969685593e-01 1.969685593e-01
1.484969940e+02 1.968200013e-01 1.968200013e-01 1.968200013e-01 1.968200013e-01
1.490981964e+02 1.966716672e-01 1.966716672e-01 1.966716672e-01 1.966716672e-01
1.496993988e+02 1.965235563e-01 1.965235563e-01 1.965235563e-01 1.965235563e-01
1.503006012e+02 1.963756683e-01 1.963756683e-01 1.963756683e-01 1.963756683e-01
1.509018036e+02 1.962280028e-01 1.962280028e-01 1.962280028e-01 1.962280028e-01
1.515030060e+02 1.960805593e-01 1.960805593e-01 1.960805593e-01 1.960805593e-01
1.521042084e+02 1.959333375e-01 1.959333375e-01 1.959333375e-01 1.959333375e-01
1.527054108e+02 1.957863372e-01 1.957863372e-01 1.957863372e-01 1.957863372e-01
1.533066132e+02 1.956395574e-01 1.956395574e-01 1.956395574e-01 1.956395574e-01
1.539078156e+02 1.954929978e-01 1.954929978e-01 1.954929978e-01 1.954929978e-01
1.545090180e+02 1.953466578e-01 1.953466578e-01 1.953466578e-01 1.953466578e-01
1.551102204e+02 1.952005367e-01 1.952005367e-01 1.952005367e-01 1.952005367e-01
1.557114228e+02 1.950546342e-01 1.950546342e-01 1.950546342e-01 1.950546342e-01
1.563126253e+02 1.949089498e-01 1.949089498e-01 1.949089498e-01 1.949089498e-01
1.569138277e+02 1.947634829e-01 1.947634829e-01 1.947634829e-01 1.947634829e-01
1.575150301e+02 1.946182330e-01 1.946182330e-01 1.946182330e-01 1.946182330e-01
1.581162325e+02 1.944731997e-01 1.944731997e-01 1.944731997e-01 1.944731997e-01
1.587174349e+02 1.943283825e-01 1.943283825e-01 1.943283825e-01 1.943283825e-01
1.593186373e+02 1.941837811e-01 1.941837811e-01 1.941837811e-01 1.941837811e-01
1.599198397e+02 1.940393949e-01 1.940393949e-01 1.940393949e-01 1.940393949e-01
1.605210421e+02 1.938952234e-01 1.938952234e-01 1.938952234e-01 1.938952234e-01
1.611222445e+02 1.937512662e-01 1.937512662e-01 1.937512662e-01 1.937512662e-01
1.617234469e+02 1.936075228e-01 1.936075228e-01 1.936075228e-01 1.936075228e-01
1.623246493e+02 1.934639927e-01 1.934639927e-01 1.934639927e-01 1.934639927e-01
1.629258517e+02 1.933206754e-01 1.933206754e-01 1.933206754e-01 1.933206754e-01
1.635270541e+02 1.931775705e-01 1.931775705e-01 1.931775705e-01 1.931775705e-01
1.641282565e+02 1.930346774e-01 1.930346774e-01 1.930346774e-01 1.930346774e-01
1.647294589e+02 1.928919957e-01 1.928919957e-01 1.928919957e-01 1.928919957e-01
1.653306613e+02 1.927495249e-01 1.927495249e-01 1.927495249e-01 1.927495249e-01
1.659318637e+02 1.926072646e-01 1.926072646e-01 1.926072646e-01 1.926072646e-01
1.665330661e+02 1.924652142e-01 1.924652142e-01 1.924652142e-01 1.924652142e-01
1.671342685e+02 1.923233733e-01 1.923233733e-01 1.923233733e-01 1.923233733e-01
1.677354709e+02 1.921817415e-01 1.921817415e-01 1.921817415e-01 1.921817415e-01
1.683366733e+02 1.920403183e-01 1.920403183e-01 1.920403183e-01 1.920403183e-01
1.689378758e+02 1.918991032e-01 1.918991032e-01 1.918991032e-01 1.918991032e-01
1.695390782e+02 1.917580958e-01 1.917580958e-01 1.917580958e-01 1.917580958e-01
1.701402806e+02 1.916172956e-01 1.916172956e-01 1.916172956e-01 1.916172956e-01
1.707414830e+02 1.914767022e-01 1.914767022e-01 1.914767022e-01 1.914767022e-01
1.713426854e+02 1.913363151e-01 1.913363151e-01 1.913363151e-01 1.913363151e-01
1.719438878e+02 1.911961338e-01 1.911961338e-01 1.911961338e-01 1.911961338e-01
1.725450902e+02 1.910561580e-01 1.910561580e-01 1.910561580e-01 1.910561580e-01
1.731462926e+02 1.909163871e-01 1.909163871e-01 1.909163871e-01 1.909163871e-01
1.737474950e+02 1.907768207e-01 1.907768207e-01 1.907768207e-01 1.907768207e-01
1.743486974e+02 1.906374584e-01 1.906374584e-01 1.906374584e-01 1.906374584e-01
1.749498998e+02 1.904982996e-01 1.904982996e-01 1.904982996e-01 1.904982996e-01
1.755511022e+02 1.903593440e-01 1.903593440e-01 1.903593440e-01 1.903593440e-01
