time            HelperCCj       sHelperCCj      dispC          
3.311422846e+04 1.118810616e+02 1.406068652e+02 9.173513715e+00
3.331863727e+04 1.117059955e+02 1.405520804e+02 9.231412375e+00
3.352304609e+04 1.115288372e+02 1.404973329e+02 9.289376614e+00
3.372745491e+04 1.113495798e+02 1.404426228e+02 9.347393988e+00
3.393186373e+04 1.111682213e+02 1.403879500e+02 9.405452047e+00
3.413627255e+04 1.109847641e+02 1.403333145e+02 9.463538429e+00
3.434068136e+04 1.107992160e+02 1.402787162e+02 9.521640939e+00
3.454509018e+04 1.106115898e+02 1.402241551e+02 9.579747638e+00
3.474949900e+04 1.104219038e+02 1.401696312e+02 9.637846925e+00
3.495390782e+04 1.102301820e+02 1.401151443e+02 9.695927595e+00
3.515831663e+04 1.100364543e+02 1.400606945e+02 9.753978901e+00
3.536272545e+04 1.098407567e+02 1.400062818e+02 9.811990606e+00
3.556713427e+04 1.096431311e+02 1.399519059e+02 9.869953039e+00
3.577154309e+04 1.094436258e+02 1.398975670e+02 9.927857130e+00
3.597595190e+04 1.092422957e+02 1.398432650e+02 9.985694443e+00
3.618036072e+04 1.090392017e+02 1.397889998e+02 1.004345719e+01
3.638476954e+04 1.088344115e+02 1.397347714e+02 1.010113825e+01
3.658917836e+04 1.086279990e+02 1.396805797e+02 1.015873117e+01
3.679358717e+04 1.084200444e+02 1.396264247e+02 1.021623014e+01
3.699799599e+04 1.082106343e+02 1.395723064e+02 1.027363003e+01
3.720240481e+04 1.079998613e+02 1.395182246e+02 1.033092633e+01
3.740681363e+04 1.077878238e+02 1.394641794e+02 1.038811516e+01
3.761122244e+04 1.075746261e+02 1.394101707e+02 1.044519321e+01
3.781563126e+04 1.073603777e+02 1.393561985e+02 1.050215776e+01
3.802004008e+04 1.071451933e+02 1.393022627e+02 1.055900658e+01
3.822444890e+04 1.069291920e+02 1.392483632e+02 1.061573795e+01
3.842885772e+04 1.067124979e+02 1.391945000e+02 1.067235064e+01
3.863326653e+04 1.064952385e+02 1.391406731e+02 1.072884379e+01
3.883767535e+04 1.062775449e+02 1.390868825e+02 1.078521694e+01
3.904208417e+04 1.060595512e+02 1.390331280e+02 1.084146998e+01
3.924649299e+04 1.058413940e+02 1.389794096e+02 1.089760310e+01
3.945090180e+04 1.056232119e+02 1.389257273e+02 1.095361678e+01
3.965531062e+04 1.054051447e+02 1.388720811e+02 1.100951173e+01
3.985971944e+04 1.051873334e+02 1.388184708e+02 1.106528887e+01
4.006412826e+04 1.049699191e+02 1.387648965e+02 1.112094931e+01
4.026853707e+04 1.047530427e+02 1.387113581e+02 1.117649432e+01
4.047294589e+04 1.045368444e+02 1.386578555e+02 1.123192530e+01
4.067735471e+04 1.043214628e+02 1.386043888e+02 1.128724375e+01
4.088176353e+04 1.041070350e+02 1.385509577e+02 1.134245125e+01
4.108617234e+04 1.038936956e+02 1.384975624e+02 1.139754947e+01
4.129058116e+04 1.036815761e+02 1.384442028e+02 1.145254012e+01
4.149498998e+04 1.034708051e+02 1.383908788e+02 1.150742495e+01
4.169939880e+04 1.032615071e+02 1.383375904e+02 1.156220573e+01
4.190380762e+04 1.030538025e+02 1.382843374e+02 1.161688424e+01
4.210821643e+04 1.028478073e+02 1.382311200e+02 1.167146226e+01
4.231262525e+04 1.026436325e+02 1.381779380e+02 1.172594156e+01
4.251703407e+04 1.024413839e+02 1.381247914e+02 1.178032390e+01
4.272144289e+04 1.022411619e+02 1.380716801e+02 1.183461102e+01
4.292585170e+04 1.020430612e+02 1.380186042e+02 1.188880461e+01
4.313026052e+04 1.018471705e+02 1.379655635e+02 1.194290634e+01
4.333466934e+04 1.016535728e+02 1.379125580e+02 1.199691785e+01
4.353907816e+04 1.014623447e+02 1.378595876e+02 1.205084071e+01
4.374348697e+04 1.012735568e+02 1.378066524e+02 1.210467648e+01
4.394789579e+04 1.010872734e+02 1.377537522e+02 1.215842663e+01
4.415230461e+04 1.009035525e+02 1.377008871e+02 1.221209263e+01
4.435671343e+04 1.007224460e+02 1.376480569e+02 1.226567586e+01
4.456112224e+04 1.005439996e+02 1.375952617e+02 1.231917766e+01
4.476553106e+04 1.003682528e+02 1.375425014e+02 1.237259931e+01
4.496993988e+04 1.001952395e+02 1.374897759e+02 1.242594207e+01
4.517434870e+04 1.000249873e+02 1.374370852e+02 1.247920709e+01
4.537875752e+04 9.985751868e+01 1.373844292e+02 1.253239552e+01
