time            HelperCCj       sHelperCCj      LeakWasteAC    
4.680961924e+04 7.140741943e+01 1.369791542e+02 7.212426737e+00
4.701402806e+04 7.136938287e+01 1.369261321e+02 7.231163237e+00
4.721843687e+04 7.133168224e+01 1.368731363e+02 7.249888967e+00
4.742284569e+04 7.129432074e+01 1.368201664e+02 7.268604135e+00
4.762725451e+04 7.125730150e+01 1.367672223e+02 7.287308936e+00
4.783166333e+04 7.122062757e+01 1.367143034e+02 7.306003556e+00
4.803607214e+04 7.118430183e+01 1.366614096e+02 7.324688169e+00
4.824048096e+04 7.114832696e+01 1.366085404e+02 7.343362942e+00
4.844488978e+04 7.111270545e+01 1.365556954e+02 7.362028030e+00
4.864929860e+04 7.107743951e+01 1.365028744e+02 7.380683581e+00
4.885370741e+04 7.104253105e+01 1.364500770e+02 7.399329733e+00
4.905811623e+04 7.100798170e+01 1.363973028e+02 7.417966620e+00
4.926252505e+04 7.097379271e+01 1.363445514e+02 7.436594363e+00
4.946693387e+04 7.093996499e+01 1.362918224e+02 7.455213081e+00
4.967134269e+04 7.090649905e+01 1.362391155e+02 7.473822884e+00
4.987575150e+04 7.087339504e+01 1.361864302e+02 7.492423875e+00
5.008016032e+04 7.084065264e+01 1.361337662e+02 7.511016152e+00
5.028456914e+04 7.080827116e+01 1.360811231e+02 7.529599807e+00
5.048897796e+04 7.077624946e+01 1.360285005e+02 7.548174927e+00
5.069338677e+04 7.074458597e+01 1.359758979e+02 7.566741592e+00
5.089779559e+04 7.071327869e+01 1.359233150e+02 7.585299880e+00
5.110220441e+04 7.068232519e+01 1.358707514e+02 7.603849861e+00
5.130661323e+04 7.065172261e+01 1.358182066e+02 7.622391603e+00
5.151102204e+04 7.062146770e+01 1.357656803e+02 7.640925168e+00
5.171543086e+04 7.059155675e+01 1.357131720e+02 7.659450616e+00
5.191983968e+04 7.056198569e+01 1.356606814e+02 7.677968002e+00
5.212424850e+04 7.053275006e+01 1.356082080e+02 7.696477377e+00
5.232865731e+04 7.050384502e+01 1.355557514e+02 7.714978789e+00
5.253306613e+04 7.047526541e+01 1.355033114e+02 7.733472284e+00
5.273747495e+04 7.044700570e+01 1.354508874e+02 7.751957903e+00
5.294188377e+04 7.041906009e+01 1.353984791e+02 7.770435685e+00
5.314629259e+04 7.039142248e+01 1.353460862e+02 7.788905667e+00
5.335070140e+04 7.036408651e+01 1.352937083e+02 7.807367883e+00
5.355511022e+04 7.033704558e+01 1.352413451e+02 7.825822364e+00
5.375951904e+04 7.031029289e+01 1.351889962e+02 7.844269141e+00
5.396392786e+04 7.028382145e+01 1.351366613e+02 7.862708240e+00
5.416833667e+04 7.025762410e+01 1.350843401e+02 7.881139687e+00
5.437274549e+04 7.023169357e+01 1.350320323e+02 7.899563506e+00
5.457715431e+04 7.020602246e+01 1.349797378e+02 7.917979718e+00
5.478156313e+04 7.018060332e+01 1.349274561e+02 7.936388346e+00
5.498597194e+04 7.015542861e+01 1.348751872e+02 7.954789407e+00
5.519038076e+04 7.013049079e+01 1.348229308e+02 7.973182920e+00
5.539478958e+04 7.010578231e+01 1.347706867e+02 7.991568901e+00
5.559919840e+04 7.008129562e+01 1.347184548e+02 8.009947367e+00
5.580360721e+04 7.005702322e+01 1.346662348e+02 8.028318332e+00
5.600801603e+04 7.003295769e+01 1.346140268e+02 8.046681809e+00
5.621242485e+04 7.000909165e+01 1.345618307e+02 8.065037812e+00
5.641683367e+04 6.998541786e+01 1.345096463e+02 8.083386352e+00
5.662124248e+04 6.996192916e+01 1.344574736e+02 8.101727442e+00
5.682565130e+04 6.993861855e+01 1.344053126e+02 8.120061092e+00
5.703006012e+04 6.991547915e+01 1.343531633e+02 8.138387312e+00
5.723446894e+04 6.989250424e+01 1.343010258e+02 8.156706112e+00
5.743887776e+04 6.986968729e+01 1.342489001e+02 8.175017502e+00
5.764328657e+04 6.984702191e+01 1.341967863e+02 8.193321489e+00
5.784769539e+04 6.982450193e+01 1.341446845e+02 8.211618083e+00
5.805210421e+04 6.980212133e+01 1.340925948e+02 8.229907292e+00
5.825651303e+04 6.977987431e+01 1.340405174e+02 8.248189123e+00
5.846092184e+04 6.975775527e+01 1.339884524e+02 8.266463583e+00
5.866533066e+04 6.973575881e+01 1.339364000e+02 8.284730681e+00
5.886973948e+04 6.971387971e+01 1.338843604e+02 8.302990422e+00
5.907414830e+04 6.969211298e+01 1.338323338e+02 8.321242815e+00
5.927855711e+04 6.967045382e+01 1.337803205e+02 8.339487864e+00
5.948296593e+04 6.964889764e+01 1.337283206e+02 8.357725578e+00
5.968737475e+04 6.962744004e+01 1.336763345e+02 8.375955961e+00
5.989178357e+04 6.960607682e+01 1.336243623e+02 8.394179020e+00
6.009619238e+04 6.958480398e+01 1.335724043e+02 8.412394761e+00
6.030060120e+04 6.956361770e+01 1.335204608e+02 8.430603189e+00
6.050501002e+04 6.954251438e+01 1.334685320e+02 8.448804311e+00
6.070941884e+04 6.952149056e+01 1.334166182e+02 8.466998132e+00
6.091382766e+04 6.950054298e+01 1.333647196e+02 8.485184658e+00
6.111823647e+04 6.947966857e+01 1.333128365e+02 8.503363893e+00
6.132264529e+04 6.945886442e+01 1.332609691e+02 8.521535843e+00
6.152705411e+04 6.943812778e+01 1.332091175e+02 8.539700514e+00
6.173146293e+04 6.941745608e+01 1.331572821e+02 8.557857910e+00
6.193587174e+04 6.939684689e+01 1.331054629e+02 8.576008037e+00
6.214028056e+04 6.937629796e+01 1.330536601e+02 8.594150900e+00
6.234468938e+04 6.935580717e+01 1.330018738e+02 8.612286504e+00
6.254909820e+04 6.933537256e+01 1.329501041e+02 8.630414853e+00
6.275350701e+04 6.931499233e+01 1.328983510e+02 8.648535953e+00
6.295791583e+04 6.929466478e+01 1.328466147e+02 8.666649808e+00
6.316232465e+04 6.927438839e+01 1.327948949e+02 8.684756423e+00
6.336673347e+04 6.925416176e+01 1.327431917e+02 8.702855804e+00
6.357114228e+04 6.923398362e+01 1.326915050e+02 8.720947954e+00
6.377555110e+04 6.921385284e+01 1.326398345e+02 8.739032878e+00
6.397995992e+04 6.919376840e+01 1.325881799e+02 8.757110581e+00
6.418436874e+04 6.917372942e+01 1.325365411e+02 8.775181068e+00
6.438877756e+04 6.915373516e+01 1.324849177e+02 8.793244344e+00
6.459318637e+04 6.913378496e+01 1.324333091e+02 8.811300411e+00
6.479759519e+04 6.911387831e+01 1.323817149e+02 8.829349277e+00
6.500200401e+04 6.909401481e+01 1.323301344e+02 8.847390943e+00
6.520641283e+04 6.907419418e+01 1.322785671e+02 8.865425417e+00
6.541082164e+04 6.905441625e+01 1.322270120e+02 8.883452700e+00
6.561523046e+04 6.903468097e+01 1.321754683e+02 8.901472799e+00
6.581963928e+04 6.901498838e+01 1.321239351e+02 8.919485717e+00
6.602404810e+04 6.899533866e+01 1.320724111e+02 8.937491460e+00
6.622845691e+04 6.897573206e+01 1.320208952e+02 8.955490030e+00
6.643286573e+04 6.895616898e+01 1.319693860e+02 8.973481433e+00
6.663727455e+04 6.893664988e+01 1.319178820e+02 8.991465673e+00
6.684168337e+04 6.891717534e+01 1.318663815e+02 9.009442754e+00
6.704609218e+04 6.889774604e+01 1.318148828e+02 9.027412680e+00
6.725050100e+04 6.887836276e+01 1.317633838e+02 9.045375456e+00
6.745490982e+04 6.885902635e+01 1.317118824e+02 9.063331086e+00
6.765931864e+04 6.883973777e+01 1.316603762e+02 9.081279575e+00
6.786372745e+04 6.882049806e+01 1.316088625e+02 9.099220925e+00
6.806813627e+04 6.880130834e+01 1.315573386e+02 9.117155143e+00
6.827254509e+04 6.878216980e+01 1.315058014e+02 9.135082231e+00
6.847695391e+04 6.876308370e+01 1.314542474e+02 9.153002195e+00
6.868136273e+04 6.874405139e+01 1.314026731e+02 9.170915037e+00
6.888577154e+04 6.872507424e+01 1.313510744e+02 9.188820763e+00
6.909018036e+04 6.870615372e+01 1.312994468e+02 9.206719377e+00
6.929458918e+04 6.868729129e+01 1.312477857e+02 9.224610882e+00
6.949899800e+04 6.866848850e+01 1.311960859e+02 9.242495283e+00
6.970340681e+04 6.864974689e+01 1.311443416e+02 9.260372585e+00
6.990781563e+04 6.863106802e+01 1.310925466e+02 9.278242790e+00
7.011222445e+04 6.861245349e+01 1.310406940e+02 9.296105903e+00
7.031663327e+04 6.859390485e+01 1.309887765e+02 9.313961929e+00
7.052104208e+04 6.857542366e+01 1.309367858e+02 9.331810871e+00
7.072545090e+04 6.855701143e+01 1.308847130e+02 9.349652733e+00
7.092985972e+04 6.853866962e+01 1.308325481e+02 9.367487520e+00
7.113426854e+04 6.852039962e+01 1.307802804e+02 9.385315235e+00
7.133867735e+04 6.850220275e+01 1.307278979e+02 9.403135883e+00
7.154308617e+04 6.848408019e+01 1.306753874e+02 9.420949468e+00
7.174749499e+04 6.846603302e+01 1.306227346e+02 9.438755994e+00
7.195190381e+04 6.844806215e+01 1.305699234e+02 9.456555464e+00
7.215631263e+04 6.843016832e+01 1.305169362e+02 9.474347883e+00
7.236072144e+04 6.841235205e+01 1.304637536e+02 9.492133255e+00
7.256513026e+04 6.839461365e+01 1.304103540e+02 9.509911583e+00
7.276953908e+04 6.837695315e+01 1.303567137e+02 9.527682872e+00
7.297394790e+04 6.835937031e+01 1.303028064e+02 9.545447126e+00
7.317835671e+04 6.834186460e+01 1.302486031e+02 9.563204349e+00
7.338276553e+04 6.832443512e+01 1.301940719e+02 9.580954545e+00
7.358717435e+04 6.830708064e+01 1.301391772e+02 9.598697717e+00
7.379158317e+04 6.828979959e+01 1.300838801e+02 9.616433870e+00
7.399599198e+04 6.827258999e+01 1.300281375e+02 9.634163007e+00
7.420040080e+04 6.825544951e+01 1.299719021e+02 9.651885133e+00
7.440480962e+04 6.823837547e+01 1.299151218e+02 9.669600251e+00
7.460921844e+04 6.822136483e+01 1.298577394e+02 9.687308365e+00
7.481362725e+04 6.820441427e+01 1.297996924e+02 9.705009479e+00
7.501803607e+04 6.818752019e+01 1.297409122e+02 9.722703598e+00
7.522244489e+04 6.817067880e+01 1.296813241e+02 9.740390724e+00
7.542685371e+04 6.815388618e+01 1.296208468e+02 9.758070862e+00
7.563126253e+04 6.813713834e+01 1.295593917e+02 9.775744015e+00
7.583567134e+04 6.812043129e+01 1.294968629e+02 9.793410187e+00
7.604008016e+04 6.810376118e+01 1.294331566e+02 9.811069383e+00
7.624448898e+04 6.808712429e+01 1.293681604e+02 9.828721605e+00
7.644889780e+04 6.807051714e+01 1.293017530e+02 9.846366858e+00
7.665330661e+04 6.805393654e+01 1.292338037e+02 9.864005144e+00
7.685771543e+04 6.803737960e+01 1.291641717e+02 9.881636469e+00
7.706212425e+04 6.802084379e+01 1.290927056e+02 9.899260835e+00
7.726653307e+04 6.800432691e+01 1.290192424e+02 9.916878246e+00
7.747094188e+04 6.798782706e+01 1.289436072e+02 9.934488705e+00
7.767535070e+04 6.797134267e+01 1.288656118e+02 9.952092217e+00
7.787975952e+04 6.795487243e+01 1.287850546e+02 9.969688785e+00
7.808416834e+04 6.793841527e+01 1.287017193e+02 9.987278413e+00
