time            Ak              Br              Cj              sAk             sBr             sCj            
2.395190381e+03 5.201614779e+00 7.126332506e+00 3.638785625e+00 2.119962428e+00 1.983810577e+00 2.566993909e+00
2.409619238e+03 5.063238629e+00 7.228507713e+00 3.693121933e+00 2.168502237e+00 1.978934478e+00 2.576508712e+00
2.424048096e+03 4.927828665e+00 7.319943802e+00 3.755372664e+00 2.218639754e+00 1.976301446e+00 2.582645740e+00
2.438476954e+03 4.796121961e+00 7.399905684e+00 3.825452426e+00 2.270111907e+00 1.976112989e+00 2.585466136e+00
2.452905812e+03 4.668782953e+00 7.467755784e+00 3.903254517e+00 2.322624925e+00 1.978556915e+00 2.585075156e+00
2.467334669e+03 4.546403576e+00 7.522962109e+00 3.988646123e+00 2.375855454e+00 1.983806764e+00 2.581621504e+00
2.481763527e+03 4.429504718e+00 7.565104888e+00 4.081463285e+00 2.429452451e+00 1.992021206e+00 2.575295924e+00
2.496192385e+03 4.318538975e+00 7.593881528e+00 4.181505701e+00 2.483039978e+00 2.003343350e+00 2.566328977e+00
2.510621242e+03 4.213894303e+00 7.609110069e+00 4.288531539e+00 2.536220833e+00 2.017899894e+00 2.554988155e+00
2.525050100e+03 4.115898536e+00 7.610730935e+00 4.402252385e+00 2.588581125e+00 2.035800055e+00 2.541574308e+00
2.539478958e+03 4.024824439e+00 7.598807132e+00 4.522328495e+00 2.639695670e+00 2.057134238e+00 2.526417552e+00
2.553907816e+03 3.940895152e+00 7.573522830e+00 4.648364526e+00 2.689134201e+00 2.081972414e+00 2.509872729e+00
2.568336673e+03 3.864289822e+00 7.535180374e+00 4.779905929e+00 2.736468280e+00 2.110362161e+00 2.492314561e+00
2.582765531e+03 3.795149260e+00 7.484195823e+00 4.916436156e+00 2.781278744e+00 2.142326400e+00 2.474132633e+00
2.597194389e+03 3.733581472e+00 7.421092963e+00 5.057374910e+00 2.823163588e+00 2.177860802e+00 2.455726351e+00
2.611623246e+03 3.679666948e+00 7.346496028e+00 5.202077506e+00 2.861746022e+00 2.216930957e+00 2.437499994e+00
2.626052104e+03 3.633463576e+00 7.261121044e+00 5.349835610e+00 2.896682551e+00 2.259469316e+00 2.419858000e+00
2.640480962e+03 3.595011136e+00 7.165766099e+00 5.499879277e+00 2.927670825e+00 2.305372052e+00 2.403200564e+00
2.654909820e+03 3.564335274e+00 7.061300523e+00 5.651380575e+00 2.954457027e+00 2.354495918e+00 2.387919654e+00
2.669338677e+03 3.541450909e+00 6.948653276e+00 5.803458642e+00 2.976842589e+00 2.406655284e+00 2.374395476e+00
2.683767535e+03 3.526365052e+00 6.828800708e+00 5.955186212e+00 2.994690007e+00 2.461619506e+00 2.362993399e+00
2.698196393e+03 3.519078987e+00 6.702753883e+00 6.105597598e+00 3.007927528e+00 2.519110830e+00 2.354061360e+00
2.712625251e+03 3.519589835e+00 6.571545785e+00 6.253697881e+00 3.016552613e+00 2.578803022e+00 2.347927657e+00
2.727054108e+03 3.527891432e+00 6.436218613e+00 6.398473320e+00 3.020633885e+00 2.640320975e+00 2.344899123e+00
2.741482966e+03 3.543974607e+00 6.297811452e+00 6.538902568e+00 3.020311676e+00 2.703241410e+00 2.345259523e+00
2.755911824e+03 3.567826778e+00 6.157348576e+00 6.673968660e+00 3.015796877e+00 2.767094982e+00 2.349268134e+00
2.770340681e+03 3.599430951e+00 6.015828602e+00 6.802671383e+00 3.007368320e+00 2.831369808e+00 2.357158330e+00
2.784769539e+03 3.638764100e+00 5.874214725e+00 6.924039829e+00 2.995368592e+00 2.895516618e+00 2.369136108e+00
2.799198397e+03 3.685794976e+00 5.733426194e+00 7.037144849e+00 2.980198481e+00 2.958955544e+00 2.385378395e+00
2.813627255e+03 3.740481373e+00 5.594331142e+00 7.141111150e+00 2.962310228e+00 3.021084492e+00 2.406031066e+00
2.828056112e+03 3.802766898e+00 5.457740903e+00 7.235128795e+00 2.942199752e+00 3.081289099e+00 2.431206562e+00
2.842484970e+03 3.872577319e+00 5.324405746e+00 7.318463929e+00 2.920398208e+00 3.138953927e+00 2.460981096e+00
2.856913828e+03 3.949816512e+00 5.195012176e+00 7.390468440e+00 2.897463036e+00 3.193474908e+00 2.495391359e+00
2.871342685e+03 4.034362160e+00 5.070181523e+00 7.450588555e+00 2.873968934e+00 3.244272421e+00 2.534430818e+00
2.885771543e+03 4.126061232e+00 4.950469951e+00 7.498372078e+00 2.850498935e+00 3.290804863e+00 2.578045619e+00
2.900200401e+03 4.224725391e+00 4.836369586e+00 7.533474277e+00 2.827635888e+00 3.332582171e+00 2.626130235e+00
2.914629259e+03 4.330126455e+00 4.728310696e+00 7.555662298e+00 2.805954562e+00 3.369178871e+00 2.678523040e+00
2.929058116e+03 4.441992021e+00 4.626664751e+00 7.564818026e+00 2.786014528e+00 3.400246191e+00 2.735002010e+00
2.943486974e+03 4.560001428e+00 4.531748141e+00 7.560939439e+00 2.768353901e+00 3.425522811e+00 2.795280846e+00
2.957915832e+03 4.683782196e+00 4.443826449e+00 7.544140302e+00 2.753484022e+00 3.444843739e+00 2.859005845e+00
2.972344689e+03 4.812907093e+00 4.363119029e+00 7.514648374e+00 2.741884968e+00 3.458147106e+00 2.925753820e+00
2.986773547e+03 4.946892015e+00 4.289803796e+00 7.472801949e+00 2.734001906e+00 3.465478339e+00 2.995031525e+00
3.001202405e+03 5.085194763e+00 4.224022038e+00 7.419044975e+00 2.730242030e+00 3.466991766e+00 3.066276806e+00
3.015631263e+03 5.227214919e+00 4.165883136e+00 7.353920644e+00 2.730971999e+00 3.462949293e+00 3.138861943e+00
3.030060120e+03 5.372294881e+00 4.115469075e+00 7.278063645e+00 2.736515616e+00 3.453716303e+00 3.212099334e+00
3.044488978e+03 5.519722108e+00 4.072838660e+00 7.192191201e+00 2.747151562e+00 3.439754916e+00 3.285249675e+00
3.058917836e+03 5.668732744e+00 4.038031342e+00 7.097092943e+00 2.763110971e+00 3.421614608e+00 3.357532931e+00
3.073346693e+03 5.818516439e+00 4.011070615e+00 6.993619971e+00 2.784574679e+00 3.399920964e+00 3.428141598e+00
3.087775551e+03 5.968222517e+00 3.991966907e+00 6.882673149e+00 2.811669991e+00 3.375362553e+00 3.496256523e+00
3.102204409e+03 6.116967253e+00 3.980719987e+00 6.765190990e+00 2.844466925e+00 3.348676791e+00 3.561064525e+00
3.116633267e+03 6.263842282e+00 3.977320804e+00 6.642137306e+00 2.882973861e+00 3.320635111e+00 3.621777629e+00
3.131062124e+03 6.407923862e+00 3.981752807e+00 6.514488944e+00 2.927132711e+00 3.292028125e+00 3.677653088e+00
3.145490982e+03 6.548282883e+00 3.993992714e+00 6.383223828e+00 2.976813737e+00 3.263651231e+00 3.728013604e+00
3.159919840e+03 6.683995372e+00 4.014010742e+00 6.249309586e+00 3.031810247e+00 3.236291139e+00 3.772266939e+00
